place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용요금,접근로,출입통로,장애인 주차 안내,엘리베이터,휠체어,수유실,유모차,화장실,오디오 가이드,review,판매 품목,점자 홍보물,이용가능시설,주차요금,입장료,지정현황,지체장애 기타 상세,시설이용료,체험가능 연령,대중 교통,규모,개장기간,주차 요금,이용 시기,부대시설,주요시설,대여안내,객실,할인 정보,수용인원,시각장애 기타상세,영업시간,좌석수,대표메뉴,취급메뉴,보유장비,보조견 동반,점자 블록,코스안내,관람석,매표소,안내 요원,입점브랜드,청각 장애 기타상세,입실시간,퇴실시간,객실내 취사 여부,객실수,예약안내,예약안내 홈페이지,식음료장,객실유형,사우나실 여부,캠프파이어 여부,바비큐장여부,세미나실 여부,스포츠 시설 여부,자전거 대여 여부,공용 PC실 여부,유아용보조의자,휘트니스 센터 여부,노래방 여부,청각장애용 객실,뷰티시설여부,유도안내 설비,영유아가족 기타상세,체험
김대중 노벨평화상 기념관,"김대중 노벨평화상 기념관은 민주주의, 인권, 평화를 지키기 위해 평생을 바친 한국인 최초 노벨평화상 수상자 김대중 정신을 공유할 수 있는 기념관이다. 김대중 대통령은 민주주의와 인권 신장을 향한 40여 년에 걸친 노력과 6·15 남북공동선언을 이끌어내며 한반도 긴장 완화 등 국제 평화에 기여한 공로를 인정받아 2000년 12월 10일 노벨평화상을 수상하였다. 네 개의 전시실로 이루어진 본 기념관은 국민의 정부 5년 동안 국가 발전을 위한 외교 안보, 경제, 문화 등 각 분야별 국가 발전 전략과 이를 위한 시책들을 전시하고 있다. 또한 노벨상의 탄생 배경, 선정 이유, 선출 방법 등을 알아보고 다양한 분야의 수상자들의 에피소드를 전시하여 자라나는 아이들에게 노벨상 수상의 꿈과 포부를 심어주고자 한다. 삼학도 공원에 위치하고 있어 목포 어린이바다과학관, 난영공원까지 둘러볼 수 있다.",,http://www.kdjnpmemorial.or.kr,전라남도 목포시 삼학로92번길 68,09:00~18:00 (입장 마감 17:30),"매주 월요일 (단, 월요일이 공휴일인 경우는 다음날) / 1월1일 / 설·추석 연휴",가능,무료,출입구까지 경사로가 설치되어 있음,주차장에서 바로 높낮이차 없이 건물진입 가능 (정문이용시 계단있음),장애인 주차장 있음(직원전용주차구역쪽/6대)_무장애 편의시설,엘리베이터 있음,"대여가능(매표후 입구쪽, 신분증제시)",수유실 있음(메인전시동에 위치),대여가능(매표소),장애인 화장실 있음,음성안내버튼 있음,"어렴풋이 알았던 역사를 다시 알게되는 기회가 되어서 의미있었던 곳. 2025년 5월 요즘의 시기에 가본다면 더욱 와닿는 곳… 가족들과 목포여행에 빠질수없는 한번쯤은 가보고 싶던곳 김대중 노벨평화상기념관 ~김대중 대통령의 민주주의와 인권신장을 향한 40년간의 발자취. 가족들과 가장 뜻깊은 시간이 되었습니다. ㅇ속포여행 가시면 꼭 한번 방문을 추천드립니다. 초등학생을 위한 전국여행을하며 목포에 갔을때 김대중 대통령의 업작과 생애를 배우고자 갔던곳, 1층 디지털관에서 시간에 따라 영상도 상영을하고 여러가지 전시를 통해서 아이에게 자연스럽게 학습을 유도 할수 있었습니다. 책에서 보았던 것들을 직접 보면서 다시 깨우칠수있어서 좋았던 시간이였어요. 어머니 모시고 목포시 여행했을때 당연히 김대중 노벨평화상 기념관에 방문했었어요. 주변환경이 깔끔하게 정돈되어있고 전시관의 설명을 읽어보면서 김대중 대통령의 업적을 뒤돌아 보는 좋은시간을 가졌었습니다. 어머니께서 앉으신곳은 로비에요. 대통령실 집무실에서도 사진을 찍고 바로 바로 카카오톡으로 전송해주는 특별한 경험도 했었더랬어요. 또 한 사진은 대통령님 순방길에 직접 타신 자동차에요. 목포에 방문하시면 꼭 한번 들러보시길 추천해드립니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목포문학관,"목포 문인들의 문학적 성과를 집중 조명한 목포문학관은 한국 문단의 최초의 여류 소설가 박화성, 우리나라 연극에 근대극을 최초로 도입한 극작가 김우진, 우리나라 사실주의 연극을 완성한 극작가 차범석, 우리나라 평론 문학평론가 김현의 삶과 문학세계를 손 때 묻은 유품을 함께 전시함으로써 목포문학의 과거와 미래와 한국의 문학에 중요한 발자취를 보여주고 있다. 목포문학관 주변으로 목포문화예술회관, 목포생활도자박물관, 남농기념관 등이 밀접해 있어 문학과 문화의 품격 있는 체험을 누릴 수 있다.",,https://munhak.mokpo.go.kr/munhak/,전라남도 목포시 남농로 95,09:00~18:00 (입장 마감 17:00),매주 월요일 / 1월1일,가능,"[일반]
- 성인 2,000원
- 청소년, 군인 1,500원
- 어린이 1,000원
[단체(20인 이상)]
- 성인 1,500원
- 청소년, 군인 1,000원
- 어린이 500원
※ 자세한 사항은 홈페이지 참조",출입구까지 경사로 있어 휠체어 접근 가능함,,,외부와 연결된 장애인용 엘리베이터가 있음,,,,장애인 전용 화장실 있음,,"미디어아트가 유명하길래 아이들에게 보여주려 방문했습니다. 규모는 크지 않지만, 바다풍경, 서재 등 다른 곳에서 보지 못한 영상이 너무 좋았어요. 특히 서재는 아이들이 손대면 팝업 형식으로 나타나는 영상이 있어 더 좋아했습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세월호목포신항만거치,"2014년 4월 16일 진도 해상에서 침몰한 세월호는 승객 304명이 사망, 실종된 최악의 인재로 침몰 3년 만인 2017년 3월 인양 후 목포 신항만으로 옮겨와 4월 육상 거치되었다. 세월호 희생자 가족 단체 의견과 목포시민 설문조사 결과를 토대로 목포 신항만이 거치 배후부지로 최종 확정되었다. 거치된 세월호는 선체 보존 처리를 마친 후 보존되며, 주변 일원엔 대형 참사를 추모하고 기억하는 공간 겸 국민의 안전의식 고취 및 재난 대처 능력 향상을 위한 안전교육 체험 복합관이 건립될 예정이다.",,,전라남도 목포시 신항로294번길 45,"13:00~17:00
※ 자세한 사항은 전화문의 요망",연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정남진 장흥토요시장,"정남진 장흥토요시장은 전국 최초 주말 시장으로 텃밭에서 일구어낸 농수산물과 저렴한 한우, 깨끗한 바다에서 생산되는 해산물, 기타 공산품 등 품질 좋은 상품들을 만날 수 있다. 또한 상설무대에서 다양한 공연도 펼쳐져 살거리, 볼거리, 먹거리가 풍부한 관광형 전통시장이다. 특별히 장흥 9품을 판매하는데 장흥 표고, 장흥 무산김, 낙지, 청태전, 친환경 쌀 ‘아르미’ 등이 있어 신선하고 품질 좋은 농·수산물들을 구입할 수 있다.",,http://www.jangheung.go.kr/jnjmarket,전라남도 장흥군 장흥읍 토요시장3길 15,점포 별로 상이함,점포 별로 상이함,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(좁은 구간 있음),장애인 주차장 있음(관광안내소)_무장애 편의시설,,,,,장애인 화장실 있음(관광안내소와 만남의 광장),,"항상 여행을 다니면 전통시장을 방문하는데 여기서는 마른 표고버섯을 구매하여 된장찌게에 넣으면 좋을것같아요.덤으로 생표고도 한주먹 주는 인심도 느꼈습니다 한우도 저렴하고 볼거리도 많습니다~~ 무산 김도 정말 맛있어요!! 탐진강 둔치 공원 주차장 이용하여 편리하게 방문했어요. 한우와 키조개 관자, 표고버섯을 함께 먹는 장흥삼합 정육식당도 있고 다양한 생선을 파는 가게들도 많답니다. 시장 구경후 탐진강 둔치 산책했어요.",수산물 / 건어물 / 농·축산 / 기타 공산품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목포어린이바다과학관,"목포어린이바다과학관은 해양과학에 대한 차별화된 교육 공간을 마련하여 해양문화도시로 발전할 수 있는 기반 조성을 위해 2013년 2월 5일 삼학도 근린공원 일원에 개관하였다. 목포어린이바다과학관은 지상 3층 규모로 ‘바다’를 테마로 하여 바다상상홀, 깊은바다, 중간바다, 얕은바다, 바다아이돔 등 다섯 개의 주요 전시공간으로 구성되었다. 목포어린이바다과학관은 해양과학에 대한 차별화된 체험교육을 제공하여 21세기 해양시대의 주역인 어린이에게 과학적 사고와 능력을 심어주고자 한다.",,http://mmsm.mokpo.go.kr,전라남도 목포시 삼학로92번길 98,09:00~18:00 (입장 마감 17:00),"매주 월요일 (단, 월요일이 공휴일 또는 연휴일인 경우 그 다음날 휴관) / 1월 1일",가능,"[개인]
- 어른 3,000원
- 청소년, 군인 2,000원
- 초등학생 1,000원
[단체(20인 이상)]
- 어른 2,500원
- 청소년, 군인 1,500원
- 초등학생 700원
※ 자세한 사항은 홈페이지 참조",,단차없어 휠체어로 이동하기 편리함,장애인전용주차구역 있음(2개)_무장애 편의시설,엘리베이터 있음,"휠체어 무료대여가능 (안내데스크, 신분증확인, 연락처기록)",,"유모차무료대여가능 (안내데스크, 5대구비)",장애인전용화장실 있음,,"무더운 여름 아이들과 함께 오기 좋은곳이예요 바다 삼총사의 대모험 4D 관람했는데 소리가 너무 작았어요 볼륨을 더 올려주셨으면 좋겠고 구지 추가 돈을 안받아도 될만한 컬리티 였어요 VR체험은 좋았습니다 주차장은 건물 옆쪽에 있었고, 주차요금은 무료입니다.깊은바다 부터 얕은 바다 순서로 올라가며 둘러보는 컨셉으로 바다를 테마로 아이가 체험할 거리가 많아서 좋았습니다. 물고기 색칠부터 노젓기 체험,요트 체험, 심해 체험 그리고 디지털 수족관도 인상적이었고요, 잠수정 VR 체험을 아이가 가장 좋아했습니다, 직접 망원경을 보면서 바닷속을 조종할 수 있어서 그런지 신나하더라고요.날씨 걱정 없이 아이와 가볼만한 실내 장소로 딱 좋은 곳인 것 같습니다.
닫기 초등학생들까지의 연령들이 너무나도 재미있게 즐길수 있는곳 다양한 체험도 가능하고 바다/ 과학관련 지식들을 어렵지 않게 배울수 있는곳 목포를 가게된다면 재방문의사 반드시 있습니다. 목포에서 흑산도 가느라 잠시 머무를때 어린이바다과학관 갔습니다. 해양생물과 배에 대해서 체험을 통해 공부할수 있었습니다. 과학관 바로 앞이 바다라서 진짜 배도 많이 봤습니다.   ",,촉지안내판 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목포농산물도매시장,"2005년 12월 이전 개장한 목포농산물도매시장은 목포시에서 가장 큰 농산물 도매시장이다. 과실류, 과채류, 근채류, 엽채류 등의 도매가 경매를 진행하고 있다. 산지 유통인이 출하한 농산물을 목포농수산 법인에서 경매하여 중도매인(도매시장에 상장된 농산물을 매수하여 도매 거래하거나 매매를 중개하는 영업을 하는 자), 매매참가인(농산물을 직접 매수하는 가공업자, 소매업자, 수출업자, 소비자 단체 등 실수요자)에게 매매한다. 개인은 경매 시간이 지난 뒤에 도매인으로부터 저렴한 가격에 살 수 있다.",,,전라남도 목포시 영산로 648-23,※ 자세한 사항은 전화문의 요망,※ 자세한 사항은 전화문의 요망,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,농산물 / 과일 / 채소 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순천만국가정원,"세계 5대 연안습지 중 하나인 대한민국 제1호 국가정원이다. 순천만을 보호하기 위하여 조성한 순천만국가정원의 순천 도사동 일대 정원 부지 112만㎡(34만 평)에는 나무 505종 79만 주와 꽃 113종 315만 본이 식재되어 있다. 봄이 되면 튤립과 철쭉 등이 꽃망울을 터뜨려 장관을 이룬다. 또 나눔의 숲 주변 3만㎡는 유채꽃 단지로 조성했는데, 5월 중순 일제히 만개해 노란 물결이 일렁인다. 시는 주요 동선에 팽나무와 느티나무 등 5만 주를 심어 자연 그늘막을 만들었다. 순천만 정원과 순천문학관 구간(4.64㎞)을 오가는 소형 무인궤도 열차(PRT)도 운행을 하고 있다. 정원을 충분히 둘러본 탐방객은 PRT를 타고 문학관으로 이동해 하차한 뒤 순천만 초입 무진교까지 1.2㎞거리를 갈대열차로 옮겨 타 이동하면 된다. 순천만국가정원과 습지를 이어주는 하늘택시 스카이큐브 등 친환경 교통수단도 운영한다.

◎ 한류의 매력을 만나는 여행 정보 - 예능 <배틀트립2>
동갑내기 친구 ‘구구단’ 미나와 ‘위키미키’ 유정이 스무 살 봄꽃 여행을 테마로 떠난 장소다. 순천 여행을 직접 계획했던 유정은 튤립, 유채꽃이 가득한 정원을 거닐다 소품으로 준비해간 비누방울을 불며 인생사진을 남겼다.",,https://scbay.suncheon.go.kr/garden,전라남도 순천시 국가정원1호길 47 (오천동),09:00~20:00 (매표마감/입장마감 19:00),매월 마지막 주 월요일,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,출입구 경사로 있음,장애인주차장 있음_무장애 편의시설,,대여가능,수유실 있음,대여가능,장애인화장실 있음,,"아이와 가기 너무 좋은 곳이에요! 날씨가 너무 더워 늦은시간 방문했는데 입장료도 50% 할인되서 좋고 조명켜진 저녁의 순천만국가정원도 너무 아름다웠답니다: ) 조금 선선해지면 또 방문할 예정이에요ㅎㅎ 또 가고 싶어요! 아주 뜨거운 여름날이었지만 정원전체가 푸르름에 꽃들로 덮여있어 아주 기분이 좋았고 산책하는 내내 의자나 그늘이 잘 되어있어 더위를 피하기도 좋았습니다. 입장료 비싸다는 생각은 안해봤고 정원이 워낙넓어 천천히 쉬엄쉬엄 산책하며 쉬면서 즐기면서 보내면 하루종일도 보냅니다. 정원내에 식당이나 취식할수 있는곳이 별로 없어 아쉬웠습니다. 예쁜 꽃들을 보고 싶어서 찾아간 순천만 국가정원을 다녀왔는데 너무 아름다웠어요. 여러 색상의 백합과 수국이 많이 피어 있어서 사진을 찍으면 환상적으로 나와서 엄청 찍었네요. 중간에 평상도 있어서 쉴수도 있고 좋았어요. 야간 개장할때 와도 좋다고 하니 다음엔 야간에 방문하고 싶네요 넓고 좋은데 한여름 뙤양볕은 피하시는게 좋겠습니다. 그늘이 별로 없어요 친구랑 순천에 갔다가 가장유명한 국가정원 갔어요 날씨도 좋고 꽃도 다피어있어서 너무 좋았어요~~ 너무 커서 다 돌아보지는 못해서 아쉬웠지만 그래도 잘보고 힐링하고 왔어요^^ 제작년엔 가을에 방문해서 단풍구경하고 올해는 5월 18일에 방문했습니다! 봄이라기엔 더웠지만 바람도 선선하고 꽃이랑 나무들을 많이 보니까 눈도 마음도 굉장히 힐링 되더라구요! 정원이 너어어어어무 넓어서 다리는 좀 고생했지만 가는곳마다 새롭고 예뻐서 사진찍느라 시간가는줄 몰랐습니다ㅎㅎ 봄, 가을마다 항상 생각나는 여행지에요 :)",,,"의료센터 / 식당, /카페 / 편의점 / 기념품점 / 영상관 / 컨퍼런스룸 등",무료,"[개인]
- 성인 10,000원
- 청소년,군인 7,000원
- 어린이 5,000원
[야간권(17시 이후)]
- 성인 5,000원
- 청소년,군인 3,500원
- 어린이 2,500원
[단체(20인 이상)]
- 성인 6,000원
- 청소년, 군인 5,000원
- 어린이 3,000원
[순천 시민]
- 성인 2,000원
- 청소년, 군인 1,500원
- 어린이 무료
※ 입장권은 순천만국가정원+순천만습지 관람 가능",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,디지털인형극 두다톡 / 생태설명회 등
목포 동부시장,"목포의 동부시장은 목포에서 가장 큰 시장으로 1956년부터 노점상들이 하나, 둘 모여 시장을 형성하면서 지금의 규모를 갖춘 60년 전통을 자랑하는 시장이다. 2006년부터 2008년의 공사를 거쳐 아케이드를 시설하여 재래시장의 단점을 보완함으로써 편의성을 높이고 전국 온누리 상품권을 발행하여 고객층의 다양화를 시도하는 등 끊임없이 변화하고 있는 시장이다. 시설 면에서도 넓은 주차장과 화장실 등 편의시설에 신경을 써 대형마트의 편리함과 시장의 정을 함께 느낄 수 있다. 또한, 동부시장은 시장 활성화를 위해 전문 인력인 '시장 매니저'를 도입하였다. 동부시장은 재래시장답게 싱싱한 과일류와 채소류, 생선 등을 판매한다.",,http://www.mokpodongbu.kr,전라남도 목포시 산정로 174,※ 점포 별로 상이함,※ 점포 별로 상이함,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음(공영주차장)_무장애 편의시설,,,,,,,"오늘 시장에서 점심으로 술국과 순대 반찬으로 나온 미나리 나물과 호박나물이 맛있어 두접시 클리어 갑오징어가 많이 나왔네요 데쳐서 초장찍어 먹으러 갑니다 동부시장 너무 좋아요~ 홍어나 회 살 때 너무너무 좋아요 역시 전라도의 맛~ 추천합니다 :) 주말 부모님 모시고 간 목포에서 당연히 시장구경이 빠질순 없죠! 동부시장 볼거리 먹거리가 다양해서 시간가는줄 몰랐어요. 사람들 줄서있는곳 가면 저도 가서 구경했네요. 반찬가게도 너무 좋았고, 어묵이나 회도 참 맛있었습니다 수산.축산 구매 40%로 상품권 준다해서.. 갓는데 수산물 40%올려놧니? 전어가 키로에 32,000원? 장난하나? 태어나서 전어 기로 32,000원은 첨봣다..그것도 방사능 오염수 처부아서 먹을까 말까 하는데.. 이 조선인ㅇ들은 국가가 생각해서 도움주면 그걸 더 이용해 먹을려는 개객기정신... 평소 23,000원하던 전어가 이벤트하니깐 32,000원.. 에라이 카악퉤 목포의 희노애락을 느낄수 있는 시장 응원해요~ 목포의상징,소시민의삶,,,,,,,,,,,,,,,,",수산물 / 농특산물 / 식품 / 육류 / 의류 / 잡화 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목포 신중앙시장,"목포 신중앙시장은 1999년 개설된 상가건물형의 소형시장으로 임시시장으로 개장한지 10년여 만에 재래시장 및 상점가 육성을 위한 특별법에 의한 전통시장(인정시장)으로 등록되어 제도권에 진입함으로써 시장 활성화의 길이 열렸다. 이후 타 전통시장처럼 먹거리와 특산품을 보완해왔고, 의류가 주를 이루는 시장으로 알려져 있다. 시장 내에는 횟집, 포자, 순댓국, 한복가게, 신발가게 등 음식점과 의류점 등 볼거리와 먹거리가 풍부하게 있어 가족과 함께 둘러보기 좋다.",,http://biz.mokpo.go.kr,전라남도 목포시 원산중앙로 51,※ 점포 별로 상이함,※ 점포 별로 상이함,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,,,,,,청과 / 채소 / 생선 / 식료품 / 의류 / 잡화 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
담양국수거리,"전라남도 담양에 가면 영산강을 따라 국숫집들이 늘어서 있는 것을 볼 수 있다. 50여 년 전부터 하나 둘 생겨나기 시작한 것이 지금은 담양의 명물 음식거리로 자리 잡았다. 국수거리 시작부터 끝까지 야외 테이블이 마련돼 있어 정겨운 영산강 풍경을 바라보며 저렴한 가격에 푸짐한 양의 국수를 맛볼 수 있다. 멸치로 육수를 낸 멸치국수와 새콤달콤한 양념이 입맛을 돋우는 비빔국수 등이 있으며, 계절에 따라 상큼한 열무국수를 차갑게 내기도 한다. 곁들이는 메뉴로 약계란 하나를 보태면 더욱 든든한 한 끼를 즐길 수 있다. 식당에 따라 갓 구운 파전이나 돼지 육전을 내는 곳들도 많다. 담양 국수거리는 사계절 푸른 빛깔을 뽐내는 죽녹원과 계절의 정취를 즐기기 좋은 관방제림 근처에 자리해 함께 둘러보기 좋다.",,,전라남도 담양군 담양읍,상시 개방,연중무휴,가능,,,,,,,,,,,"꼭 가봐야하는 곳 강을 보며 먹는 맛있는 국수 여행의 별미입니다 담양 유명한 국수 먹었어요 야외에서 경치보면서 국수랑 계란 색다르고 기분 좋아요 국수 맛있고 가끔 생각나는 맛 추천합니다 가족들과 주말에 국수 먹으러 왔어요. 국수거리 국수집은 대체로 다 맛집인듯요. 자전거 대여해서 근처 관방제림도 돌고 도넛 유명하다 해서 사먹고 먹을거리, 볼거리 다 좋았어요 관방제림근처 국수맛집이 많아요~ 담양가면 꼭 먹어보세요 :) 파전에 막걸리도 추천합니다 담양 국수거리에서 꼭 먹어봐야 할 비빔국수와 삶은달걀 추천합니다. 무엇보다 달걀에서 은은한 대나무향이 나는게 비빔국수와 완전 찰떡궁합입니다. 담양에 가신다면 무조건 국수거리는 필수 코스입니다. 완전 추천해요~! ^^ 광주에 살지만 국수가 먹고싶고 산책하고 싶을때 담양국수거리를 가곤합니다 밖에 앉아서 국수에 달걀먹으면 너무 좋아요! 꼭 추천합니다 담양 맛집 검색하다가 방문했습니다 관광객이 많이 있었어요 개천따라 쭉 늘어선 국수거리에서 비빔국수와 파전 시켜서 경치보며 먹으니 너무 맛있었습니다 주차장도 넓고 쾌적해서 담양갈일 있을때 또 들리고 싶습니다",,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
