place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,review,주차 요금,이용요금,화장실,시설이용료,접근로,지체장애 기타 상세,유모차,출입통로,장애인 주차 안내,휠체어,수유실,대중 교통,지정현황,이용가능시설,판매 품목,주차요금,엘리베이터,점자 홍보물,오디오 가이드,시각장애 기타상세,객실,청각 장애 기타상세,체험가능 연령,이용 시기,수용인원,규모,관람석,할인 정보,주요시설,입실시간,퇴실시간,식음료장,객실수,예약안내,객실유형,부대시설,개장기간,대여안내,객실내 취사 여부,예약안내 홈페이지,바비큐장여부,자전거 대여 여부,노래방 여부,세미나실 여부,입점브랜드,강습안내,유아용보조의자,보유장비,큰활자 홍보물,청각장애 기타상세,점자 블록,안내 요원,보조견 동반,매표소,코스안내,영업시간,대표메뉴,취급메뉴,유도안내 설비,스포츠 시설 여부,좌석수,영유아가족 기타상세,체험
소지섭길,소지섭길은 2010년 출간된 소지섭의 포토에세이집 『소지섭의 길』을 계기로 조성되었다. 사람의 발길이 닿지 않아 신비로운 자연경관을 간직한 강원도 DMZ 일대가 배경이 되었다. 배우 소지섭은 천혜의 자연을 간직한 양구의 아름다움과 따뜻함에 매료되어 이 길을 통해 자신의 이야기를 전하고자 했다. 그는 자신이 가장 좋아하는 숫자인 51에 맞춰 소지섭길의 총거리를 51km로 정했다. 이 길은 양구의 자연을 체험하며 소지섭의 발자취를 따라 걸을 수 있는 특별한 길이다.,,https://www.ygtour.kr/Home/index,강원특별자치도 양구군 방산면 두타연로 8,상시 개방,연중무휴,가능,무료,양구수목원 입구 쪽에 연예인 소지섭 손 동상이 있습니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
필리핀군 전투전적비,"철원, 평강, 김화를 잇는 철의 삼각지대에서 1952년 5월 18일부터 21일, 6월 18일부터 21일까지 두 차례에 걸쳐 치열한 전투가 벌어졌다. 이 전투에서 필리핀군 제19, 제20 전투단은 중공군과 의용군을 상대로 고지를 두고 격전을 벌였다. 제1차 전투는 3일 동안 고지의 주인이 9차례나 바뀔 정도로 치열했으며, 결국 필리핀군이 고지를 탈환하며 종료되었다. 제2차 전투에서는 강력한 화력 지원 속에 고지를 끝까지 사수하였고, 중공군과 의용군은 탱크 2대를 포함한 장비를 유기한 채 퇴각했다. 전투 이후 필리핀군은 양구 심포리 일대로 이동해 주둔하였으며, 이 시기에 전투 전적비가 세워진 것으로 추정된다.",,,강원특별자치도 양구군 국토정중앙면 심포리,상시 개방,연중무휴,불가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백석산지구 전투전적비,"이 전적비는 백석산 전투에서 산화한 장병들을 추모하기 위해 육군 제3군단이 1958년 3월 15일에 세웠다. 백석산 전투는 1951년 8월 18일부터 10월 28일까지 벌어진 치열한 고지쟁탈전으로, 국군 제7사단과 제8사단, 미군 제96야전포병대대가 북한군과 중공군에 맞서 싸웠다. 국군은 883 고지, 901 고지, 536 고지, 554 고지 등 주요 고지를 탈환하며 백석산을 확보하고 작전의 주도권을 장악했다. 전투는 어은산 남쪽 고지군까지 확전 되었고, 국군은 중공군의 저항을 물리치고 주요 고지를 점령해 전선을 안정시켰다.",,mfis.mpva.go.kr,강원특별자치도 양구군 방산면 송현리 233,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펀치볼지구전투전적비,"이 전적비는 1958년 3월 15일 육군 제3군단이 세운 기단 1.75m, 비신 2.1m 크기의 비석이다. ‘펀치볼’이라 불리는 해안분지를 확보하기 위해 1951년 8월 29일부터 10월 30일까지 서화리, 가칠봉, 피의능선, 1211 고지, 무명고지 일대에서 치열한 전투가 벌어졌다. 이 전투에서 전사한 장병들의 넋을 기리고자 전적비가 세워졌다. 당시 한국군 제3·제5사단, 해병 제1연대, 미군은 인민군과의 공방 끝에 펀치볼과 주요 고지를 점령했다.",,https://www.ygtour.kr/Home/index,강원특별자치도 양구군 동면 팔랑리,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전기필불망비,흉년이 심해 마을 주민들이 끼니를 잇지 못했다. 이때 전기필이라는 부자가 자신의 곡식 수백 석을 구휼미로 나눠 기근을 무사히 넘겼다. 조정에서 가선대부 벼슬을 내렸으며 주민들은 공로를 기리기 위해 1840년 비석을 세웠다. 이후 1942년 목공의 후손인 전승한씨에 의해 비각이 세워졌다. 불망비란 후세 사람들이 잊지 않도록 어떤 사실을 적어 세우는 비석이다. 마을 사람들에게 많은 은덕을 베풀고 목숨을 구해주었기에 이렇게 감사의 표시로 전기필불망비가 세워졌을 것이다.,,https://www.ygtour.kr/Home/index,강원특별자치도 양구군 국토정중앙면 가오작리,상시 개방,연중무휴,불가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
법천사지 유적전시관,"원주 법천사지 유적전시관은 고려 문종 때 왕사와 국사를 지낸 지광국사가 머물면서 큰 사찰의 규모를 갖추게 된 법천사가 있던 폐사지(국가지정문화유산 사적 법천사지) 내에 지어진 유적전시관으로, 전시관 실내에 고려시대 승탑의 백미로 꼽히는 국보 원주 법천사지 지광국사탑이 원주를 떠난 지 110여 년 만에 환수되어 전시되어 있다. 이 탑은 1910년대 일본으로 무단 반출되었다가, 다시 명동성당, 경복궁 등으로 거처를 옮기다 한국전쟁 당시 피폭 되어 복원 후 경복궁 고궁 박물관에 위치하다 국립문화유산연구원으로 옮겨져 보존처리 후 본 위치인 법천사지로 돌아왔다. 지광국사탑 외에도 법천사지 내 발굴조사에서 수습된 여러 유물들 또한 1, 2층 전시실에서 관람할 수 있다. 전시관 실외에는 사적 법천사지가 위치했던 터와 고려 시대 대표적인 걸작으로 꼽히는 국보 원주 법천사지 지광국사현묘탑비 또한 관람할 수 있다.",,https://whm.wonju.go.kr,강원특별자치도 원주시 부론면 법천사지길 50-15,09:00~18:00,매주 월요일 / 1월 1일 / 설·추석 당일 / 공휴일 다음날,가능,,,무료,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,법천사지 발굴체험 / 법천사지 탐험대
늘푸른체험농원,"늘푸른체험농원은 문혜리에 있는 농촌 체험농장이다. 유치원 원아들을 위한 농원 체험행사가 규모가 커져서 지금에 이르게 되었다. 이곳에서는 승마 체험, 농원 체험, 동물 체험 등 다양한 체험 행사를 제공한다. 포니, 말과 당나귀, 토끼, 칠면조, 기니피그 등 방대한 규모의 동물들을 보유하고 있어 아이들이 동물 먹이 주기 체험 등을 통해서 동물들과 교감하며 자연과의 조화를 스스로 체험할 수 있다. 말과 함께 공존하는 공간에서 즐길 수 있는 승마 체험, 사계절의 농산물과 과실들을 수확하고 깡통 열차를 타고 농장을 둘러보며 즐길 수 있는 농원 체험, 다양한 동물들에게 먹이를 주며 즐길 수 있는 동물 먹이 주기 체험이 있다. 이 외에 자연과 함께 농원에서 캠핑과 카라반을 즐길 수 있는데 캠핑사이트는 11개가 있고 데크가 있는 사이트도 2곳이 있다.
계절, 절기, 연중 체험행사 등 다양한 체험을 즐길 수 있고 체험비와 시간은 전화나 홈페이지 문의를 해야 한다. 아이와 함께 방문하기 좋은 곳이며, 주변에 물 맑고 공기 좋은 백운산과 명성산이 있어 함께 둘러보면 좋다.",,https://alwaysgreen.campingt.me,강원특별자치도 철원군 서면 와수로62번길 45-3,"- 평일 입실 11:00
- 토요일 입실 13:00
- 퇴실 11:00",연중무휴,가능,,,,,있음,"사이트 45,000원
※ 자세한 사항은 홈페이지 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,계절별 체험행사 / 절기별 체험행사 / 동물먹이주기 / 승마
칠봉체육공원,"칠봉체육공원은 주민들의 야외활동과 체육활동을 통한 건강증진의 목적으로 만들어진 공원이다. 이곳은 산현리 일대 3만3천여㎡ 부지에 다목적 족구장과 잔디축구장, 농구장 등을 갖췄다. 시설의 유지 보수가 지역 주민들의 공동 관리로 운영되고 있어 잔디 운동장은 전용 축구장으로 사용해도 손색이 없을 정도이다. 2022년 개장한 섬강 자작나무숲 둘레길의 시작점이기도 한 칠봉체육공원은 넓은 주차장을 보유하고 있으며 공원 안에는 화덕피자 체험장과 카페가 들어서 많은 방문객의 발길을 이어지고 있다. 지역주민의 체육대회나 야유회뿐 아니라 타지역만의 사용도 가능하다. 이용 신청은 홈페이지를 통한 예약으로 이루어지며 지역 부녀회에서 직접 준비하는 점심을 주문할 수 있다. 체육공원 인근 500m 거리에는 산현 보건진료소가 있으며 연쇄점과 슈퍼에서는 음료나 잡화, 낚시용품 등을 배달하고 있어 편리하게 이용할 수 있다.",,http://www.7bong.kr/,강원특별자치도 원주시 호저면 칠봉로 358-83,일출~17:00,연중무휴,가능,,,,,있음,"- 제1·2 축구장 300,000원
- 전천후 농구장 150,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
치악산 구룡자동차야영장,"치악산 구룡자동차야영장은 강원도 원주시 치악산에 위치한 국립공원공단에서 운영하는 캠핑장이다. 구룡야영장안에는 자동차 야영지 51개, 카라반 체류형 14개, 솔막 3개가 있으며 이 중 자동차 야영장은 18번에서 68번 사이트를 이용하면 된다. 각 사이트마다 차량 주차 2대가 가능하며 화장실과 코인 샤워장, 취사장, 개수대 및 공용 전자레인지 등의 편의 시설이 야영장 중앙에 배치되어 있다. 국립공원에 위치한 야영장인 만큼 화재 위험과 안전 수칙, 쓰레기 수거 등의 철저한 관리가 이루어지고 있으므로 방문 시 염두에 두도록 한다. 치악산의 아름다운 자연 경관과 맑은 공기, 조용한 주변 환경으로 유명한 이곳은 여름에는 한시적으로 계곡을 개방하여 물놀이도 가능하며 가격이 저렴하고 시설도 좋아 예약이 조기에 마감되기도 한다.",,https://www.knps.or.kr,강원특별자치도 원주시 소초면 구룡마을길 14,"- 입실 15:00
- 퇴실 12:00",동절기 (12월~3월),가능,,치악산구룡야영장은 올해로 세번째 방문입니다. 가족의 첫캠핑장소였고 작년여름휴가엔 카라반에서 올해는 다시 야영장에서 보냈습니다. 수도권이랑 가까워서 접근성이 좋으면서도 산속깊이 있는 듯한 느낌도 들고 밤엔 계곡 물소리가 시원하게 나서 자연속에 있는 기분입니다. 가까이 구룡사가 있어서 산책삼아 다녀오기 좋고 여름엔 계곡도 개방해서 아이들과 물놀이하기 좋습니다.,,"[성수기]
- 자동차 야영장 19,000원
- 카라반 80,000원
[비수기]
- 자동차 야영장 15,000원
- 카라반 60,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,접근로가 평지로 되어 있으나 흙구간임,기타 부대시설 한계단 정도 단차가 있음,유모차 대여 가능함(치악산사무소),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용화마을,"7번 국도변, 삼척에서 남쪽으로 24㎞ 지점의 용화해변은 반달형 모양의 긴 백사장을 자랑하는 동해에서 유명한 피서지이다. 바닥이 훤히 들여다보이는 맑은 에메랄드빛 바다와 800여 미터가량 펼쳐진 고운 모래사장 그 옆에 펼쳐진 기암괴석 또한 장관이다. 이러한 용화해변을 품고 있는 마을이 용화마을이다. 아름다운 비경을 자랑하는 미항의 존재가 알려지고 차별화된 어촌체험프로그램이 더해지면서 2000년대 들어 관광어촌으로 발전했다. 2010년에는 근덕면 궁촌리∼용화리 사이 5.4㎞ 바닷가에 해양레일바이크 시설이 설치되고 뒤이어 용화리∼장호리를 잇는 바다 위 874m에 해상 케이블카가 설치되면서 레일바이크를 타고 용화리 해변에 도착한 뒤 다시 해상 케이블카를 타고 장호항까지 바다 위를 건너는 이색관광이 소개되며 이를 체험하려는 관광객들이 더욱 많이 용화마을을 찾게 되었다. 용화어촌체험마을에서는 여름 레포츠인 스노클링과 투명카누를 체험할 수 있으며 서핑도 할 수 있다. 물놀이 후 용화마을을 둘러보는 것도 추천한다. 용화마을 담에는 벽화들이 그려져 있다. 해변의 모습과 용화마을의 모습이 벽화로 그려져 정겨움을 느끼게 한다. 용화해변 한편에는 해신당이 있어 1년에 한 번 굿을 하여 바닷가마을의 안녕을 기원하는 행사가 열리기도 한다. 근처에 공양왕릉, 신리너와집, 신흥사, 초당굴등 관광지가 많아 함께 둘러볼만하다.",,,"강원특별자치도 삼척시 근덕면 용화해변길 23 (근덕면, 해양레일바이크) 일대",점포 별로 상이함,연중무휴,가능,,"마을 자체가 볼거리라 있다기 보다는 마을을 중심으로 주변에 관광이 잘 되어 있는 느낌입니다. 더불어 해수욕장과 가깝게 민박, 펜션 등이 위치하고 있어 바닷가로 놀러가시엔 꽤 괜찮은 곳입니다. 유명한 레일바이크도 위치하고 있어 가족끼리도 가기 좋습니다. 삼척해양레일바이크는 항상 예약해야해서 부모님모시고 아침일찌ㅣ 출발했는데. 시간이 15분정도 늦을꺼같아 다음시간으로 변경할라고 했는데 다음시간은없고10시30분이 마지막이라해서 포기하고. 한주후다시 예약하고 타고옴ᆢ부모님들이 좋아하셔서 후회없는. 여행으로 다녀왔습니다 더운 날씨지만 레일바이크를 타고 동굴로 들어가면 시원한 바람이 있어 땀을 식혀주었어요 예쁜 바다를 배경으로 달리는 맛도 좋았고 한적하고 평화롭고 그림같은 바다가 인상깊게 남네요",,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스노클링 / 투명카약 / 서핑
