place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용가능시설,시설이용료,접근로,출입통로,review,체험가능 연령,화장실,입장료,장애인 주차 안내,엘리베이터,유모차,수유실,휠체어,지정현황,주차요금,이용요금,주요시설,대중 교통,지체장애 기타 상세,판매 품목,관람석,점자 홍보물,오디오 가이드,주차 요금,객실수,예약안내,예약안내 홈페이지,청각 장애 기타상세,시각장애 기타상세,개장기간,규모,이용 시기,수용인원,영업시간,대표메뉴,취급메뉴,대여안내,보유장비,부대시설,보조견 동반,점자 블록,안내 요원,코스안내,할인 정보,수화 안내,자막 비디오 가이드,입실시간,퇴실시간,객실내 취사 여부,바비큐장여부,세미나실 여부,객실유형,입점브랜드,식음료장,객실,유도안내 설비,영유아가족 기타상세,체험
소창체험관,"소창 체험관은 1938년에 건축된 한옥과 염색공장이었던 옛 평화 직물 터를 2016년에 리모델링하며 꾸며졌다. 강화군 전통산업인 소창에 대한 전통문화유산 보존과 가치를 재조명하는 공간으로, 화문석에서 시작되는 강화의 직물산업 역사와 마지막 종착지인 소창 이야기에 대한 이해는 물론 소창 손수건 스탬프 체험, 다도 체험, 소창 직조 시연 체험이 상시로 운영되어 소창을 오감으로 느낄 수 있다. 스탬프체험은 사전예약을 할 수 있고, 차 시음회, 문화해설은 현장신청을 통해 가능하다.",,https://www.ganghwa.go.kr/tour/,인천광역시 강화군 강화읍 남문안길20번길 8,"10:00~18:00
※프로그램 준비 및 시설 정비 12:00~13:00","매주 월요일 (단, 월요일이 공휴일인 경우 그 다음날 휴무) / 1월 1일 / 설·추석 당일","가능
요금 (무료)","소창전시관, 다도관(1938한옥) / 소창스탬프체험관 / 소창바느질체험관 / 직조시연관 / 한복체험관 / 기념품전시관",※ 체험별로 상이하므로 홈페이지 참고,출입구까지 경사로가 설치되어 있음_무장애 편의시설,주출입구는 경사로가 있어 휠체어 접근 가능함(전시관 및 한옥 이용불가),"실내가 고풍스럽고 부모님과 와도 아주 좋을거같아요. 공기좋고 구경할거 많고 또올게요. 소창 스탬프, 한복 재밋었어요 강화 여행때마다 가보고 싶었던 곳인데 어른들만 가니 못가본곳였어요. 이번 초등 조카가 있어서 남자 둘 싫어해도 우겨서 갔었네요.ㅋ 한옥집에 대문부터 멋스러운것이 정겹고 포근했어요. 입구 앞에 정원은 현대적인데 고풍스러움이 묻어있는 한옥과 소창체험관이 너무 잘 어울렸어요. 입구 들어서면 좌측 소창 체험관과 우측 다도체험관이 보이고 안쪽으로 깔끔한 신축으로 소창전시관이 있었어요. 1층은 소창...
더보기 소창체험관에서 무료로 손수건도 만들고 작물이 어떻게 짜여지는지도 볼수있어서 아이들에게 너무 좋은 추억을 만들수 있었던거 같습니다 시간만 맞으면 다른프로그램도 할수있어서 좋은거같아요! 강화간다면 한번쯤 방문해도 좋을거같아요~ 지난 주말 소창체험관 행사가 있어서 다녀왔습니다. 체험도 하고 공연도 보고 로컬아트마켓에서 물건도 구매하고 이벤트 참여도 하고 즐거운 하루 보냈습니다. 10월도 한번 더 하는거 같아요. 스탬프찍으면서 손수건만들기 프로그램도 있고 다도공간도 있고 소창이 어떻게 만들어지는지 설명도 잘되어있습니다! 강추입니다!!!! 소창을 이용해 나만의 손수건도 만들고 한복 무료 체험이 있어 한복을 입고 체험관 내에서 사진도 찍었답니다. 아쉽게도 이제는 한복 체험이 유료라고 하니 참고하세요. 차체험도 할 수 있는데 뜨거운 물을 사용하다보니 화상의 위험이 있어 어른들만 체험 가능하답니다. 무료로 다양한 체험도 하고 소창 만드는 것도 관람할 수 있어 너무 좋았답니다. 강화도 소창체험관 처음 방문했습니다. 방문때 연꽃차도 있고 과자도 있었서 먹었는데 너무 맛있어서 구매 물어보니 파는건 아니라고 합니다. 새로운 차와 과자를 맛보아서 계속 생각이 납니다. 소창체험관 주위로 둘러볼곳이 있습니다. 하얀손수건에 물들이기 체험도 했습니다. 그 손수건 지금 열심히 사용하는데 너무 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,문화해설 / 직조시연 / 소창스탬프체험 / 한복체험 등
옥토끼우주센터,"옥토끼우주센터는 국내 최초의 항공우주과학 테마파크이다. 항공우주 관련 자료를 수집, 보존하여 일반 대중들의 항공우주과학에 대한 이해를 돕기 위한 전시 및 교육을 실시하고 있다. 특히 어린이들의 체험교육에 중점을 두어 항공우주 관련 체험기구와 체험교육 프로그램을 개발, 운영하고 있다. 또한 과학, 예술, 탐험, 놀이가 결합된 복합문화공간으로 사계절 내내 방문할 수 있는 곳이다.
옥토끼우주센터는 우주공항과 공룡의 몸통이라는 두 가지의 콘셉트를 가지고 노출콘크리트와 스테인리스 그물망으로 지어진 나선형태의 건축물이다. 건물은 내부와 외부공간으로 구분되는데, 내부공간은 관람 동선을 따라 과학전시물 체험을 하며 우주센터를 관람하게 되어 있다. 외부공간은 넓은 옥토끼우주센터 전체를 한눈에 조망할 수 있는 전망 탑을 중심으로 공룡의 숲, 물대포 공원, 로봇 공원, 천체영상관, 사계절 썰매장, 로고스 가든 등으로 구성되어 있다. 건물의 뛰어난 조형성을 보여주는 상층부와 공룡의 뼈대를 형상화한 주차장을 잇는 경관 램프는 아이들에게 공룡 뱃속을 탐험하는 느낌을 줄 것이다.",,http://www.oktokki.com,인천광역시 강화군 불은면 강화동로 403,"- 평일 10:00~17:30
- 주말 09:30~19:00",연중무휴,"가능 (약 450대)
요금 (무료)",전시관 / 실내 체험기구 / 실외 놀이기구 / 사계절 썰매장시즌별시설 / 워터파크 / 보트장 / 얼음썰매 등,,"전시관내 동선이 모두 경사로로 이루어져 휠체어의 이동에 불편함이 없음 그러나 야외공간으로 이동시에는 나무로 깔린 길이 평탄하지 않아 동행자의 도움이 필요함 공룡공원은 흙길이라 언덕 위쪽의 공룡까지 접근하기는 어렵지만, 입구 쪽의 공룡들은 가까이 다가가서 작동시켜 볼 수 있음",주출입구는 휠체어 통과 가능함(수동문),"아이가 워낙 우주에 관심이 많아 다녀오게 되었어요 우주탐사는 물론 체험과 놀이기구도 잘 되어있어서 너무 재미있게 즐겼네요 체험할것들도 많고 우주에 대해서도 더 깊이 알수있어서 유익한 시간이었습니다! 강화 옥토끼우주센터는 우주와 관련된 다양한 전시와 체험을 할 수 있어 매우 흥미로웠어요. 특히, 우주 탐사에 대한 정보가 잘 정리되어 있어 교육적이고 재미있는 경험이었습니다! 초등학생들이 견학하고 체험하고 놀기 좋은 곳이에요. 항공우주에 관해서 관심없는 어린이는 별로 없을거에요. 아이들이 흥미로워한답니다. 사진 찍을만한 곳도 많아요. 내부에는 우주관련 전시와 다양한 체험시설이 있고 외부에는 공룡정원, 사계절 썰매장, 작은 물놀이 시설, 카누 체험 그리고 우주정거장 체험 시설이 있었어요. 내부에 식당, 카페, 기념품샵도 있어서 편리하게 이용할 수 있었습니다. 다만 놀이기구나 체험시설들이 키, 몸무게 제한이 있어 아이들의 체격에 따라 체험이 불가능한 것들도 있었어요. 유치원~ 초등 저학년 아이들과 함께 방문하시면 좋을 것 같...
더보기 아이들 어릴때 데리고 갔었는데 의외로 볼거리와 체험 할 수 있는게 다양하더라고여~^^ 내부에는 우주 관련해서 다양하게 있고 외부에도 썰매나 공룡 모형들이 있어서 몇시간은 금방 갔던거 같아요~ 우주센터 내부에 우주에 관련된 모형이 많이 있고 체험할수 있어서 좋아요. 실내에서 체험후 야외에 보트 썰매등 다양한 시설이 있고 숲속에 공룡들을 전시해 놓아 아이들이 좋아해요. 여름에 물놀이도하고 재밌게 놀다가요. 아이가 너무 재밌어하고 좋아해서 보람 있네요 근데 하루종일 놀아도 되는곳이라 나중에는 날 잡아서 갔다와야할것 같아요~~ 또가고 싶은데 너무 멀어 아쉽네요ㅠㅠ",24개월 이상,"장애인용 화장실 있음(1층 화장실, 남녀분리)","[평일]
- 베이비 (24개월이상~36개월미만) 9,000원
- 소인 (36개월이상~만12세미만) 16,000원
- 대인 (만13세이상~만65세미만) 17,000원
- 장애, 유공자, 경로, 강화군민 13,000원
[주말]
- 베이비 (24개월이상~36개월미만) 12,500원
- 소인 (36개월이상~만12세미만) 18,500원
- 대인 (만13세이상~만65세미만) 19,500원
- 장애, 유공자, 경로, 강화군민 14,500원
※ 무료 : 영아 (0개월이상~24개월미만)","장애인 주차장 있음(2대,정문근처)_무장애 편의시설",장애인용 엘리베이터 있음,"유모차 유료 대여(3,000원,12대,안내데스크,36개월 미만,인적사항 작성)",수유실 있음(1층),"휠체어 무료 대여(2대,안내데스크,인적사항 작성,032-937-6918)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송월동 동화마을,"송월동은 소나무가 많아 솔골 또는 송산으로 불리다가 소나무 숲 사이로 보이는 달이 운치가 있어 지금의 이름으로 불리고 있다. 1883년 인천항이 개항된 후에는 독일인들을 비롯한 외국인들이 거주하기 시작하면서 부촌을 형성하였으나, 수십 년 전부터 젊은 사람들이 떠나고 마을에는 연로하신 분들이 살다 보니 활기를 잃고 침체되었으며, 빈집들은 방치되고 있었다. 이런 열악한 주거환경을 개선하기 위해 꽃길을 만들고 세계 명작 동화를 테마로 담벼락에 색칠을 하여 동화마을로 변화하였다.",,http://www.icjg.go.kr/tour,인천광역시 중구 송월동3가 17-1,상시 개방,연중무휴,가능,,,,휠체어가 접근 가능한 크기의 문이거나 혹은 거리로 이루어짐,"알록달록 어린 감성이 가득한 송월동 동화마을. 어린시절 읽은 동화 속 주인공, 만화 속 주인공을 만날 수 있지요. 동네를 한 바퀴 돌다 보면 오르막이 살짝 힘들어도 그 위에서 보는 풍경은 멋지답니다. 그리고 동화마을 슈퍼의 떡꼬치 추천!! 어린이날 가기 좋은 곳이예요 귀여운 벽화를 배경으로 사진찍고 추억쌓기도 좋고 근처 차이나타운가서 맛난것도 먹고 당일치기 나들이로 추천해요 어린이날 가기 딱 좋은 곳이예요 귀여운 벽화그림 구경하기도 좋고 근처 차이나타운도 있어서 맛난거 먹고 가족 나들이로 추천합니다 벽화마을이 잘 꾸며져 있고, 포토존도 많아요~ 사진찍기도 좋고 차이나타운과 연결되어 있어 같이 관광하기 좋아요  다양한 벽화들을 보며 예쁜사진을 남기기 좋아요 가족끼리 특별히 갈곳은 없는데 나가고 싶을때 가기도 좋아요",,장애인 전용 화장실 있음,무료,"장애인 전용 주차구역 있음(차이나타운 주차장,길목 공영주차장 1대,아트플랫폼 주차장 3대,각각 장애인표지판 있음)",,,,대여가능(동화마을 안내소),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,여자화장실 기저귀교환대 있음,
철종외가,"조선 25대왕 철종(재위 1849~1863)의 외숙인 염보길이 살던 가옥으로, 1853년(철종 4)에 강화유수 정기세에게 명하여 지은 가옥이다. 철종은 전계대원군의 셋째 아들로 1844년 그의 형 회평군의 옥사로 가족이 강화도로 유배되어 강화도령이라는 별칭으로도 많이 알려져 있다. 1847년 헌종이 후사가 없이 죽자, 대왕대비 순원왕후의 명으로 19세의 나이에 왕위를 계승하였다. 원래는 안채와 사랑채를 좌우로 두고 ‘H자형’으로 배치되었으나 행랑채 일부가 헐려 지금은 ‘ㄷ자’ 모양의 몸채만 남아있다. 경기 지역의 사대부 가옥 형태를 따랐으나 사랑채와 안채가 ‘ㅡ자형’으로 연결돼 있고 안채와 사랑채 공간을 작은 담장인 화장담으로 간단히 분리하였다. 당시 일반 사대부 집의 웅장한 규모에 비해 작지만 고풍스럽다.",,https://itour.incheon.go.kr,인천광역시 강화군 선원면 철종외가길 46-1,상시 개방,상시 개방,가능,,,,,,,,무료,,,,,,인천광역시 문화유산자료 강화 철종 외가 (1995.03.02. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강화 분오리돈대,"돈대는 해안가나 접경 지역에 쌓은 소규모 관측, 방어시설이다. 병사들이 돈대 안에서 경계근무를 서며 외적의 침략을 비롯한 각종 수상한 정황을 살피고 대처한다. 적이 침략할 때는 돈대 안에 비치된 무기로 방어전을 펼치기도 한다.
분오리돈대는 1679년에 쌓은 48돈대 가운데 하나로 동막해수욕장 옆에 있다. 원래 계획은 방형 구조였는데 자연 지형을 이용해 쌓다 보니 초승달 모양이 되었다. 돈대가 대부분 방형이거나 원형인데 반해서 분오리돈대는 초승달 모양이라 독특한 외형을 갖고 있다. 뒷산에서 해안으로 돌출되어 나온 산 능선의 끝부분에 위치하여, 좌우로 깊게 만곡 된 갯벌을 이룬 포구를 끼고 있어 가시 범위가 매우 넓다. 4곳에 문을 설치한 외곽 포대로, 관아에서 돈장을 따로 두어 관리하게 할 정도로 중요했다.",,"강화군 문화관광 http://www.ganghwa.go.kr
국가유산청 https://www.heritage.go.kr/",인천광역시 강화군 화도면 동막리 1,상시 개방,연중무휴,가능,안해루 / 광성돈대 / 용두돈대 / 손돌목돈대 / 쌍충비각 등,,,,날 더워도 위에올라가서 강화도 내려다보니 시원하고 속이 뻥 뚫리니 정말좋고 내려오는길에 강화도 향토음식점들도 많아서 좋았습니다~ 강화도의 수많은 돈대중 하나인 분오리 돈대. 돈대 자체의 특징은 별로 없지만 돈대에서 바라보는 바다와 동막해수욕장 풍경도 좋고 동막해수욕장 근처에 음식점도 많아서 보고 먹고 하루 즐기기에 좋습니다~!,,있음,,,,,,,인천광역시 유형문화유산 강화 분오리돈대 (1999.03.29. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강화 원도심 스토리워크,"강화읍의 숨겨진 역사와 문화를 직접 걸으며 강화의 역사, 산업, 종교를 한눈에 만날 수 있는 강화 스토리워크는 강화 역사만이 아닌 대한민국 근대사와 연결돼 있기에 더욱 의미 있는 곳이다. 강화의 전성기를 느낄 수 있는 심도직물(터), 한옥으로 지어진 가장 오래된 교회인 대한성공회 강화성당, 강화에서 일어난 대규모 만세운동을 기념한 강화 3·1 독립만세 기념비, 한국 천주교의 노동 문제를 적극적으로 개입한 첫 사건을 기념한 노독사목 표지석, 고려시대부터 강화읍의 한편을 지키고 있는 700년 은행나무, 강화 직물 이야기를 소개한 이화견직 담장길, 우리나라에서 가장 오래된 근대식 방직 공장이었던 조양방직, 강화의 독립운동의 현장인 강화중앙교회, 합일초등학교 독립운동길, 강화의 전통이었던 직조산업을 오감으로 느낄 수 있는 소창체험관까지 이어진다. 친환경 전기자전거를 타고 고려궁지 등 주요 관광지를 둘러보는 여행상품도 운영 중이다.",,https://www.ganghwa.go.kr,인천광역시 강화군 강화읍 관청길27번길 10,"[내 맘대로 강화 원도심 도보 여행]
- 상시 개방
[해설사와 함께하는 강화 원도심 여행 도보 해설 투어]
- 10:30
- 13:30",연중무휴,불가능,,,,,강화에서는 걸을대마다 역사속이네요 강화에서는 걸을대마다 역사속이네요 강화에서는 걸을대마다 역사속이네요 집에서영상보다니눈이호강합니다꼭가고픈곳이예요,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"스토리워크 투어 코스 (약 2.6㎞ / 여행시간 2시간)
심도직물 → 대한성공회 강화성당 → 독립만세 기념비 → 노동사목 표지석 → 700년 은행나무 → 담장길 → 조양방직 → 강화중앙교회 → 합일초 → 소창체험관"
구 일본우선주식회사 인천지점,"해안동에 있는 구 일본우선(郵船)주식회사 인천지점 건물은 개항 이후 인천의 해운업을 독점했던 일본 운송회사의 사옥이었다. 일본우선(郵船)주식회사는 당시 인천의 해운업을 거의 독점하다시피 했으며 지금도 도쿄에 본사를 두고 해운업을 계속하고 있다. 이 건물은 당시 업무용 건물로서 규모가 큰 편으로 붉은색 지붕에 외벽을 노란색 타일로 처리했다. 이 건물은 지금 남아 있는 우리나라 근대 건축물 중 상당히 오래되었고, 종교시설과 공공시설이 아닌 민간 소유의 건물 중에 원형이 잘 보존되어 있으며 근대문화 유산으로서 보존 가치가 높다. 최근까지도 해운업 관련 회사의 사무실로 이용되었으며 우리나라 해운 산업의 역사를 보여주는 건물로 가치가 있다.",,https://www.icjg.go.kr/tour/,인천광역시 중구 제물량로218번길 3 (해안동1가),※ 자세한 사항은 전화문의 요망,연중무휴,가능,,,,,지나가면서 본 건물입니다! 20세기 초의 건축물 양식을 구경할 수 있어 좋았습니다ㅎㅎ,,,무료,,,,,,국가등록문화유산 구 일본우선주식회사 인천지점 (2006.04.14. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충렬사,"인천시 문화재로 지정된 충렬사는 병자호란과 신미양요 때 나라를 지키다 순절한 우의정 김상용을 비롯한 충신 28명의 위패가 봉안돼 있다. 1641년(인조 19)에 건립돼 현충사라 불리다 1658년(효종 9)에 국왕으로부터 충렬사란 이름을 받아 강화유수 허휘가 충렬사로 이름을 바꾸었다. 우의정 김상용은 1636년 병자호란 때 왕실의 신주를 받들고 빈궁, 원손을 수행해 강화도로 피난했다가 이듬해 성이 함락되자 성의 남문루에 있던 화약고에 불을 지르고 순절하였다. 충렬사를 건립할 당시에는 모두 7명을 배향하였으나, 이후 황선신과 강흥업이 추향되어 9명의 위패가 모셔졌다. 그 후 충렬사 비기가 건립되었다.
신미양요 당시 미군에 맞서 싸운 충신까지 배향하게 되면서 현재는 모두 28명의 위패가 모셔져 있다. 충절인의 넋을 달래고, 국가에 대한 충절을 장려한다는 의미를 지녔기 때문에 충렬사는 국가의 특별한 보호와 지원을 받았다. 1871년(고종 8) 흥선대원군이 서원, 사우를페쇄할 때도 그 대상에서 제외되어 존속되었다. 현재는 충렬사유지재단에서 관리하고 있다. 충렬사는 교육 공간인 명륜당과 동재, 서재는 없어지고, 지금까지 남은 건물로는 한식 목조 맞배지붕으로 된 14평의 사당과 16평의 수직방, 14평의 전사청, 비각, 외삼문 등이 있으며 1977년 보수하여 지금에 이른다.",,https://www.ganghwa.go.kr,인천광역시 강화군 선원면 충렬사로 232,,연중개방,,,,,,,,있음,무료,,,,,,인천광역시 유형문화유산 충렬사 (1995.03.02. 지정),무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,향례제 춘추재 석재
수도권매립지 드림파크 야생화단지,"드림파크 야생화단지는 수도권매립지 내에 축구장 60개 규모의 대규모 녹지공간으로 조성된 도시숲이다. 과거 연탄재 야적장이었던 부지를 수도권매립지관리공사와 지역주민이 함께 가꾸어 꽃과 나무가 어우러진 생태녹지로 탈바꿈시켜, 수도권 시민들에게 산책과 휴식, 환경교육의 장을 제공하고 있다.
드림파크 야생화단지는 테마식물지구, 야생초화지구, 습지생태지구 등 다양한 주제 공간으로 구성되어 있으며, 약 300여 종의 식물이 식재되어 있어 사계절 내내 다채로운 자연을 즐길 수 있다. 4월에는 벚꽃과 수선화, 5~6월에는 작약과 수국, 9~11월에는 핑크뮬리로 물든 꽃밭이 펼쳐져 풍성한 생태계를 감상할 수 있다.
이 밖에도 연꽃과 벗풀, 꽃창포가 있는 수생식물원, 시원한 녹음이 드리운 참나무 쉼터, 물 위를 걷는 듯한 징검다리길, 피톤치드가 가득한 메타세쿼이아길 등이 조성되어 있어 방문객들에게 특별한 휴식 경험을 선사한다. 또한 매년 가을에는 드림파크 국화축제가 열려 다채로운 시민참여 프로그램이 함께 진행되어 나들이객들에게 큰 사랑을 받고 있다.",,"수도권매립지관리공사 https://www.slc.or.kr/
인천투어 https://itour.incheon.go.kr/",인천광역시 서구 자원순환로 170 (백석동),4월~11월 10:00~18:00 (입장 마감 17:00),매주 월요일,가능,,,"야생화단지 무단차,CC클럽 무단차 접근 가능",,"매립한 곳에 체육공원과 야생화단지 등 주민들의 쉼터로 활용해서 휴식공간으로 바뀌어 가고 있어요 가을에 다녀왔어요. 코스모스밭도 참 인상적이었고 곳곳에 사진찍을만한 곳도 많았고 한나절 누리기 좋은 장소였어요. 평일에 가서 그런지는 모르지만 주차공간도 많아서 좋았어요. 드림파크 야생화공원은 산책하기도 좋고 도시락을 싸서 숲속에 서 먹어도 좋습니다 볼것이 너무 많아서다 도는데 시간이 제법 걸리는 곳입니다 사철을 볼수가 있어서 아주 좋습니다 최근에 가을을 맞이해 3번 정도 방문했는데 공원이 크고 좋아요. 코스모스도 진짜 많았고 노랗게 물든 은행나무도 너무 예뻤어요. 국화랑 핑크뮬리도 볼수있어요. 여긴 홍보만 되면 무조건 사람 많이 올것 같아요. 다른 계절도 기대되는 곳입니다 단풍에 대한 기대를 안고 방문한 드림파크. 국화는 조금 지나서 서운했지만, 튤립나무 군락지도 좋았고, 핑크뮬리도 좋았습니다. 넓은 잔디밭에서 파란 하늘도 보고, 여유를 느낄 수 있는 공간이어서 특히나 좋았습니다. 사진에 홀려서 방문했다가 실망하는곳이 많은데 여긴! 사진에 모두 담을 수 없는 아쉬움에 주변 지인들에게 꼭 가보라고 내내 추천한 곳입니다 내년 봄에 또 한번 가고 싶어 찜! 드림파크에서 국화축제가 있다고 한번 다녀왔습니다. 여기 엄청 크고 다양한 꽃들이 많아서 걸으면서 콫 구경하고 힐링하기 좋은곳입니다.꼭 축제가 아니더라도 한번 방문해 보세요.",,"장애인 전용 화장실 있음(공중화장실,CC클럽)",무료,장애인 전용 주차구역 있음_무장애 편의시설,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,수도권매립지관리공사 견학프로그램
함허동천야영장,"강화 남부에 위치한 함허동천야영장은 총 4개의 야영장으로 구성된 대규모 캠핑장이다. 이곳은 함허동천계곡을 끼고 있는 마니산과 앞에 펼쳐진 강화도 남쪽 바다 덕분에 산과 바다의 아름다움 속에서 야영을 즐길 수 있는 최적의 장소이다. 계곡 주변에 마련된 4개의 야영장에는 취사장, 다목적 시설 등 다양한 편의시설이 갖춰져 있다. 제1야영장은 인터넷 예약제로 운영되며, 전기 사용이 가능해 주말마다 예약이 가득 찰 정도로 인기가 높다. 반면 제2·3·4야영장은 예약 없이 당일 이용이 가능해 보다 자유롭게 캠핑을 즐길 수 있다. 야영장 중 제2야영장과 제4야영장의 끝자락에서는 강화 앞바다를 바라보며 한적하고 고요한 캠핑을 즐길 수 있고 다목적시설이 가까운 제3야영장은 단체 활동에 매우 적합하다. 또한 마니산 등산로와 이어져 있어, 정상에 있는 단군왕검이 제를 지냈던 참성단과 천연기념물 소사나무를 둘러보며 내려올 수 있다.",,https://www.ghss.or.kr/ttreserve,인천광역시 강화군 화도면 해안남로1196번길 38,"[제1야영장]
- 입실 14:00~22:00
- 퇴실 11:00
[제2~4아영장 숙박사용]
- 입실 07:00
- 퇴실 18:00
[제2~4아영장 당일사용]
- 07:00~18:00
※ 당일사용은 당일 입실 후 당일 퇴실",연중무휴,가능,,,,,마니산과 함허동천 계곡과 함께 야영을 할수있는 곳이에요~ 군에서 운영하는 곳이라 가격도 합리적이고 이용하기에도 편리해요. 가족단위 캠핑객들 꼭 방문해보세요,,있음,,,,,,,,,"[제1야영장]
- 1박 2일 18,000원
- 2박 3일 26,000원
- 3박 4일 34,000원
[제2~4야영장 숙박사용]
- 1박 2일 13,000원
- 2박 3일 19,000원
- 3박 4일 25,000원
[제2~4야영장 당일사용]
- 야영장내 모든 설치물 7,000원
- 대형천막 10,000원
※ 입장료 별도
※ 자세한 사항은 홈페이지 참조",야영장 / 족구장 / 농구장 / 놀이마당 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
