place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,접근로,출입통로,장애인 주차 안내,화장실,엘리베이터,오디오 가이드,review,이용요금,휠체어,수유실,관람석,판매 품목,지정현황,이용가능시설,점자 홍보물,이용 시기,유모차,체험가능 연령,시각장애 기타상세,지체장애 기타 상세,주요시설,시설이용료,대중 교통,개장기간,부대시설,주차요금,규모,주차 요금,수용인원,입점브랜드,유아용보조의자,보조견 동반,점자 블록,안내 요원,보유장비,유도안내 설비,코스안내,자막 비디오 가이드,할인 정보,강습안내,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,객실,매표소,대여안내,영유아가족 기타상세,체험
부산영화체험박물관,"부산영화체험박물관은 전국 최초의 영화 관련 전문 전시 체험 시설이다. 영화의 원리를 이해하고 제작의 즐거움을 체험할 수 있는 다양한 전시시설 및 영화의 과거와 미래를 연결하는 하이테크 시네마를 갖추고 있다. 이야기가 있는 콘텐츠와 다양한 체험시설을 통해 영화의 모든 것을 보고, 느끼고, 즐기는 문화 공간이다. 전시체험을 통해 한 편의 재미있는 영화탐험스토리를 따라가면서 영화의 역사와 원리, 영화의 장르 및 제작방법, 영화축제 등의 영화 콘텐츠를 쉽고 재미있게 체험할 수 있다.",,"공식 홈페이지 https://busanbom.kr/
공식 인스타그램 https://www.instagram.com/bom_bom_a/",부산광역시 중구 대청로126번길 12 (동광동3가),10:00~18:00 (입장 마감 17:00),"매주 월요일 (단, 월요일이 공휴일과 겹치는 경우에는 그 다음 날) / 1월 1일 / 설·추석 당일","가능
요금 (최초 10분 500원 / 추가 120분당 750원 / 1일 최대 20,000원)","[개인]
- 성인 10,000원
- 어린이/청소년 7,000원
[부산시민]
- 성인 7,000원
- 어린이/청소년 4,900원
[단체 (20인 이상)]
- 성인 5,000원
- 어린이/청소년 3,500원",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,장애인 화장실 있음,엘리베이터 있음,음성안내기 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산시민회관,"부산시민회관은 동구에 위치한 종합 공연장으로 1973년 10월에 개관했다. 공연장 사정이 열악했던 시절 부산 최초의 대규모 공연 시설로 화제를 모았다. 오랜 역사와 전통을 자랑하는 시민회관은 대극장과 소극장을 보유하고 있으며, 시민들이 친근하게 다가올 수 있는 공연과 문화행사가 있는 쉼터의 역할을 수행하고 있다. 대극장은 오케스트라 피트, 회전무대 등을 갖추고 있어, 콘서트, 오페라, 뮤지컬까지 다양한 장르의 공연을 소화하도록 설계되어 있다. 그 외에 소규모 공연에 적합한 소극장과 미술작품 등의 전시회에 쓰이는 전시실, 연회실, 야외무대, 연습실, 분장실 등을 갖추고 있다. 야외무대에서는 시민뜨락축제 등이 개최된다. 콘서트나 무대 작품 공연 외에 시에서 주관하는 각종 공식 행사도 개최한다.",,https://www.bscc.or.kr,부산광역시 동구 자성로133번길 16,09:00~22:00,※ 공연마다 상이하므로 자세한 사항은 홈페이지 참조,가능,,"도보에서 건물, 건물에서 출입구까지 경사로가 설치되어 있으며 경사로에 장애인경사로 표지판이 설치되어 있음",주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,"장애인 화장실 있음(대극장,소극장)",,,여러 국제적인 대가들의 공연과 전시도 하는 부산 대표적인 공연장입니다 접근성이 정말 편리하고 지방임에도 퀄리티 높은 공연을 감상할수 있어 매우 좋았어요 시민회관 가까이에 먹을것들도 많고 공연과 어울리는 꽃 가게들도 있어 좋았습니다 부산시민회관은 부산에서 공연 문화를 이끄는 곳으로 외관의 아치 모양이 독특하고 아름다웠습니다~^^ 도심지에 위치해 있어 문화생활 하기에 접근성이 아주 좋아요 지하철이나 버스다 이용 가능하구요 가수 콘서트나 작품 전시회 연극 등 다양한 공연이 자주 개최됩니다 주차장도 있어 편리합니다 주위 맛집도 많아 식사하기에도 편해요 부산 시내에 자리잡고 있어서 접근성이 좋아요 가수 공연이나 아동극 등 많은 문화 체험을 할수 있어요 옆에 소극장은 주로 아동극을 하고 대강당은 뮤지컬이나 큰 공연을 많이 해요 주차장도 있어서 편하게 이동할 수 있어요 주위에 맛집도 많고 커피점 베이커리도 많아서 휴식하기에도 좋아요 추천헙니다,※ 공연마다 상이하므로 자세한 사항은 홈페이지 참조,대여가능,"수유실 있음
(대극장 내,소극장 이용객은 대극장에 공연이 있을시에만 이용가능)","장애인 관람석 있음(대극장 18석,소극장 6석)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,어린이놀이방 있음,
해운대 로데오거리,"해운대에 위치한 로데오거리는 70여 개의 패션 매장과 헤어샵, 피부관리실 등이 모여있는 곳으로 많은 사람들이 찾는 관광 명소이다. 로데오 아울렛 등 상설 할인매장이 밀집해 있는 지역이기 때문에 다른 곳보다 각종 패션 소품과 옷들을 저렴한 가격에 구매할 수 있다. 인근에 해운대해수욕장, 미포 해변, 달맞이고개, 송정해수욕장 등 많은 관광지가 있는 지역으로 관광과 쇼핑을 겸할 수 있는 곳이다.",,,부산광역시 해운대구 좌동순환로 473 (중동),※ 매장마다 상이함,※ 매장마다 상이함,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,"장애인 주차장 있음(로데로아울렛 주차장,맥도날드 건너편 공용주차장)_무장애 편의시설","장애인 화장실 있음(중동역 화장실,장산역(해운대백화점) 이용가능)",,,예쁘고 저렴한 옷 가게가 많아요. 돌아다니다보면 시간 가는지 몰라요.ㅎㅎ쇼핑하기 정말 좋은 장소 입니다.^^ 여기는 쇼핑할 재미가 있어서 좋더라구요 로데오거리 좋아요 즐길거리도 많고 추천합니다^^ 외국 사람도 상당히 많고 여행객도 많은 모습을 볼 수 있습니다. 시끌거리고 북적이는 여행지를 좋아하시는 분들께는 꼭 가보셔야 할 곳으로 추천드립니다 볼거리도 많고 특히 야경이 아름운곳이죠 추천해요,,,,,패션 의류 / 패션 소품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기장향교,"기장향교는 조선 광해군 1617년에 처음 지어졌다. 1855년의 성묘중수기(聖廟重修記)가 남아 있는데, 지금 있는 대부분의 건물은 이때 지어진 것이다. 건물 배치는 교육 공간인 명륜당을 앞에 두고, 제사 공간인 대성전을 뒤로한 전학 후묘의 공간 구성을 이루고 있다. 현존하는 건물로는 대성전, 명륜당, 동재·서재, 풍화루, 내삼문, 외삼문 등이다. 대성전은 앞면 세 칸, 옆면 세 칸 규모이며, 지붕은 옆면에서 볼 때 사람 인(人) 자 모양인 맞배지붕이다. 안쪽에는 공자를 비롯하여 중국과 우리나라 성현의 위패를 모시고 있다. 명륜당은 학생들이 모여 공부하는 강당으로, 양쪽칸은 온돌방이고 가운데 3칸은 마루로 되어 있다. 조선시대에는 나라에서 토지와 노비책 등을 지원받아 학생들을 가르쳤으나, 지금은 교육 기능은 없어지고 제사 기능만 남아 있다.",,국가유산청 https://www.khs.go.kr/main.html,부산광역시 기장군 기장읍 차성로417번길 35,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,부산광역시 기념물 기장향교 (1996.05.25 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
몬스터파크 부산명지점,"몬스터파크 부산명지점은 토들러존, 에어바운스, 플레이그라운드, 어드벤처로 총 4개의 공간으로 구성된 실내테마파크로, 아이들이 마음껏 뛰어놀 수 있는 놀이시설이 구비되어 있다. 연령대 상관없이 모두가 즐길 수 있는 다양한 놀이시설이 있다. 자유로운 영혼을 가진 모니와 천방지축 포포, 호기심 넘치는 만능 재주꾼 노리, 자신감과 정의로움으로 똘똘 뭉친 쿠 사랑스럽고 귀여운 꼬꼬마 무무, 용감하고 씩씩한 수호자 츄가 있다. 몬스터파크 7층에는 에어바운스, 볼풀, 미끄럼틀 등의 시설이 있으며, 8층에는 짚라인, 트램폴린, 미끄럼틀 등을 이용할 수 있는 대형 키즈카페이며, 매월 다양한 이벤트도 진행하고 있다.",,https://monster-park.com/,"부산광역시 강서구 명지국제1로 60-1 (명지동) 7층, 8층","- 평일 11:00~20:00
- 주말 10:00~20:00","연중무휴
※ 상황에 따라 변동될 수 있음",가능,"[APP]
- 어린이 평일권 15,000원
- 어린이 주말권 21,000원
[현장]
- 어린이 평일권 17,000원
- 어린이 주말권 23,000원",,,,있음,,,찾아갔다와서 주변엄마들에게 극추천한곳입니다 엄마 애들 다 즐거운곳!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해운대해수욕장,"해운대해수욕장은 넓은 백사장과 아름다운 해안선을 자랑하고 있으며 얕은 수심과 잔잔한 물결로 해수욕장의 최적 조건을 갖추고 있다. 부산 하면 제일 먼저 떠올리는 곳이 해운대 해수욕장이라고 할 만큼 부산을 대표하는 명소이며, 해마다 여름철 피서객을 가늠하는 척도로 이용될 만큼 국내 최대 인파가 몰리는 곳이기도 하다. 특히, 해안선 주변에 크고 작은 빌딩들과 고급 호텔들이 우뚝 솟아있어 현대적이고 세련된 분위기의 해수욕장으로 유명하기 때문에 여름휴가철뿐만 아니라 사시사철 젊은 열기로 붐비고 해외 관광객들에게도 잘 알려져 있어 외국인들이 많이 찾는 곳이다. 해운대해수욕장에서는 매년 정월 대보름날의 달맞이 축제를 진행하고 있다. 또한, 매년 겨울 주최하고 있는 북극곰수영대회는 이미 겨울철 대표 축제로 자리 잡았다. 이외에도 모래 작품전, 부산 바다 축제 등 각종 크고 작은 행사들이 열리고 있다. 또한, 해수욕장 주변에 동백섬, 오륙도, 아쿠아리움 , 요트경기장, 벡스코 달맞이고개 등 볼거리가 많다.

◎ 한류의 매력을 만나는 여행 정보 - 드라마 <힘쎈여자 강남순>
남순이 몽골 엄마와 함께 모래사장에 조개로 ‘바다’라는 글자를 만들고 함께 사진을 찍으며 즐거운 시간을 보낸 곳이다.",,https://www.haeundae.go.kr/tour,부산광역시 해운대구 해운대해변로 264 (우동),매년 6월~8월,연중무휴,가능,무료,출입구까지 턱이 없어 휠체어 접근 가능함,주 출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음(공영주차장)_무장애 편의시설,"장애인 화장실 있음(관광안내소 옆, 송림공원 인근)",,,,,"대여 가능(관광안내소,신분증제출)",,,,,샤워실 / 탈의실 / 급수대 등,촉지·음성 안내판 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,장애인 화장실 내 기저귀 교환대 있음,
다대포해수욕장,"낙동강과 남해안이 만나 양질의 모래밭을 만든 곳, 일출과 일몰 조망지이다. 대포해수욕장은 자연이 주는 황홀경을 맘껏 즐길 수 있는 기분 좋은 장소이다. 다대포 해수욕장의 희고 고운 모래는 오랜 풍화작용 덕에 매우 부드러운 것이 특징이다. 또한 다대포해수욕장은 수심이 얕고 수온이 차지 않아 아이들이 놀기에 적격이다. 최근에는 패들보드나 카이트보딩 등 해양스포츠를 즐기는 사람들로 사시사철 활기가 넘치는 곳이다. 다대포해수욕장에 해변공원과 생태탐방로가 생기고 난 후 이곳을 찾는 사람들이 훨씬 많아졌다. 해수욕장 입구에 드넓은 광장이 펼쳐지고 세계 최대 규모를 자랑하는 꿈의 낙조 분수와 함께 해변공원이 시작된다. 꿈의 낙조분수는 화려한 조명과 음악이 춤을 추는 분수와 어우러져 장관을 연출한다. 4월 말부터 10월까지 정기적으로 펼쳐지는 화려한 분수쇼가 아름다운 것으로 유명하다.",,"비짓부산 https://www.visitbusan.net/
부산 사하구 문화관광 https://www.saha.go.kr/tour",부산광역시 사하구 몰운대1길 14,상시 개방,연중무휴,"불가능
※ 모룬대, 낙조분수대, 중앙 공영주차장 총 3개소 공영 주차장 이용 바람",무료,출입구까지 턱이 없어 휠체어 접근 가능함(일부에 경사와 박석 구간 있음),주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,장애인 화장실 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에스엠비 웰니스 센터,"부산 기장군 바다와 맞닿은 조용한 마을에 영혼(Soul), 마음(Mind), 몸(Body)의 균형을 찾는 공간, 에스엠비(SMB)웰니스 센터가 있다. 이름 그대로 심신과 영혼의 회복을 추구하는 이곳은 잠시나마 숨 가쁜 일상에서 벗어나 자신의 중심을 찾을 수 있도록 돕는다. 에스엠비 웰니스 센터는 일시적인 힐링을 넘어, 진정한 의미의 복구를 원하는 이들에게 필요한 공간이다. 온전히 나에게 집중하는 시간을 통해 지친 몸과 마음, 그리고 영혼에 새로운 힘을 불어넣어보자.",,https://smbwellness.co.kr,부산광역시 기장군 일광읍 학리등대로 34,10:00~19:00 (12:00~13:00 휴게시간),,가능,,,,,,,,,,,,,,,,,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,두피스파 밸런스 스케링 / 두피스파 브레인 테라피/ 홀리즘 아로마 테라피 / 베이직 수딩관리
대저수문 생태공원,"서낙동강이 시작되는 대저수문 근처에 조성된 생태공원이다. 잔디마당을 비롯해 하천숲, 체력단련장 등이 자연과 잘 어우러져 있어 숨겨진 나들이 명소로 사랑받고 있다. 공원 중앙에 그라운드 골프장이 있고 그 주위로 트랙과 체력단련장이 조성되어 있어 인근 주민들도 부담 없이 방문해 운동을 즐기기에 좋다. 탁 트인 자연 속에서 낙동강을 보며 여유로운 시간을 보내기에 안성맞춤이다. 드라이브 중에 한가로운 곳에서 쉬고 싶은 이들에게도 적당하다.",,,부산광역시 강서구 대저1동 279-9,상시 개방,연중무휴,가능,무료,,,,있음,,,바람도 불어서 걷기 너무 좋더라구요~~ 다들 꼭 가보세요~~ 유채꽃 잔뜩 피었을때 정말 장관이에요. 꼭 가야할곳입니다!너무이쁜곳이었엉ᆢㄷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산항힐링야영장,"바다가 보이는 부산항 힐링 야영장은 부산광역시 동구 초량동에 위치한 약 8,925㎡(2,700 평) 부지의 북항의 항구와 바다, 부산항 대교의 야경을 볼 수 있는 곳에 위치한 야영장이다. 부산항의 아름다운 밤 풍경을 볼 수 있고 사이트 크기가 비교적 넓어 가족 단위의 캠핑을 즐기기에 좋은 곳이다. 부산항 힐링 야영장은 펜스 하나 사이로 어마어마한 대형 크루즈의 모습을 바로 가까이서 볼 수 있다. 담장 사이로 들뜬 외국 여행자와 텐트를 분주히 설치하는 엄마 아빠와 어린이들, 국적은 알 수 없지만 행복한 표정으로 손 인사를 나누며 행복해질 수 있는 곳이 이곳 부산항 힐링 야영장만의 특징이다. 어린이들에게 색다른 캠핑의 추억을 안겨 줄 수 있는 곳이다. 텐트 바로 옆에 주차할 수 있어 짐을 옮기는 수고를 덜어준다. 배전함이 있어 릴선만 있으면 전기 사용이 가능하다. 밤에는 시설 내의 가로등 조명이 밝아 안전한 편이다. 농구대와 미니 도서관, 흔들의자, 수영장, 잔디구장이 있어 어린이들이 마음껏 뛰어놀기에 좋으며 소외계층을 위한 야영 비품도 구비되어 있어 편리하게 이용할 수 있다.",,https://www.busanpa.com/,부산광역시 중구 이순신대로 72 (중앙동4가),"- 입실 14:00
- 퇴실 12:00",연중무휴,,,,,,있음,,,,"- 오토 30,000원~34,000원
- 데크 25,000원~29,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
