place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,주차 요금,이용요금,화장실,review,입장료,판매 품목,접근로,출입통로,장애인 주차 안내,규모,엘리베이터,수유실,지체장애 기타 상세,유모차,오디오 가이드,체험가능 연령,주요시설,점자 홍보물,관람석,시설이용료,휠체어,객실,대중 교통,수용인원,이용가능시설,청각 장애 기타상세,부대시설,시각장애 기타상세,할인 정보,지정현황,주차요금,점자 블록,보조견 동반,입점브랜드,매표소,안내 요원,코스안내,유도안내 설비,영유아가족 기타상세,체험
스몹 대전,"스몹은 하남 스타필드점을 시작으로 고양과 대전, 수원 등 4개 파크를 오픈했다. 스포츠마저 놀이로 만들어 버리는 공간 스몹(Smob)에서는 모두가 플레이어가 된다. 스포츠에 기반한 약 25종의 어트랙션을 자체 개발하거나 스몹만의 콘텐츠로 커스터마이징해, 새롭고 액티브한 경험을 제공한다. 스포츠에 익숙하지 않아도, 운동을 즐겨하지 않아도 친구, 연인, 동료와 가볍게 즐길 수 있는 다양한 콘텐츠를 만날 수 있다. 어디에서도 볼 수 없는 스포츠 콘텐츠로 가득 찬 유니크하고 컬러풀한 공간이다.",,https://www.smob.co.kr/,대전광역시 유성구 엑스포로 1 (도룡동) 대전 신세계백화점 6층 스몹,"- 월요일~목요일 10:30~19:00
- 금요일~일요일 / 공휴일 10:30~19:30",백화점 휴점일,가능,4시간 무료,"[비수기]
- 2시간 26,000원
- 3시간 37,000원
[성수기]
- 2시간 30,000원
- 3시간 39,000원
※ 이용시간 초과 시 10분당 2,000원의 추가요금 발생",있음,"친구랑 같이갔었는데, 참여할만한 액티비티가 너무 많아서 몇시간동안 놀다가 왔어요! 같은 건물에 높은 전망의 스벅도 있으니 같이 가면 더 좋습니다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테미공원,"테미공원은 대전시 중구 대흥동에 있다. 보문산 줄기인 수도산에 조성되어 있다. 1955년 11월 음용수 보안 시설로 지정되어 일반 시민의 출입이 제한되어 왔으나, 1995년도에 개방하여 자연경관을 최대한 살려 도심 속에 조성한 휴식공간이다. 다양한 수종으로 이루어진 울창한 숲과 진입로 세 개, 순환도로 및 산책로, 쉼터와 체력단련시설, 편익시설, 관리사무소 등이 갖추어져 있다. 특히 이곳은 벚꽃명소로도 알려져 있는데 벚나무 꽃이 만개했을 때가 아름다워 4월에는 벚꽃축제도 열린다.",,https://www.djjunggu.go.kr/tour,대전광역시 중구 보문로199번길 37-36 (대흥동),상시 개방,연중무휴,가능,,,,오래된 벚나무들이 있어 벚꽃이 피면 아주 풍성해보여요 요즘 낮에도 밤에도 벚꽃보러 많이오네요 벚꽃피기 직전 예픈 자목련도 볼수있어요 대전의 벗꽃명소입니다. 테미공원에 벗꽃이 피고 조명이 달리면 어찌나 많은 이들이 이곳을 찾는지 그야말로 꽃잎만큼 사람이 많습니다.,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
으능정이문화의거리,"대전 중구 은행동 으능정이 문화의거리는 젊은이들이 주도하는 거리이자 대전의 명동이라고도 불리는 명소로, 패션 뿐만 아니라 볼거리, 먹거리, 즐거 거리가 고루 갖추어져 있다. 다양한 문화 행사가 열려 차 없는 거리가 조성되었으며, 많은 이들의 발걸음이 이어지고 있다. 성심당 본점이 오래전부터 자리를 잡아온 곳으로도 알려져 있다. 주변에는 대전중앙시장, 역전시장, 대흥동성당, 한화생명이글스파크, 충무체육관 등이 있어 연계관광으로도 좋다.",,https://www.djjunggu.go.kr,대전광역시 중구 중앙로 164,,연중무휴,가능,,,"대전 쇼핑과 맛집 투어할때 빠질수없죠. 으능정이문화거리에 종종 다양한 행사들이 있는 곳이라 행사 체크하면 좀 더 재밌게 코스도 짤수있어서 좋아요. 예전부터 대전에서 시내라고 하면 은행동 말하는거였어요. 그만큼 상점도 다양하고 유명한 곳들도 많아요. 성심당도 있고 장인더 등등, 그리고 근처에 NC백화점도 있고 조금만 걸어가면 중앙시장도 나옵니다. 지하상가에도 각종 상점 다양하게 있고 저렴한 먹거리 파는 곳들도 있어요. 지하에 보면 시쥬같이 생과일주스랑 조각피자 파는 가게들도 있는데 간단하게 구매해서 간식으로 먹기도 좋아요.  대전의 명동이라고 하는군요. 대전역, 중앙시장, 성심당본점, 스카이로드등에는 젊은 사람들과 여행객들로 엉켜서 정말 많은 사람들의 생기를 보았네요.",,의류 / 패션소품 / 잡화 등,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태평전통시장,"대전 태평시장은 다양한 볼거리와 먹거리가 가득한 전통시장이다. 이 시장은 1980년에 알뜰시장으로 시작해 2006년 정식 인증을 받으면서 태평시장이라는 이름으로 부르게 되었다. 오랜 전통을 지니고 있어 지역 주민들이 많이 찾는 곳이다. 대전 중구청에서 전통시장 활성화를 위해 적극적으로 지원하고 있으며, 그 일환으로 소비자 유입 증대를 위하여 아치형 홍보 조형물을 설치하고 넓은 주차장을 마련하여, 전통시장의 새로운 도약을 준비하였다. 대중교통은 호남선 철도 서대전역을 이용할 수 있으며, 주변에는 유등천, 서대전공원 등이 있다.",,https://www.djjunggu.go.kr,대전광역시 중구 수침로55번길 56,※ 점포 별로 상이함,※ 점포 별로 상이함,가능,,,장애인 화장실 있음(고객 쉼터),,,농산물 / 축산물 / 수산물 / 채소 / 잡화 등,출입구까지 턱이 없어 휠체어 접근 가능함_무장애 편의시설,주출입구는 턱이 없어 휠체어 접근 가능함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대흥동 문화예술의거리,"대전 중구 대흥동 일대는 대전의 원도심이다. 세련된 도시 이미지가 느껴지는 건물과 카페가 있는가 하면, 1970년대와 80년대를 떠올리게 하는 풍경이 공존한다. 대흥동을 멋스럽게 꾸미는 것은 낡고 허름해 보이는 건물과 외벽에 그려진 빈티지한 그림이다. 벽을 뚫고 나오는 자동차, 산호다방 건물의 옷걸이에 걸린 티셔츠, 산호여인숙 골목의 티셔츠, 골목길 전기계량기에 그려진 그림이 아날로그적 풍경을 연출한다. 이밖에 오래된 골목과 화방, 소극장, 갤러리도 눈에 띈다.",,,대전광역시 중구 대흥동,상시 개방,연중무휴,불가능,,,,요기저기 자그마한 공예품을 다루는 상점이나 카페가 밀집해있는 곳입니다. 나름 이곳저곳 기웃하다보면 취항적중하는 곳도 만나실만한~~ 여기 좋아요~ 먹거리도 카페도 예쁜곳 많아요~^^ 추천합니다,무료,,출입구까지 턱이 없어 휠체어 접근 가능함,출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소제동,"대전광역시 동구 소제동은 오랜 기간 낙후되었던 대전역 인근에 레트로 감성으로 재탄생한 곳이다. 옛 건물을 리모델링한 이탈리안 레스토랑부터 70년이 넘은 여관방을 개조한 카페 등 옛 건물에 젊은 감각을 더한 가게들이 속속 들어서면서 지역민들뿐만 아니라 외지 관광객들도 방문하고 있어, 대전 원도심에 새로운 활력을 불어넣고 있다. 비좁은 골목과 쓰러져 가는 빈집들 사이로 낡은 한옥을 개조한 카페와 레스토랑은 젊은 층의 감성을 자극할 수 있는 실내 인테리어에, 중장년층의 향수를 불러오는 복고풍 콘셉트가 더해지면서 인기를 끌고 있다.",,https://www.donggu.go.kr/dg/tour,대전광역시 동구 소제동 일원,상시 개방,연중무휴,불가능,,,,"집근처라 종종 갑니다 가서 커피도 한잔 하고 밥도 마시면 시간도 금방 지나가고 또 가게들 인테리어도 구경하고 재밌어요 대전역서 가까우니 한번 들러보는 것도 나쁘지 않아요 집근처에 걸어서 가까이에 소제동이 있어 자주 산책겸 갑니다 천따라 가다보면 양옆으로 특색있는 카페와 식당들이 있어 잠시 대전이 아닌것 같은 느낌이 들어 여행하는것 같아 좀 설레이는 곳이에요^^ 소제동 너무 좋아요. 매번 대전 내려갈때 마다 기차 타기 전에 들려서 카페에서 차 한잔하고 갑니다. 추천스팟은 대나무숲으로 가득한제동 너무 좋아요. 매번 대전 내려갈때 마다 기차 타기 전에 들려서 카페에서 차 한잔하고 갑니다. 추천 스팟은 대나무 숲으로 가득한 '풍뉴가'인데, 들어가서 차 한잔 하면 마음이 차분해져요. ㅎㅎ 예쁜 카페, 소품샵, 독립 서점, 맛집이 있는 동네! 대전에서 색다른 매력을 느끼고 싶다면 꼭 소제동 가보세요! 각각 개성을 띈 가게들을 보는 재미가 있었어요. 다양한 곳이 있으니 시간있으시면 놀러가시는 거 추천드려요! 그래 이런델 가봐야지요 대나무 숲에 꼭 가보고 싶어요~.",무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대전역 동광장,"대전역 동광장은 대전시 동구 소제동에 자리 잡고 있다. 음식점과 술집 등 요식업체가 즐비한 서광장과는 다른 분위기의 광장이다. 이곳은 대전역을 오가는 사람들의 만남의 광장으로 열차를 타거나 내릴 때 거쳐 가야 하는 관문이며, 주변에 주차 시설이 많다. 또한, 조형물 등이 있는 근린공원인 호국 철도광장이 조성되어 있어 서광장은 대전역 광장, 동광장은 호국 철도광장으로 불리기도 한다. 대전 동광장에서 출발해 다른 코스들을 즐기기에도 좋다.",,,대전광역시 동구 새둑길 143 (소제동),상시 개방,연중무휴,가능,,,,대전역 동광장은 먹거리도 많고 성심당 분점이랑도 가깝고 여기서 출발해서 대전 다른코스 시작하기에도 너무 좋은 곡에요 역시 대전 동광장 빠질수업죠. 대전역앞 소제동 거리 감성 있는 카페 들 좋았어요 앞 개천가에 벚꽃나무도 예쁘고 오래된 동네를 살려서 여행객들에게 볼거리 쉴곳 마련되어 오랜만에 대전 여행 즐거웠습니다 부모님과 함께 대전 당일치기로 여행 다녀왔습니다~! 도착하자마자 제일 처음으로 방문한 곳은 대전중앙시장! 시장이 진짜 크고 볼거리 먹거리가 많아서 첫 스타트부터 즐거웠습니다^^ 대전역에 오니까 볼만한 것들이 좀 있더라구요. 대전역에 내리면 항상 와보는 곳이에요. 대전역 동광장. 접근성을 위해서 꼭 가야하는 곳. 그곳에서 ㅅㅅㄷ 지점을 금방 만날수있으면서도 참 좋아하는 공간이네요. 집에서 가까워 종종 걸어서 가요 산책하기 좋아요 근처에 소제동이 있어 브런치하기도 좋아요,무료,,주 출입구 경사로 완만함,,"인근 장애인 주차장 있음 (동광장2 주차장, 4면)",,대전역에 엘레베이터 있음,"대전역 내 수유실 있음 수유실 내 소파, 기저귀 교환대, 정수기, 전자레인지, 싱크대 설치",,,,,,,,,,,,,,,,,,,,,,,,,,,유아용 화장실 (가족화장실) 있음 화장실 내 기저귀 교환대 있음,
대전 중앙시장,"대전 중앙시장은 중부권 최대 전통시장으로 불릴만큼 그 규모가 상당하다. 동구의 도심 중심에 자리잡고 있으며 대전의 재래시장으로 알려져있다. 대전 역 앞부터 대전천까지 이르는 거리마다 건어물거리, 공구거리, 생선골목, 한의약거리, 한복거리, 먹자골목 등으로 블록이 나뉘어져 있으며, 대전 중앙시장은 중앙종합시장, 중앙상가시장, 자유도매시장, 신중앙시장, 중앙도매시장등 여러개의 단위시장이 모여있는 종합시장이다. 의류, 귀금속 등 질 좋은 물건을 저렴한 가격에 구입할 수 있다.",,http://www.djone.kr/main.do,대전광역시 동구 대전로 783,※ 점포 별로 상이함,※ 점포 별로 상이함,가능,,,장애인 화장실 있음,규모가 커서 구경하기 좋아요. 먹거리도 많고 어딜 들어가도 다 맛있습니다. 대전에 놀러가면 꼭 한 번 들르게 되는 곳이예요~ 없는 것 빼고는 다 있는 시장입니다. 물건 값도 그만저만한 곳이구요(너무 싸면 싼 이유가 있겠지요) 곳곳을 둘러보면 웬만한 것은 다 파는 곳 입니다. 시장안 아무 음식점을 쑥 들어가셔도 기본 이상의 음식이 있는 곳입니다. 대전 중앙시장에 방문 했는데 대체로 조용한 편입니다. 재래시장은 언제나 옛날의 향수가 느껴집니다.먹자골목으로 가서 저녁을 먹고 대전역으로 이동했습니다. 대전광역시를 여행하며 대전 중앙시장 먹자거리에서 저녁을 먹었습니다. 재래시장 이지만 규모가 상당히 크네요. 이곳 저곳을 구경하다가 나왔습니다. 맛있는것도 많고 구경할꺼도 많아요~ 입구에 떡볶이 맛있게 잘 먹었었어요 ㅎㅎ 어딜가든 지역시장은 가보려고하는데 복잡하긴 했지만 먹거리 많아서 좋았습니다. 꽤 크더라구요~ 역에서 가까워서 더 좋았습니다 대전역에 주차를 하고 중앙시장을 가보니 먹거리.볼거리. 놀거리가 많습니다. 사람도 너무 많아 복잡합니다.,,한복 / 이불 / 침구 / 보석 / 의류 / 식품 등,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,엘리베이터 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
텍스트 칼로리,"대전 소제동에 위치한 독립서점 텍스트 칼로리는 출판사 뭉클스토리에서 운영하는 서점으로 작가, 출판 편집자 등 책에 일가견이 있는 분들이 추천하는 다양한 큐레이션 북, 텍스트 칼로리만의 귀여운 캐릭터가 담겨 구매 욕구를 자극하는 굿즈,다양한 음료와 디저트를 판매하고 있다.",,https://www.instagram.com/txt.kcal/,대전광역시 동구 철갑3길 13 (소제동),12:00~20:30,매주 월요일,가능,,,,굿즈 기대되요      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대청호오백리길,"대청호오백리길은 대전(동구, 대덕구)과 충북(청원, 옥천, 보은)에 걸쳐 있는 약 220㎞의 도보길이며 대청호 주변 자연부락과 소하천, 등산길, 임도, 옛길 등을 포함하고 있다. 또한 서울, 부산에서 대청호까지 거리가 약 오백리 정도가 되어 그 상징적 의미를 더하고 있다. 특히 대청호를 중심으로 해발 200~300m의 야산과 수목들이 빙 둘러져 있어 경관이 아주 뛰어나며 구간마다 특별한 재미를 느낄 수 있는 길들이 많다. 연인끼리 낭만을 즐길 수 있는 데이트 코스, 푸른 호수를 감상하며 생각에 잠길 수 있는 사색 코스, 등산이 가능한 산행 코스, 농촌체험과 문화답사를 겸하여 걸을 수 있는 가족여행 코스, 자전거 드라이브 코스 등 보고 느끼고 체험하고 즐길 수 있는 다양한 테마가 펼쳐진 길이다. 이러한 자연경관을 인정받아 유엔해비타트(UN-HABITAT)가 수여하는 아시아도시경관상도 수상하였다. 또한 대청호오백리길 주변에는 대청호물문화관과 대청호조각공원, 대청호미술관, 대청호자연생태관 등이 개관하여 대청호오백리길과 연계한 체험 및 관람시설로 이용이 가능하며 청원 청남대, 문의문화재단지, 보은 속리산, 옥천 둔주봉, 정지용생가, 육영수생가지 등 많은 역사문화 관광지가 있다. 갈대밭이 펼쳐진 대청호를 따라 걷는 곳으로 대청호 중에서도 가장 아름다운 곳이다. 권상우와 김희선 주연인 <슬픈연가>를 촬영했던 장소이기도 해 많은 사랑을 받고 있다. 그 밖에 조각공원, 미술관, 자연생태관등을 함께 감상할 수 있다.",,http://www.dc500.org,대전광역시 동구 천개동로 34,상시 개방,연중무휴,,,,있음,대청호 오백리길은 구간구간 사진명소가 정말 많은 곳입니다. 진입구간별로 색다르게 접하는 주변 경관이 정말 멋진곳입니다. 대전근교에 이런 멋진곳이 있다는 것은 행운입니다. 5구간 정비가 잘된 산책하기 좋은 길이에요. 4구간에 있는 명상정원에서 피크닉 하기 딱 좋았어요 공기 맑고 물 맑은 대청호 가는길도 자연이 푸르고 대청호에서 맑고 많은 물 보면 가슴이 탁 트입니다 대청호오백리길 도보길 따라 좀 걷다보면 머리가 맑아지고 스트레스가 없어져요. 대청호 좋아요! 대청호 자전거 라이딩 좋아요 ~! 탁트이고 자연과 힐링~!^^,,,,,,,,,"대청 문화 전시관부터 호반 산책로까지 이어지는 약 6km 구간은 장애인과 노약자 등도 쉽게 걸을 수 있는 길이다.
거리 5km, 소요시간 2시간, 난이도 쉬움",,,,,,,,,,,,,,,,,,,,,,,,,,,
