place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,주차 요금,이용요금,규모,할인 정보,접근로,출입통로,장애인 주차 안내,엘리베이터,화장실,지체장애 기타 상세,review,이용가능시설,입장료,지정현황,체험가능 연령,수유실,휠체어,점자 홍보물,시설이용료,주차요금,대중 교통,유모차,판매 품목,객실,주요시설,부대시설,강습안내,오디오 가이드,영업시간,대표메뉴,취급메뉴,관람석,개장기간,수용인원,대여안내,보유장비,시각장애 기타상세,점자 블록,보조견 동반,유도안내 설비,입점브랜드,코스안내,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,세미나실 여부,예약안내,예약안내 홈페이지,안내 요원,식음료장,홍보물,이용 시기,유아용보조의자,영유아가족 기타상세,체험
수양개선사유물전시관,"수양개선사유물전시관은 1983년 충주댐 수몰지구 문화유적 발굴조사의 일환으로 발굴을 시작하여 중기 구석기시대부터 마한시대까지의 문화층에서 발굴된 수양개 유적의 유물과 정리, 연구된 자료들을 전시하고 있는 곳이다. 수양개 유적은 우리나라 후기 구석기시대 석기 문화의 정수를 보여주는 유적이다. 수양개 선사유적지는 충주댐의 건설로 수몰된 지역을 조사하던 중 충북대학교 박물관에 의해 발견되었다. 지금까지 발견된 우리나라 구석기 유적지 중 가장 넓은 면적을 자랑하는 곳으로 유적의 범위도 범위지만 이곳에서는 후기 구석기시대의 전형적인 석기가 다량으로 출토되어 우리나라는 물론 세계적인 구석기 유적지로 꼽히는 곳이다.
지하 1층, 지상 2층의 건물로 제1~3전시실과 기획전시실, 체험실 등으로 이루어져 있다. 제1 전시실에서는 우리나라 선사문화의 발상지라 할 수 있는 단양지역의 여러 동굴 유적과 유적의 유물들을 만나 볼 수 있다. 제2전시실에서는 유적에서 조사된 50여 곳의 석기 제작소에서 발견된 슴베찌르개, 밀개 등의 유물을 만나볼 수 있다. 마지막으로 제3전시관에서는 주거 유적에서 발굴된 다양한 토기, 석기류 등이 전시되어 있다. 교육·체험 프로그램으로는 돌도끼 색칠하기과 수양개인의 꿈이 있다.
이 밖에도 인근에 조성된 야경 명소로 유명한 관광시설인 [수양개 빛터널]이 있다. 이 터널은 일제강점기에 만들어져 철도로 사용되다 1942년 중앙선 신설로 폐선 된 터널로, 70년 넘게 방치되다 2017년 복합 멀티미디어 공간으로 재탄생한 곳이다. 이곳에는 미디어 파사드와 프로젝션 맵핑 등 최신 음향과 영상 기술을 이용해 다양한 볼거리를 선사한다. 터널 주변에는 5만 송이 LED 튤립이 심어진 [비밀의 정원]도 있다.",,https://www.danyang.go.kr/suyanggae,충청북도 단양군 수양개유적로 390 수양개선사유물전시관,"[전시관]
- 평일 09:00~23:00
- 동절기 09:00~22:00
- 점심시간 12:00~13:00",매주 화요일 / 신정 / 설날 / 추석,가능,무료,"[개인] 성인 2,000원 / 청소년 1,000원 / 어린이 800원
[단체] 성인 1,500원 / 청소년 500원 / 어린이 500원","연면적 1,256 (지상 3층/지하 1층)","무료 관람 대상 : 6세이하 65세이상, 장애인, 국가유공자 (확인 가능한 신분증 또는 증빙 서류 지참)",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,엘리베이터 있음,장애인 화장실 있음,의자식 테이블 있음(카페), 아이들과 체험거리도 많고 빛터널과 같이있어서 같이 들리기좋아요 선사시대유물도 볼수있고 역사공부도 되서 좋네요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도담삼봉 음악분수,"도담삼봉 주변에는 있는 음악분수대는 1997년 11월부터 7억여 원의 사업비를 들여 국내 최초로 노래방식 음악분수 시설 공사를 추진하였고, 이후 1998년 5월 25일부터 본격 운영하고 있다. 음악분수는 최첨단 컴퓨터 프로그램 방식으로 노래를 부르면 음정에 따라 36가지의 다양한 모양으로 분수를 분출, 환상적인 분위기를 연출토록 설치되었다. 도담삼봉과 석문을 찾는 관광객들에게 피로를 풀 수 있는 공간이 되었고 음악참여와 볼거리를 제공하고 있다. 특히 야간에 분수대에서 춤을 추는 듯한 물줄기는 한층 더 아름다움을 자아낸다.",,https://www.danyang.go.kr,충청북도 단양군 매포읍 삼봉로 644-13,09:00~18:00,12~익년 3월 운영중단(동파방지),"가능(도담삼봉 주차장)
요금(승용차 3,000원 (경차 50%) 버스 6,000원 ※ 1일 요금)",,,,,,,장애인전용 주차장 있음_무장애 편의시설,,장애인전용 화장실 있음 (남녀공용),,"""도담삼봉 음악분수""는 도담삼봉관광지 안쪽에 있습니다. 시간대가 안 맞아서 분수는 못 보았지만 잘 꾸며져 있습니다. 도담삼봉, 단양석문과 함께 잘 어울립니다. 도담삼봉은 화창한 날 봐도 절경이지만 흐린날은 운무가 드리워져 더 아름다워요. 오래전에 도담삼봉 갔을때는 못봤는데 음악분수도 같이 보고 더 좋았어요 도담상봉 경치가 좋아서 사진찍기 좋아요!",유람선 / 모터보트 / 삼봉스토리관,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충주자연호텔,"충주자연호텔은 월악산, 조령산, 수주팔봉 중앙에 위치하여 약 2,000여 평의 연꽃 호수를 조성하고 있다. 자연의 힐링 산책로를 조성하여 자연 생태계에서 볼 수 있는 각종 야생화를 즐길 수 있다. 또한 회화나무 샛길, 도화도 샛길, 도토리 6형제길, 이팝나무 샛길 이외에 쉼터와 각종 산나물 등이 서식하고 있는 곳으로 행복, 자연, 건강을 생각한 테마 둘레길이 조성되어 있다. 이외에 각종 연수를 위한 넓은 대강당과 중강당 그리고 회의 장소로 좋은 소강당, VIP 회의실 등이 있으며 객실 손님을 위한 식당과 사우나, 카페가 운영 중이다.",,https://www.munganghotel.com/,충청북도 충주시 살미면 팔봉로 1061,"- 입실 15:00
- 퇴실 11:00",연중무휴,가능,,,,,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,,엘리베이터 있음,있음,,,,"[온천]
- 성인 10,000원
- 미취학아동 4,000원
- 투숙고객 5,000원
[호텔]
- 일반실 120,000원
- 패밀리 220,000원
- VIP 380,000원
※ 자세한 사항은 홈페이지 참조",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
온달관광지,"온달관광지는 고구려의 명장 온달장군과 평강공주의 전설을 테마로 한 온달전시관을 비롯하여 온달산성, 온달동굴 등 명승지를 모아놓은 곳이다. 입구에 들어서면 가장 먼저 떡 벌어진 풍채를 자랑하는 드라마세트장이 눈길을 끈다. 이곳에서는 SBS 드라마 〈연개소문〉과 KBS의 〈천추태후〉, 〈태종이방원〉, 〈고려거란전쟁〉, MBC 〈태왕사신기〉, 〈연인〉까지 드라마 대작들이 연이어 탄생하기도 했다. 가이드라인을 따라 안으로 들어서면 드라마 촬영 당시 사용된 의상과 소품들을 감상하는 재미도 쏠쏠하다. 중국풍의 건축물과 정원도 다른 곳에서 보기 어려운 이국적인 볼거리를 제공한다. 온달산성이 있는 성산 기슭 지하에서 약 4억 5,000만 년 전부터 생성되어 온 것을 추정되는 온달동굴은 길이 약 800m 주굴과 5개의 지굴로 구성된 석회암 천연동굴이다. 동굴 안으로 들어서면 오랫동안 동굴 안을 오가던 원시의 바람이 상쾌하게 몸 안으로 밀려들고 신비로운 자태의 종유석들은 동굴 밖에서는 볼 수 없는 별천지를 보여줄 것이다.",,https://www.dytc.or.kr/main/33,충청북도 단양군 영춘면 온달로 23,"[하절기(3월~11월)]
- 09:00~18:00
- 매표 마감 17:00
[동절기(12월~2월)]
- 09:00~17:00
- 매표 마감 16:00",연중무휴,"가능
요금 (무료)",,,,,"출입구 및 주요 동선에 경사로 설치 (성 내부 드라마 촬영장의 경우 경사로가 있긴 하나 계단, 단차 등이 있음)",,있음,,"장애인용 화장실 있음
입장의 편의를 돕는 넒은 출입구 및 점자블록
출입구 경사로 및 손잡이
휠체어 이동 공간 확보
손잡이, 등받이 등 장애인 편의시설 조성",,"단양 온달관광지 방문하기 넘 좋아요 ㅋㅋㅋ 어머님 모시고 갔는데 동굴과 관광지 다양한 포토스팟 다 좋았어요 ㅋㅋ 산책하기 좋아요 ㅋㅋ 관광지 규모가 꽤 커서 놀랐어요. 안에 음식점과 기념품점들도 있구요. 또 드라마 촬영을 많이 해서 그런지 포토족도 잘 되어 있어서 참 좋았어요. 뜨거운 여름에 갈 곳이 마땅치 않은데 초록한 이 곳이 정말 재미있었어요! 관광지 규모가 크고 건물 내부에도 포토존을 형성해놓아 사진찍기에도 좋습니다   드라마촬영지..로 한바퀴돌며 관람을 하면서 곳곳이 설명이 좋았고 짧지않아서. 한참을 관람을 하다보니 입장료가. 아깝지 않았다 온달 장군에 관한설명을 볼수있는 전시관도 충분히 좋은 관람의시간이 된다 온달동굴과 온달전시관, 드라마세트장 모두 정말 좋았어요. 특히 아이들과 가면 매우 좋은 추억을 만들 수 있을 거예요.",온달동굴 / 온달전시관 / 온돌드라마세트장 / 온달산성,"[개인]
- 성인 6,000원
- 청소년 4,500원
- 어린이 3,500원
- 65세 이상 3,500원
[단체(20명 이상)]
- 성인 5,000원
- 청소년 3,500원
- 어린이 2,500원
- 65세 이상 2,500원",천연기념물 단양 온달동굴 (1979.06.21. 지정),전 연령,"온달전시관 안에 수유일 있음(개수대, 유아 거치대 등)",매표소에서 휠체어 대여 가능,입구에 점자 및 음성 안내판 설치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문암생태공원,"문암생태공원은 1994년~2000년까지는 생활쓰레기 매립장이었지만 안정화 작업을 거친 후 2010년 도심형 테마공원으로 개장하였다. 이 공원은 생태공원, 웰빙공원, 가족공원으로 나뉘어 있으며, 생태공원에는 생태습지원, 수목원, 생태탐방로 등이, 웰빙공원에는 건강숲 체험장, 테마 웰빙숲, 농구장 등이, 가족공원에는 조깅코스, 캠핑장 등이 있다.",,http://munam.cheongju.go.kr,충청북도 청주시 흥덕구 문암동 122-2,상시 개방,연중무휴,가능,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,장애인 화장실 있음,,"다양한 볼거리와 둘레길, 놀이터가 있습니다. 여름에는 물놀이장도 개장하네요ㅎ 형형색색의 튤립들이 피어나서 문암생태공원은 지금 꽃천국이에요! 산책로를 따라 걷다보면 자연과 함께 힐링할 수 있고, 가족 단위 나들이 객이 많이 왔더라구요. 튤립배경으로 포토존도 조성되어 있으니 추억의 사진도 남길 수 있어요! 반대편으로 옮긴 튤립들! 조경 멋짐! 벚꽃하고 튤립! 아직 만개하지 않았지만 인증샷 명소될듯! 여름때 청주시에서 무료물놀이장을 운영하는 곳 중에 하나에요 시원하게 물놀이하고 나와서 놀이터에서도 놀고 바닥분수에서도 놀면 하루가 금방 가요 매점은 작아서 도시락을 싸오거나 음식배달을 시키면 되요 바베큐장도 예약하셔서 이용하셔도 되구요 여름이라서 더워졌지만 봄, 초여름,가을에 그늘에 쉬면 시원하게 바람도 불고 좋아요~ 그리고 공원 주차자리 많고 정자도 있고 산책로도 잘되어있어서 좋고 반려견놀이터와 아이들 놀이터에도 있어서 놀기좋고 바베큐장도 무료로 이용할수있어서 피그닉하기도 좋아요~ 유아놀이터가 잘 조성되어서 아이들이 신나게 뛰어놀 수 있어서 좋아요. 생태공원 답게 맹꽁이 서식지등 생태습지가 잘 보전되어 있어 관찰학습하기에도 좋습니다.반려견과 함께 맘껏 뛰놀 수 있는 반려견 놀이터까지 잘 되어 있어 청주시민들이 좋아하는 공원이라 추천합니다.",,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보광산관광농원,"보광산관광농원은 괴산군 명산으로 손꼽히는 보광산 모랫재 정상에 자리 잡고 있는 산촌 휴양형 관광농원이며, 1992년 오픈하여 올해로 31년째를 맞고 있다.
26,446m²(8,000여 평)의 넓은 대지 위에 휴게소와 식당, 다양한 숙박시설과 회의 시설은 물론 축구장을 비롯한 체육시설과 산책로, 솔밭 강의장 등 수련과 숙박에 필요한 편의시설들을 고루 갖춰놓고 있어, 가족 나들이와 기업체의 연수장, 학생 MT, 종교단체의 수련장으로 적합한 장소이다.
특별한 준비 없이 방문해도 단독텐트와 바비큐 시설을 이용할 수 있으며, 피크닉이나 야외바비큐를 즐기며 자연 속에서 힐링할 수 있고, 아름드리 노송림이 어우러진 숲에서 산책하며 힐링할 수 있는 여유를 즐길 수 있는 관광농원이다.",,,충청북도 괴산군 사리면 모래재로 646-8 (사리면),"- BBQ 10:00~22:00 (마지막 주문 21:30)
- 숙소 14:00~익일 10:00",연중무휴,가능,,,,,,,,,있음,,,"- 바바큐존 : 야외바비큐 패키지+텐트
- 야외돔 / 빨간우산(야외식당) : 기업행사 / 가든파티
- 하얀우산(야외식당) : 소모임 / 가족모임
- 숙박시설 : 풍주대 / 문향대 / 의망대 / 버선코 / 모꼬지B / 통나무방갈로
- 회의시설 : 대회의실 / 중회의실 / 소회의실
- 체육시설 : 운동장 / 족구장 / 수영장 / 서바이벌게임장
- 기타동 : 야외동 / 야외무대 / 본관식당 / 야외식당 / 통돼지바베규장 / 솔밭 대형곤로 / 잔디밭장",,,,,,,"인디언세트(단독텐트+바비큐모듬+집기류) 90,000원(4인 기준) / 1인 추가 18,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,등산 / 서바이벌게임
갈기산,"산의 형세가 말갈기와 같다고 하여 이름 지어진 갈기산은 해발 585m 높이로 양산팔경 지역에 속해 있다. 능선은 반원형으로 가운데가 깊숙한 골을 이루고 있으며, 기암이 많아 암벽 등반하기에 제격인 산이다. 영동의 숨은 명산이인 갈기산은 외강내유의 미［美］를 속 깊이 지닌 산이다. 등산객에게 암릉 산행의 묘미를 느끼게 하면서도 정상에서는 그림 같이 흐르는 금강을 시원하게 보여주며 한없이 부드러운 조망을 선물한다. 암릉지대가 많지만 소나무길과 번갈아 등산로가 이어지며, 등산 기점과 종점이 같아 자가운전으로 찾아가도 부담이 없다.",,영동군 문화관광 http://tour.yd21.go.kr,충청북도 영동군 양산면 호탄리,"상시 개방
※ 16:00 이전에는 하산",연중무휴,가능,,,,,,,,,있음,,,,무료,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보은 서원리 소나무,"보은 서원리 소나무는 속리산 남쪽의 서원리와 삼가천을 옆에 끼고 뻗은 도로 옆에 있으며, 나이는 약 600살 정도로 추정된다. 높이 15.2m, 뿌리 근처의 둘레 5.0m, 줄기는 84㎝ 높이에서 2개로 갈라졌으며, 전체적으로 우산모양을 하고 있다. 마을 사람들은 매년 이 소나무에게 마을의 평안을 비는 제사를 지내고 있다. 실제로 최근(2002, 2003)에는 정이품송의 꽃가루를 가루받이를 하여 후계목을 길러내는 사업을 시도하였다. 보은 서원리 소나무는 민속적·생물학적 자료로서의 보존가치가 높아 천연기념물로 지정하여 보호하고 있다.",,https://www.heritage.go.kr,충청북도 보은군 장안면 서원리,상시 개방,연중무휴,가능,,,,,,,,,,,,,,천연기념물 보은 서원리 소나무 (1988.04.30 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충주 미륵대원지,"미륵사지는 충북과 경북을 연결하고 있는 하늘재 사이의 분지에 남죽향으로 펼쳐져 있다. 미륵리 사지(彌勒里寺址)는 신라의 마지막 왕자인 마의태자가 금강산으로 가던 중 꿈에 관세음보살로부터 석불을 세우라는 계시를 받고 하늘재를 넘자마자 지세를 확인하고는 지금의 미륵리에 석불을 세워 절을 만들었다고 한다. 충주 미륵사지는 청주대학에서 1977년에서 1978년의 제2차 발굴조사를 통해 절의 명칭이 미륵대원사였음이 밝혀졌고, 1980년에 이화여대에서 3차 발굴을 통해 여기에 일찍이 석굴사원이 경영되다가 소실되어 현재의 석조물만 남았다는 것을 밝혔다. 삼국사기, 신라본기, 아달라이사금 3년(156) 기록에 의하면 “4월에 계립령 길을 열었다.”라고 되어 있다. 이를 통해 신라가 백제, 고구려와 교류하게 되었으며, 장기적으로는 한강을 통해 삼국통일의 대업을 달성하게 된다.

미륵사지는 14,000평 정도의 직사각형 절터에 일탑일금당이 배치되었음이 밝혀졌다. 또한 미륵리사지 내에는 5층 석탑(보물)과 석불입상(보물)이 있고 지방 유형문화재인 석등과 3층 석탑이 있다. 중원 미륵리 사지는 석조(石造)와 목구조(木構造)를 합성시킨 석굴사원(石窟寺院) 터로 석굴을 금당으로 삼은 북향의 특이한 형식을 취한 유일한 유적이다. 또한 미륵사지의 석불은 국내 유일의 북향 불상이며 석불이 있는 석굴 방형의 주실은 가로 9.8m, 세로 10.75m의 넓이이며 높이 6m의 석축을 큰 무사석으로 쌓아 올렸고 그 가운데 불상을 봉안하였다. 석축 위에는 지금은 없어진 목조 건물이 있었으며 전당은 목조로 된 반축조석굴이다.",,https://www.heritage.go.kr/,충청북도 충주시 수안보면 미륵리 52-2,상시 개방,연중무휴,가능,,,,,"관광지 부지가 넓음. 이동경로 폭이 넓어 휠체어, 전동 스쿠터 사용자 이용 쉬움.
내부 턱 있음.
경사로 있음.","출입통로 형태 : 상시 오픈형(개방형)
출입통로가 넓어 휠체어, 전동 스쿠터 사용자 진입 쉬움.",,,장애인 전용 화장실 있음,,고려시대 유물이 긴긴시간동안 잘보존되어짐에 반하고 불상주변. 바위에 다양한 조각에서 경주 석굴암을 떠올리며 비교되어지기도하고 불상앞에 사각석등도 있고 팔각석등의 모습에선 불국사의 다보탑과 석가탑을. 떠올려 보기도 하며 전각은 없이도 불상이며 석탑 석등 등 다양한 유물관람의시간이. 감동이된다 근처 캠핑장 갔다가 집에 가는길에 방문 했어요 아직 많이 알려지지 않은 곳이라 방문객이 적었어요 주변 경관도 좋고 공기도 좋고 걷기 편하게 되어있어 아이들과 둘러 보는데 힘들지 않았어요 천천히 보는데 1시간30분정도 시간 걸렸어요 주차장은 있구요 식사는 따로 하지 않았어요 인근에 식당 여러군데 있으니 참고 하세요,,무료,사적 충주 미륵대원지 (1987.07.18. 지정),,,,,,,"대중교통 이용가능 : 미륵리(도요지맞은편) 정류장
저상버스 없음.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중앙탑공원(충주),"국보인 충주 탑평리 7층 석탑은 남한강의 아름다운 경관과 잘 어우러져 있는 통일신라 시대의 석탑으로, 당시에 세워진 석탑 중 가장 규모가 크며, 우리나라 중앙부에 위치한다고 해서 중앙탑이라고도 부른다. 중앙탑 주변에는 넓은 잔디밭에 조각공원이 조성되어 있으며 충주박물관과 술박물관이 위치해 있다. 한편 바로 옆으로 남한강에 조정지댐을 만들어 형성된 탄금호에는 여름철 수상레저를 즐길 수 있어 휴양레포츠형 충주의 모습을 제공한다.

(출처 : 충주 문화관광 홈페이지)",,https://www.chungju.go.kr/tour,충청북도 충주시 탑정안길 6,상시 개방,연중무휴,가능,,,,,,,장애인 주차장 있음_무장애 편의시설,,장애인 화장실 있음(남녀 별도),전동보장구 충전기 있음,"충주 박물관도 무료로 관람하고 국보인 중앙탑도 둘러보고 산책하기 너무 좋네요. 여러 석상들과 포토존으로 잘 꾸며져 있고 사진관, 한복 입기 체험 할 수 있는 곳들도 있었어요. 윷점 처음 쳐봤는데 저와 남자친구 모두 좋은 괘가 나와 기분이 좋았습니다. 즐길거리 외에도 자연 풍경 자체가 너무 아름답고 평화로워서 힐링되는 느낌이었어요. 사랑의 불시착 촬영지이기도 하다는데 벤치 포토존 눈에 확 띄더라구요ㅎㅎ 막국수거리가 인근에 있어서 먹고 산책하기 좋아요! 윷놀이로 점쳐볼 수 있는 공간도 있어서 부모님과 좋은괘 나올때까지 계속 던졌어요! 중앙탑 근처로 공원이 잘 조성되어있고, 한복대여도 4000원으로 가능해서 사진찍기도 좋았어요 빈센조 드라마 촬영 이후로 관광객이 많이 늘어난 기분입니다. 주말에 가면 사람이 꽤 많더라고요. 평일에 가면 고즈넉하게 시간 보내기 좋습니다 무지개길이 바로 이어져 있으니 연계해서 다녀오시길 추천합니다 충주에 있는 큰 공원이고 옆에는 물가가있어서 물멍하기 좋아요. 정자도 있어 누워 쉴 수 있어요. 저녁에 가면 조명이 좀 적어서 어두컴컴한 편인데 여기저기 구조물 조명이 있어 사진찍을 만 한 곳이 많아 예뻐요. 중앙탑은 막국수가 유명하니 막국수도 먹고가세요~ 부부동반으로 충주시를 여행하며 방문한 ""중앙탑공원(충주)""은 우리나라 중앙에 위치하여 중앙탑이라 부른다는 것을 알았습니다.",충주호조각공원 / 향토민속자료 전시관 / 남한강 수석전시관 / 야외음악당 / 음악분수대 등,무료,,,수유실 있음,대여 가능,점자 안내판 있음,,,,대여 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
