place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용요금,review,체험가능 연령,화장실,이용가능시설,입장료,시설이용료,주차 요금,할인 정보,접근로,출입통로,엘리베이터,장애인 주차 안내,수유실,주차요금,관람석,지체장애 기타 상세,지정현황,휠체어,대중 교통,유모차,오디오 가이드,시각장애 기타상세,판매 품목,점자 홍보물,개장기간,수용인원,주요시설,강습안내,청각 장애 기타상세,규모,입점브랜드,영업시간,대표메뉴,취급메뉴,큰활자 홍보물,점자 블록,안내 요원,유도안내 설비,보조견 동반,대여안내,보유장비,매표소,부대시설,자막 비디오 가이드,홍보물,수화 안내,코스안내,영유아가족 기타상세,체험
갤러리조선,"갤러리조선은 2004년 개관 이래로 한국 미술계에서 중요한 흐름을 만드는 작가들의 작업을 소개해 왔다. 올해로 20여 년째 운영 중인 갤러리로 어떤 목소리를 낼 수 있는지 고민하며 작가를 선택하고 그들의 작업을 선보여 왔다.
갤러리 조선은 자신이 다루는 매체의 확장성을 고민하고, 미술을 사회로부터 고립시키시 않기 위해 노력하는 작가들과 함께 일하면서 그들의 아름다운 예술 세계를 존중하며 지원한다. 2015년부터 갤러리조선과 함께 하는 작가들에 대한 영상 기록을 남기고 국제 교류 전시 등의 다양한 활동을 지원하면서 그들의 예술 세계를 조명하고 널리 알리기 위해 노력하고 있다. 우리는 그런 노력이 미술과 사회에 아름다운 흔적을 남기며 한없이 연약한 예술의 세계를 지탱하는 데 일조하는 것이라고 믿어 의심치 않는다.",,http://www.gallerychosun.com,서울특별시 종로구 북촌로5길 64 (소격동) 지하 1층,10:30~18:30,매주 월요일,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
키즈런스포츠파크 목동점,"키즈런스포츠파크 목동점은 양천구 목동에 위치하고 있는 1000평 규모의 대형키즈카페이다. 키즈런스포츠파크는 다양한 스포츠형 콘텐츠를 보유하고 있어 서울 도심에서 대형 규모로 실내 제약 없이 활발한 신체활동이 가능한 쾌적한 환경을 제공한다. 아이들에게 인기 만점인 카트존, 드롭슬라이드, 제트플라잉, 튜브슬라이드, 바이킹보드 등 스포츠파크에 걸맞은 놀이시설뿐만 아니라 컬러링월드, 편백놀이, 닌텐도 존, 에어바운스 등 다양한 인기 놀이 시설이 있어 연령대 상관없이 영유아부터 초등학생까지 신나게 즐길 수 있다.
이용권은 기본 2시간 단위로 판매하고 , 종일 입장권도 판매 중이어서 시간제약 없이 즐길 수 있다. 추가로 서울형 인증 민간 키즈카페여서 서울형 키즈카페머니를 20% 할인된 금액으로 사용이 가능하다.",,https://www.instagram.com/kidsrun_mokdong/,"서울특별시 양천구 목동동로 401 (목동, 부영그린타운2차) 지하1층 B101호","- 평일 10:30~20:00
- 주말, 공휴일 10:30~20:30",설·추석 당일,"가능
요금 (무료)",,,0세~13세,있음,카트존 / 드롭슬라이드 / 에어바운스 / 벌집 / 폼핏존 등,"[평일]
- 종일권 25,000원
- 4시 이후 종일권 22,000원
[주말, 공휴일]
- 종일권 29,000원
- 4시 30분 이후 종일권 25,000원
※ 보호자 8,000원
※ 자세한 사항은 네이버플레이스 참고",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
샤로수길,"샤로수길은 지하철 2호선 서울대입구역 1, 2번 출구 동남쪽에 형성된 거리이다. 거리의 이름은 서울대학교 정문의 상징 조형물인 ‘샤’와 ‘가로수길’의 합성어다. 과거 봉천7동(현 낙성대동) 시장이 있던 곳으로 2010년대 초반부터 이색적인 외식업 점포가 입점하면서 인근 서울대학교 학생들 사이에 입소문으로 자생한 상권이다. 주로 청년들이 찾다 보니 실험적이고 특색 있는 점포들이 들어서면서 서울의 핫플레이스로 떠올랐다.",,https://www.gwanak.go.kr,서울특별시 관악구 봉천동,점포 별로 상이함,점포 별로 상이함,가능,,"젊음과 맛집이 모여있는 소소한 공간입니다. 사람들이 활기차고 이쁜 가게들이 많아서 기분전환삼아 잠시 걷는것으로도 즐거운 경험을 얻을수 있습니다. 가보고싶어요 맛집엄청많아요~~특히술집!! 점심때 와도 식당이 많아서 다양한 먹거리가 있고, 저녁에 술 한잔 하러 오기 좋아요~! 골목 구석구석 숨겨진 맛집 찾는건 덤이에요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대원서공원,"원서공원은 현대건설이 현대그룹 사옥을 건립할 때 기업의 이익을 사회에 환원한다는 의미로 시민들의 휴식을 위해 도심에 녹지 공간을 조성한 것이다. 규모는 크지 않지만 운동시설과 게이트볼을 즐길 수 있는 운동장이 있고, 벤치와 그늘이 조화롭게 잘 배치되어 있다. 현대그룹 직원들을 비롯해 인근 직장인들이 점심때 휴식과 산책 공간으로 이용하고 있다. 수도권 지하철 3호선 안국역 3번 출구에서 약 400m 거리에 있으며 도로변에 있어 약속시간 만남의 장소로도 활용된다.",,https://korean.visitseoul.net,서울특별시 종로구 창덕궁길 19 (원서동),상시 개방,연중무휴,가능,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인왕산 숲속쉼터,"서울 인왕산과 북악산은 1968년 1·21사태로 약 30여 개의 군초소 및 경계시설이 들어오면서 오랫동안 시민들의 출입이 통제되었던 곳이다. 이후 점차 군초소의 수를 줄여오다가 2018년 인왕산 전면 개방에 따라 관련 군초소 및 경계시설은 대부분 철거를 진행하였다.
인왕산 숲속쉼터는 원래의 건물인 인왕3분초의 기존 역사 보존 및 기록을 위하여 그 터를 살려낸 공간이다. 병사들의 거주공간이었던 인왕3분초는 철근콘크리트 필로티구조 위상부 구조물을 철거하고 목조건축 구조의 시민을 위하여 재탄생하게 되었다. 오랜 반목과 통제의 상징인 이 건물은 개방의 시대, 교류를 상징하는 곳으로 변화하였다.
인왕산 등산 코스를 통해 가볍게 트레킹 및 등산을 즐긴 후 말 그대로 편하게 쉬어 가거나, 독서를 하는 곳으로 사람들의 입소문을 타며 많이 찾는 곳 중 하나이다. 통창으로 이루어져 인왕산의 자연경관을 감상하기에도 안성맞춤이다.",,,서울특별시 종로구 청운동 산4-36,화요일~일요일 10:00~17:00,매주 월요일,가능,무료,서울 도심에서 쉽게 접근할 수 있으면서 난이도도 낮은 편이지만 정말 힐링되는 장소에요 조용하게 한동안 시간을 보내고 나면 일상에서 잠시나마 벗어난 기분! 인왕산은 언제가도 늘 친근한ㅈ곳이에요. 내려오는길에 들른 쉼터는 말 그대로 잠시 쉬어가기 정말 좋은 곳이에요. 경치가 정말 뛰어나구요. 자리에 앉아 밖을 바라보며 멍 때리기 좋은 곳이랍니다. 떠드는 사람 없이 조용히 산속의 휴식을 즐길수있어 좋았답니다 50년 만에 개방된 곳으로 특별한 서울풍경을 볼 수 있습니다. 특히 겨울이 좋다던데 저는 눈 덮힌 경치를 보진 못했었네요. 언젠가 눈내린 겨울에 한번 방문해 보려고 합니다. 인왕산으로 야유회 가면서 들렀었는데 그냥 등산겸 쉬러 가기에도 좋아요 너무너무 애정하는 곳이에요 마음이 편해져요 인왕산 등산하면서 들렀는데 쉼터가 있어 너무 좋았어요 자연을 즐기는 그 기분 덕분에 여행을 하는것 같아요 가을이니까 또 가보려고 합니다 많은 분들의 사랑을 받을만해요 인왕산 등산하면서 우연히 들렀는데 주변경치를 실내에서도 즐길수있어서 쉬어가기 좋았어요. 이번 겨울에도 또 가보고 싶어요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수애뇨339,"예술공간 수애뇨339는 예술작품전시, 음악공연, 카페, 프라이빗 모임 등을 제공하는 복합예술공간이다. 건물 디자인은 타워팰리스 전경련 회관 세상의 모든 아침을 디자인한 리빙엑시스 대표 최시영의 작품이며, 예술공간 수애뇨는 그의 첫 문화 공간이다.
첫 번째 층인 수애뇨 카페는 공연장과 카페가 결합된 공간으로, 수준 높은 음향 시설과 공연장 조명은 이 공간이 언제든지 새로운 모습으로 탈바꿈할 수 있음을 보여준다. 특히 반 단 아래로 들어가게 만든 공간의 좌석은 이 공간의 트레이드 마크이다.
건물의 두 번째 층인 예술공간 수애뇨339는 전시 공간으로 다양한 장르의 미술품들을 기획 및 초청하여 전시하고 있다. 다른 갤러리 전시 공간과는 차별적으로 ‘sunken garden’이라는 야외 전시공간을 만들어 놓았다.
건물의 세 번째 층인 수애뇨 룸은 프라이빗한 파티나 모임을 위해 마련된 공간으로 취사시설 및 음향설비 등이 완비되어 있다. 기념하고 싶은 작은 모임이나 회사 설명회, 런칭 파티 등이 가능하며, 일몰 시 전경이 훌륭하다.",,http://sueno339.com,서울특별시 종로구 평창길 339 (평창동),"- 월요일~토요일 10:00~19:00
- 일요일 및 공휴일 11:00~19:00",연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북촌전통공예체험관,"북촌을 방문하는 국내·외 관광객들에게 한국 전통공예의 우수성을 알리기 위해 마련한 공간이다. 체험관은 체험장, 전시장, 교육장으로 구성되어 있다. 북촌 공방 장인들이 직접 40여 개의 전통공예 프로그램을 진행하기 때문에 한층 진지하게 전통공예 작품을 만나고 만들어 보는 특별한 체험이 가능하다. 체험장에서는 요일별로 진행하는 프로그램을 선택하여 체험할 수 있고, 전시장에서는 전통공예 작품들을 감상할 수 있다.",,https://tour.jongno.go.kr,서울특별시 종로구 북촌로12길 24-5 (가회동),"- 3월~10월 10:00~18:00
- 11월~2월 10:00~17:00",설·추석,불가능,,,,,,,"5,000원~15,000원
※ 체험프로그램 별로 상이하므로 자세한 사항은 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전통공예 만들기 프로그램
삼성출판박물관,"삼성출판박물관은 우리나라에 처음으로 세워진 출판·인쇄 전문 박물관이다. 세계 최초의 금속활자를 발명하고 출판문화를 꽃피운 문화민족으로서 자긍심을 일깨우고 이와 관련된 사회 교육활동을 펼치자는 목적으로 설립되었다. 1990년에 개관한 이래로 다른 문화유산과 달리 소실되기 쉬운 출판·인쇄 문화유산을 발굴하여 보관하고 전시하는 데 많은 노력을 기울이고 있다.
상설전시실과 특별기획전시실에서는 여러 점의 국보급 전적을 비롯한, 희귀 양장본에 이르기까지 3만여 점 이상의 전적과 각종 지제품, 고활자, 인쇄기기, 문방사우 등의 관계 자료를 소장하여 전시함으로써 우리나라의 출판 인쇄문화 1천3백 년의 역사를 볼 수 있다.
전시장 안쪽에는 도장으로 기념 책갈피와 엽서를 만들어 볼 수 있는 공간이 마련되어 있어 좋은 기념품을 만들 수 있으며, 벽 한쪽에는 관람하고 난 느낌을 메시지로 적어 붙여놓을 수 있는 공간도 마련되어 있어 의미 있는 관람의 마무리도 할 수 있다.",,http://www.ssmop.org,서울특별시 종로구 비봉길 2-2 (구기동),월요일~금요일 10:00~17:00,매주 토요일~일요일 / 법정공휴일,가능,"- 일반 3,000원
- 학생 2,000원",,,,,,,무료,"단체(20인 이상) 1,000원 할인",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갤러리도올,"갤러리도올은 1995년 설립되어 매년 10회 이상의 기획전으로 새로운 시선을 지닌 신진작가를 소개하고, 오랜 시간 동안 예술활동에 매진해 온 중진작가의 작업을 지속적으로 살펴보는 기회를 통해 한국 미술계의 흐름을 파악할 수 있는 시선을 제공한다. 작가의 작품이 많은 설명이 필요치 않고 보편적인 주제와 표현으로 관람객에게 다가갈 수 있는지를 우선으로 한다. 훌륭한 작가를 찾고, 전시를 준비하여 관람객에게 작가의 독창적인 정신과 육체 활동의 결과를 경험할 수 있는 기회를 제공하며, 작가에게는 사회를 만나고 비춰볼 수 있는 상황을 제공하기 위해 노력하고 있다.",,"공식 홈페이지 http://www.gallerydoll.com
공식 인스타그램 https://www.instagram.com/gallery_dohl",서울특별시 종로구 삼청로 87 (팔판동) 2층,11:00~18:00 (점심시간 12:00~13:30),연중무휴,불가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
떡박물관,"떡박물관은 우리 조상들의 지혜롭고 슬기로웠던 삶의 모습과 숨결을 느낄 수 있는 체험공간이자 산교육의 마당이다. 개인적으로 수집한 소장품들을 이곳에 모아 박물관을 설립하게 된 동기는 1999년 3월 안국동 백상기념관에서 ‘이야기가 있는 옛 부엌살림전’을 개최한 것이 계기가 되었다. 전시를 본 많은 사람들이 우리의 옛 부엌살림을 언제나 만날 수 있는 공간이 있었으면 좋겠다는 의견을 주었고, 우리의 부엌살립 유물들이 잊히는 것이 마음이 아프던 차에 2002년 1월에 그동안 모아 온 소장품 3,000여 점을 지금의 박물관에 전시하면서 개관하게 되었다.
떡은 한국인의 생활 속에 깊숙이 들어앉아 희로애락을 함께 해 온 음식으로 그 종류도 많거니와 맛과 영양, 질감과 향을 위한 배합이 과학적으로 절묘하다. 떡박물관에서는 이러한 떡을 시절에 따라, 우리의 일생의례에 따라, 그리고 만드는 방법에 따라 분류 방법을 달리하여 전시하고 있다. 또한 떡을 만들 때 사용하는 각종 조리 도구들도 전시되어 있다. 떡을 보는 것만으로 그치는 것이 아닌 직접 만들어 보고 맛볼 수 있는 체험프로그램을 진행하고 있다. 체험을 통하여 내국인은 물론 외국인들에게도 우리의 자랑스러운 전통문화를 배우고, 잊혀 가는 식문화를 되살리는 계기가 되고 있다.",,http://www.tkmuseum.or.kr,서울특별시 종로구 돈화문로 71 (와룡동),월요일~토요일 10:00~18:00 (입장마감 17:30),매주 일요일 / 설·추석,불가능,"- 성인 3,000원
- 36개월~19세 미만 2,000원
※ 무료 : 36개월 미만 / 65세 이상",안녕하세요,,,,,,,,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,엘리베이터 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"절편떡 만들기(개인) / 한국 전통음식 만들기(단체) 등
※ 자세한 사항은 홈페이지 참조"
