place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,review,지정현황,화장실,이용가능시설,이용요금,규모,접근로,출입통로,장애인 주차 안내,엘리베이터,휠체어,수유실,유모차,관람석,주차 요금,주차요금,지체장애 기타 상세,점자 홍보물,오디오 가이드,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,시설이용료,체험가능 연령,판매 품목,대중 교통,주요시설,시각장애 기타상세,청각 장애 기타상세,개장기간,부대시설,수용인원,할인 정보,보유장비,대여안내,객실,강습안내,입점브랜드,보조견 동반,안내 요원,스포츠 시설 여부,점자 블록,유도안내 설비,바비큐장여부,세미나실 여부,영업시간,대표메뉴,취급메뉴,코스안내,매표소,이용 시기,청각장애 기타상세,보조견동반,영유아가족 기타상세,체험
고란약수,"고란약수는 충남 부여군 부소산 북쪽 기슭 백마강(금강)변에 위치한 사찰 고란사의 약수이다. 이 사찰은 고란초에 의해 널리 알려져 있는데 법당 뒤편에서 나오는 약수와 함께 이 사찰의 명물을 이루고 있다. 고란사는 백제 멸망과 관련된 여러 가지 전설이 저하나 정확한 유적이나 유물은 없고, 현재의 고란사는 고려시대에 창건되었는데 현 사찰 건물은 은산 승각사를 이전한 것으로 전해지고 있다. 이곳은 인근 낙화암, 백마강 유람선과 함께 둘러보기 좋다. 고란약수는 성왕로, 석탑로 등을 통해 부소산성에 진입하여 접근하거나 나루터로를 통해 구드래나루터에서 백마강 유람선을 타고 접근할 수 있다. 인근 관광지로는 부소산성, 낙화암, 백마강 외에 정림사지5층석탑, 부여 구아리유적, 부여 쌍북리 요지, 부여향교, 궁남지, 국립부여박물관, 수북정 등이 있다.",,https://www.buyeo.go.kr,충청남도 부여군 부여읍 부소로 31-5,"[하절기(3월~10월)]
- 09:00~18:00
[동절기(11월~2월)]
- 09:00~17:00",연중무휴,가능,"[부소산성 입장료]
- 성인 2,000원
- 청소년 1,100원
- 어린이 1,000원
※ 자세한 사항은 전화문의 요망",유람선타고 낙화암 구경하고 절입구에서 하선하여 줄서서 구경다녀왔어요. 강바람은 선선했지만 7월초라 너무 더웠어요. 힘내서 올라가 고란사에서 약수먹었더니 물이 정말 좋더라구요!!! 다음날도 약수덕인지 피부가 좋아진 기분이었네요. 낙화암 올라가는 길은 그늘이라 크게 어렵진 않았지만 덜 더울때 가면 더 좋을 것 같아요. 황포배도 타고 전설이 있는 약수터랑 낙화암을 코스로 재밌게 다녀왔습니다 부소산성의 끝자락에 위치한 자그마한 사찰 고란사. 아쉽게 선착장에서 배를 타지는 못했지만 절을 둘러보고 백마강을 두눈에 담아오는 좋은 경험이었습니다. 고란사 전설의 약수물에 고란초 잎을띄워 마셨다는곳에서 부처님께 소원을 빌고 종을 한번치고 한번 마실때마다 삼년을 더 산는약수를 한 바가지나 마시고 유람선을 타고 백마강을 돌아보았다 고란사에 가서 고란약수 먹고 왔어요. 언제가도 좋아요. 앞으로 흐르는 강줄기를 보면서 힐링하고 왔어요. 부부동반으로 부여 여행시 방문한 곳입니다. 낙화암으로 해서 고란사로 산책했습니다. 잘 관리된 여행지로 잘 둘러보고 고란정의 물 맛은 정말 좋습니다. 입장료.2.000원입니다 천천히올라가시면좋아요. 낙화암까지올라가서사진도찍고 고란사에서는꼭.악수를드셔야되요. 3년을젊어져요. 올때는백마강배를타고오시고 물에다니는버스도구경할수도있어요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거전마을,"거전마을 칠갑산에서 발원한 백마강이 아흔 아홉 골을 굽이 돌아 마을 앞을 시원스레 지나 흐르는 천혜의 보금자리를 자랑하는 곳이 거전마을이다. 충청도 두메산골을 자임하는 거전마을은 논과 밭이 옛모습 그대로의 다랭이 논과 산비탈 밭으로 이뤄져 있다. 거전마을은 우리의 아름다운 야생화와 들풀이 마을에 지천으로 깔려져 다소곳함과 자애로움의 한국적 미를 은근히 뽐내기도 한다. 또 이들이 잎새를 뛰어다니는 풀벌레와 시냇물을 노니는 토종물고기가 어우러져 토속적인 아름다움을 더해준다. 또한 산채나물, 밤밥, 밤막걸리, 다슬기국 등 다양한 먹거리와 인근에 구곡지천, 부여박물관, 백제역사재현단지 등 다양한 볼거리가 있어 먹거리와 볼거리를 동시에 충족시키는 마을이라 할 수 있다.",,,충청남도 부여군 은산면 지천로525번길 7-14,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
당진면천읍성,"면천읍성은 당진시 면천읍 소재지에 남아있는 평지 읍성으로 당진, 서산, 태안 등과 더불어 옛부터 중국으로 통하는 바닷길이 있었던 곳이다. 이처럼 중국과의 통상에 중요한 통로이기도 했지만, 동시에 국방상의 중요한 거점이기도 해서 백제시대부터 중요한 거점으로 취급되었다. 지금의 읍성이 세워진 것은 1439년(세종 21년)으로 조선 후기까지 면천의 군사 및 행정중심지의 기능을 수행하였다.
성벽은 자연석을 잘 다듬어 쌓았는데, 외부는 석축이고 내부는 돌을 채운 후 흙으로 덮고 쌓았다. 현 성벽의 둘레는 1,336m인데, 성을 쌓을 당시는 치성과 옹성의 길이를 합한 전체 길이는 1,564m 정도로 추정된다. 이 성은 조선시대 성을 쌓은 규정이 가장 잘 반영된 우수한 유적으로 동, 서, 남, 북의 사대문까지 갖춘 성이었다. 성 내부에는 천연기념물로 지정된 은행나무, 군자정, 레트로거리 등이 있고, 매년 봄에는 면천 진달래민속축제가 열린다. 면천읍성은 지방도 70호선, 609호선, 619호선을 통해 접근할 수 있으며, 당진영덕고속도로 면천IC가 가깝다. 주변에는 골정저수지, 면천향교, 고려개국공신복지겸장군유적지 등이 있다.",,https://www.dangjin.go.kr,충청남도 당진시 면천면 성상리 930-1,상시 개방,연중무휴,가능 (소형 20대),,"지난 주말에 다녀왔어요 한적하니 걷기도 좋고 콩국수도 맛있게 먹고 왔습니다 가을에 가도 좋을것 같아요~ 동네가 머무 깨끗하고 오목 조목 즐길거리가 많아요 우리나라에서 너무 관광지화되어있지 않으면서, 그곳에 사는 사람들이 성곽과 공존하는 동네를 찾기가 힘듭니다. 당진여행 자주가는데 면천읍성도 그중 한 곳~ 시간이 정지한 듯 여유롭고 읍성 너무 이쁘고 견고하고 읍성안도 구경거리 많고 4월엔 골정지야경도 너무 멋졌던 가볼곳 많은 면천읍성.여름엔 서리테콩국수 시원하고 너무 맛나요.면천창고카페도 좋고요.미인상회도 느낌 있고 좋아요. 당진면천읍성. 교통편도 그렇게 멀지않아서 근교여행으로 가볍게 들리기도 좋고 역사를 배우러 아이들과 다녀오기도 너무 좋은곳입니다. 마음이 평온해지는 곳이예요 고즈넉한 그 느낌..! 한번쯤 꼭 가보실만한 힐링 장소입니다 다들 가보세옹 성곽과 더불어 함께 살아가는 사람들의 모습이 보기 좋았어요. 면천읍성이 완전 복원되고 동헌까지 복원되면 더 좋을거 같아요",충청남도 기념물 당진면천읍성 (1993.12.31. 지정),있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용봉산자연휴양림,"용봉산자연휴양림은 1993년 1월 1일에 개장했다. 용의 몸체에 봉황의 머리를 닮았다고 용봉산이라 불리는 산의 기슭에 위치해 있으며, 병풍바위, 거북바위, 장군바위 등의 기암괴석과 다양한 종류의 수목으로 조화가 절경을 이루어 제2의 금강산이라 불린다. 산자락에 덕산온천이 있어 당일 산행과 온천욕이 가능한 곳이다. 휴양림에는 산림욕장, 임간휴게소, 전망대, 산책로, 등산로, 자연관찰로, 어린이놀이터, 체력단련시설 등 편의시설과 야외교실, 임간교실 등의 교육시설이 있다.",,https://www.foresttrip.go.kr,충청남도 홍성군 홍북읍 용봉산2길 87,"[숙박시설]
- 15:00~익일 11:00",연중무휴,가능,무료,"12월 2일 용봉산에 올라갔습니다 눈이 살짝와서 시원하게 산행하였습니다. 내륙에 있는 산으로 작은 설악산 인듯 합니다. 약 5km, 순 산행은 1시간 40분 정도로 수월한 코스입니다. 용봉산 자연휴양림♡내포신도시와가까워 자주 아이들과 방문하고있어요. 타지에서 손님오시면 예약해서 좋은시간 보내기도하고^^가까운곳에 자연이 있어 너무 좋아요 홍성 맛집가며 용봉산 자연 휴양림 은 깨끗하고 숲속 피톤치드까지 느껴 자연가득 싱그러움을 많이 느껴 좋았어요 조아요.^^ 많이 와서 같이 즐거운 시간들 만들어보세요.^^",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유아숲체험 프로그램
국립 오서산자연휴양림,"국립 오서산자연휴양림은 보령시 오서산(790.7m) 서쪽 자락에 있는 자연휴양림이다. 이 휴양림이 있는 보령시 청라면 일대의 도로는 한적한 시골길이라 휴양림에 도착하기도 전에 도심에서 벗어난다는 해방감을 느끼기에 충분하다. [오서산]이라는 지명은 [까마귀의 보금자리]란 뜻에서 나온 것으로, 예로부터 까마귀와 까치가 많이 살았다고 하나, 아쉽게도 현재는 까마귀를 찾아보기 힘들다고 한다. 이곳은 숲속의집(숙박시설), 야영장, 바비큐장, 족구장 목공예체험장 등을 갖추고 있다. 또한 탐방로를 따라 대나무 숲을 비롯하여 휴양림 주변의 숲을 한 바퀴 돌아볼 수 있고, 오서산 등산로를 따라 정상에 올라 서해 바다와 서해 낙조를 감상하는 것도 좋다.
국립 오서산자연휴양림은 국도 36호선, 지방도 710호선에서 지방도 709호선과 오서산길을 통해 방문할 수 있으며, 서해안고속도로 광천IC, 대천IC와 서천공주고속도로 서공주IC가 가깝다. 주변에는 오서산 외에 보령 장현리 귀학송, 신경섭 가옥, 장현저수지, 명대골계곡 등이 있다.",,https://www.foresttrip.go.kr,충청남도 보령시 청라면 오서산길 531,"[숙박시설]
- 15:00~익일 11:00
[일일개장]
- 09:00~18:00",연중무휴,가능(소형 50대),"[개인]
- 어른 1,000원
- 청소년, 군인 600원
- 어린이 : 300원
[단체(20인 이상)]
- 어른 : 800원
- 청소년/군인 : 500원
- 어린이 : 200원","오서산 자연휴양림에서 편하게 휴식하시고 아이들과 숲체험해보세요 딱따구리를 만나실수있어요 가족과함께 시간보내기 좋아요 별도보이구요 퇴실하고는 오천항으로갔네요 친구, 가족과 오붓하게 자연을 만끽할 수 있어요. 특히 휴양림 내 등산로를 따라 오서산 정상까지 오를 수 있어서 등산 후 휴양림 숙소에서 피로를 풀기에도 좋아요",,있음(남녀 구분),"숲속의집(숙박시설) / 야영장
바비큐장 / 족구장 / 목공예체험장",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,숲속체험 / 목재문화체험교실
,"대둔산자연휴양림은 충남 금산군 대둔산 동쪽 자락에 위치한 자연휴양림이다. 계곡이 깊고 산봉우리가 웅장하며 천연활엽수림과 산 중턱 이하의 인공조림지가 자연과 인공의 조화가 잘 이루고 있는 지역이다. 숙박시설은 한국관과 핀란드관으로 나누어 운영하고, 자연표고버섯재배지, 세미나룸, 고르비광장, 야외수영장, 통나무찻집, 축구장, 산책로, 숲속식당, 야외바비큐장 등의 시설을 갖추고 있다. 이곳은 소련의 마지막 지도자 고르바초프가 묵었던 곳으로도 알려져 있다.
대둔산자연휴양림은 국도 17호선 대둔산휴게소를 통해 접근할 수 있으며, 고속도로는 통영대전고속도로, 대중교통은 대둔산공용버스터미널을 이용하여 방문할 수 있다. 휴양림 주변에는 대둔산도립공원, 태고사, 금산이치대첩비 등이 있어 같이 둘러보기 좋다.",,공식 홈페이지 http://www.ijinsan.co.kr,충청남도 금산군 진산면 대둔산로 6,14:00~익일 11:00,연중무휴,가능 (소형 20대 / 대형 5대),,"대전에 갔다가 지인이 데려가서 힐링하고 왔어요 도시에 살다 보니 그나마 갈 수 있는 곳이 공원인데 차원이 휴양림은 차원이 달랐어요 숲에서 나는 초록초록한 향이 시원하고 머리가 맑아지는 기분! 또 먹거리는 플러스 ^^ 파전 거하게 먹고 왔네요 가까이 살면 자주 가고 싶은 곳~ 1박2일 코스 여행이었습니다~ 대둔산 케이블카 타고 구름다리, 삼선계단, 마천대 까지 다녀왔습니다~등산후에는 해물파전도 먹었어요. 인삼튀김이 인상적이었습니다~ 늦은 점심후 대둔산 자연휴양림 숙소로 갔어요~4시쯤 도착하니 저녁먹기전까지 휴식시간을 가질수 있었어요~ 등산하고 난 뒤라 꿀맛 휴식이었습니다~ 야외 벤치에서 기냥 하늘보고 누워요~넘 좋아요~ 가성비 갑 숙소였어요~^^ 이름은 보령방이었...
더보기 가족들이 함께 놀러가기 좋아요. 여름엔 물놀이 가능한 야외 수영장도 있어서 아이들이 좋아해요. 가족들과 자주 찾는곳입니다 구석구석 볼거리가 많고 계곡도 깨끗해서 좋았습니다 부대시설도 잘되어 있습니다",,있음,"- 숲속의집, 진산하우스, 캠핑장, 숲속글램핑
- 세미나실, 주차장, 화장실, 야외수영장
- 야외바베큐장, 통나무 찻집, 숲속식당
- 고르비광장, 자연표고장, 산책로, 야생화 오솔길, 야생화 쉼터, 주차장, 족구장, 축구장 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천안박물관,"천안박물관은 선사시대에서부터 근대에 이르기까지 천안에 살았던 사람들의 삶의 이야기를 담고 있으며 천안의 역사와 문화를 이해하고 체험하는 곳이다. 주요 시설은 3개의 수장고와 6개의 전시실이 있으며 야외공간은 초가 3동, 삼문, 와가, 협문, 야외공연장, 산책로분수대 등이 있다. 전시실은 천안 고고실, 천안 역사실, 천안 삼거리실, 기획 전시실, 교통통신실, 어린이 전시실로 구성되어 있다. 고려 시대와 조선 시대 향촌의 생활상을 모아놓았으며, 국보로 지정된 봉선홍경사 갈기비 모형과 자세한 내용을 살펴볼 수 있다. 과거 보러 가는 선비와 나그네들이 모였다 흩어졌던 천안삼거리 이야기를 재현한 천안삼거리실을 별도로 만들었다. 천안의 각종 풍물과 민속놀이도 빠뜨릴 수 없다. 근현대실은 천안 사람들의 삶을 되돌아보는 공간이다. 일제강점기 독립운동을 비롯해서 상업, 농업, 광업 등 다양한 분야의 근현대 유물을 전시하고 있다.",,공식 홈페이지 http://www.cheonan.go.kr/museum.do,충청남도 천안시 동남구 천안대로 429-13,"[하절기(3~10월)] 09:00~18:00
[동절기(11~2월)] 09:00~17:00
※ 입장 마감은 관람 종료 1시간 전까지 가능",매주 월요일 / 1월1일 / 설·추석 당일,"가능(소형 99대 / 대형 7대)
요금(무료)",,"새로 재개관해서 왔습니다. 내부 인테리어가 꽤나 멋스럽습니다. 어린이박물관부터 일반 전시관까지 간결하게 잘되어있고 특히 3층 전시관은 선사시대관부터 조선시대까지 아주 자연스럽게 이어져있습니다. 가족과 함께 가기 좋은 천안박물관은 다양한 전시와 체험이 있어 아이들이 매우 좋아합니다. 주위 산책로도 걷기 좋아서 힐링이 된거 같아요. 완전 추천합니다 6월5일부터 재개관한데서 다녀왔는데 어린이박물관이닫혀있어서 아쉬워요 집에서 가까워서 좋고 아이들과 같이 다녀오기 좋았어요 날씨 좋은날 산책로 걷기도 좋아요 사또복 입고 사진도 찍고ㅎ, 정원도 거닐면서 힐링하기 좋아요. 막 붐비지도 않고 한적한 박물관이라 여유롭게 구경할 수 있어요. 아이들과 함께 가보기 좋은 곳입니다. 체험과 볼거리가 많아서 아이들이 너무 좋아합니다. 다양한 분야의 유물이 전시되어 있어요 아이들과함께 가보기좋은곳.. 가까운곳에있어서 가끔 아이들데리고 가보네요^^",,장애인 화장실 있음,,무료,"부지면적 30.389㎡ / 연면적 6,616㎡",출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 주차장 있음(5대)_무장애 편의시설,엘리베이터있음,"대여가능(1층 로비, 5대)",수유실 있음,대여가능(1층 로비),장애인 전용 관람석 있음(4석),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,천안박물관 문화교실 / 진로체험프로그램 / 주말체험프로그램 / 어린이박물관교실 / 역사문화대학
취묵헌서예관,"천안시에 위치한 취묵헌서예관은 천안종합유양관광단지 관리사무소 건물을 리모델링해 개관하였다. 이곳은 취묵헌 인영선의 서(書)와 아카이브, 영상 등이 전시되어 있다. 인영선 선생은 충남 아산에서 태어나 천안중학교와 천안농업고등학교를 졸업하고 약 50여 년간 작품활동을 이어나갔다. 취묵헌서예관에서는 그의 창작태도와 작가적 업적을 기리고, 예술적 의미와 정신적 가치를 높일 수 있다.",,,충청남도 천안시 동남구 목천읍 종합휴양지1길 3,10:00~18:00 (입장 마감 17:30),"매주 월요일 (단, 월요일이 공휴일인 경우, 그 다음날 휴관) / 1월 1일 / 설·추석 당일
※ 전시 준비기간에 따른 임시휴관일 별도 공지",가능 (약 소형 115대),,,,,,무료,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국립생태원(서천),"국립생태원 에코리움은 세계 5대 기후를 재현한 열대관, 사막관, 지중해관, 온대관, 극지관 등 각 기후 대표 동식물 1,600여 종이 함께 전시되어 살아있는 생태계를 생생하게 체험할 수 있다. 또한 생태계의 기본 개념을 배울 수 있는 상설주제전시관 1·2, 생태계 주제가 열리는 기획전시관, 눈높이별 생태교육이 이루어지는 에코랩 그리고 어린이 생태글방, 4D 영상관 등이 있다. 야외전시구역에는 습지 생태계의 특징을 관찰할 수 있는 금구리구역, 우리나라의 기후대별 삼림식생을 재현한 하다람구역, 우리나라 대표적 사슴류의 서식공간을 재현한 고대륙구역, 야생에서 날아드는 다양한 종류의 백로류와 오리류를 감상할 수 있는 나저어구역, 고병원성 조류인플루엔자 예방 격리 및 국제적 멸종위기동물 보호 시설인 에코케어센터, 밀수·밀거래되는 국제적 멸종위기동물을 보호하기 위한 CITES동물 보호시설 등이 있다.",,https://www.nie.re.kr/,충청남도 서천군 마서면 금강로 1210,"[춘추·하절기 (3월~10월)]
- 09:30~18:00
- 매표 마감 17:00
[동절기 11월~2월]
- 09:30~17:00
- 매표 마감 16:00","매주 월요일 (단, 월요일이 공휴일인 경우 첫 번째 평일 휴관)","가능 (1,000대)
요금 (무료)",,"국립생태원(서천)은 서천군을 여행하며 방문하였습니다. 사전 예약한 해설사의 설명을 들으며 잘 둘러 보았습니다. 동물농장에서 봤을때부터 가고 싶었던 곳이에요 ㅎㅎ 너무 더운시기에 가서 걱정 많이했는데 걷는건 최대한 아침시간에 했더니 괜찮았어요 에코리움은 정말 볼거리가 가득했고 주변 풍경이 너무 좋아서 다음에는 꼭 숙박을 신청하고 하루종일 산책을 해보고 싶어요 기대이상인 곳이에요. 가격도 저렴하고 볼것도 많습니다. 큰 물고기가 있던 수족관이 잊혀지지 않네요. 어린이는 물론 어른도 즐겁게 관람할 수 있습니다. 충남 서천군을 여행하며 방문한 국립생태원 에코리움은 세계 5대 기후를 재현한 열대관, 사막관, 지중해관, 온대관, 극지관을 해설사의 도움을 받아가며 관람을 하였다. 많은 공부를 할 수 있었다. 다음에 또 한번 가보고 싶은 곳이에요 성인, 미취학~초등 아동 모두에게 유익한 동식물 관람과 체험을 잘 할 수 있게 되어있어요 특히 하다람 놀이터와 에코리움 ,멸종위기동물보호시설,유기 또는 밀수동물보호시설은 아이들이 가장 좋아했어요 동물이 무척많아요 구조한동물들도 많구요 가까이에서 관찰할수있어서 좋아요 완전넓고 아이들대려가기 참 좋은곳 이에요 아이와 함께 매년 오는곳 남녀노소 좋은 곳이어서 다른분들에게도 추천해요 넓어서 많이 걸어야 하므로 봄 가을 날씨 좋을때 추천합니다 아이들 데리고 오면 하다람 놀이터 엄청 좋아해요 건물안 2픙에 식당도 있어서 굳이 도시락 안싸도 괜찮구요 아침일찍 부지런내서 와 오후 늦게 나갑니다 올 가을에도 또 방문할꺼예요",,*장애인용 화장실 있음(안내데스크 근처) *일반화장실에 손잡이가 달린 노약자화장실 칸이 마련되어 있음,전시실 / 에코리움 / 미디리움 / 야외전시 / 동물보호(전시)시설 등,,,*휠체어가 올라갈 수 있는 경사로가 설치되어 있음 *문턱없이 평지로 연결되어 휠체어 통과 가능함,*주출입구에 휠체어가 통과 가능함(자동문/운영시 상시개방),장애인 주차장 있음_무장애 편의시설,"*엘리베이터 있음(장애인용, 휠체어 2대크기)","대여가능(에코리움 안내데스크/신분증확인, 보증금1만원)","*수유실 있음(2곳, 에코리움, 방문자센터)","*유모차 무료 대여(약 20대, 안내데스크, 개인정보수집)",,,무료,전기차운행(장애인 및 보호자 1인 탑승 가능),"*점자유도로 설치 됨(점자블록 연결) *점자블록 있음(입구, 안내데스크 앞 등)","음성안내기 대여가능(에코리움 안내데스크/한국어, 영어, 일어, 중국어가능 / 신분증확인, 보증금1만원)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,가상현실(VR) / 4D입체영상관 / 어린이 생태글방 / 방문자센터(미디리움) 등
롯데리조트부여,"롯데부여리조트는 100만 평 대지 위에 문화와 역사체험, 휴식과 휴양, 놀이와 스포츠 등 개인뿐만 아니라 가족단위의 다양한 활동이 가능한 테마리조트이다. 충청남도에서 추진하는 백제역사문화관광단지의 일환이다. 백제의 옛 도읍지에 위치해 휴양뿐만 아니라 역사적 체험도 즐길 수 있는 곳이다. 환경적 특성으로 기존 부여와 인근 공주지역에 잔존하는 백제유적지에 더하여 충청남도가 조성 중인 역사재현촌과 백제역사문화관의 연계로 백제역사문화관광단지가 완성되었다.",,www.lotteresort.com/buyeo/ko/about,충청남도 부여군 규암면 백제문로 400,,,,,"최근에 방문한 국내 숙소중에 제일 좋았습니다. 조식이 정말 맛있고 스파도 좋고 롯데아울렛과도 가까워서 굉장히 편리합니다. 방도 넓고 깨끗하고 침구류도 편합니다 조만간 또 방문하려고 합니다. 롯데리조트 부여입니다. 절대 후회하지 않는 리조트입니다. 멋진 워터파크와 함께 롯데 아울렛이 바로 근처에 있고, 백제문화단지도 근처에 있어서 쉬면서 관광하기 최적의 장소입니다. 객실정보 도움이 많이 되었어요! 주변에 아울렛 백제문화단지도 걸어서 갈 수 있어서 편리한 숙소 같아요! 전통과 현대가 조화롭게 공존하는 매력적인 곳으로서, 미취학 아이들과 물놀이를 하기에 아주 제격인 곳입니다. 50,000원에 바베큐장을 이용하면 숯과 집게, 그릴 식탁과 의자 등을 사용할 수 있어 편리합니다. 이곳에서 1박 후 근처 수륙양용 버스 투어도 추천합니다~*^^*",,,,,지상 6층/지하 1층,,,,,,,,,,,,,,15:00,11:00,가능(콘도형 객실),"본디마슬(레스토랑), 비베러디쉬(브런치 카페), 봉보야쥬(캐주얼펍), 정경마당(셀프BBQ존), 테이크아웃존(교촌치킨, 미스터피자, 맘초밥, 떡참)",322실,041-939-1000,www.lotteresort.com/buyeo/ko/about,"디럭스, 패밀리, 스위트, 패밀리(캐릭터), 스위트(캐릭터), 프레지덴셜 스위트, 로얄",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
