place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,화장실,주차요금,review,이용요금,접근로,출입통로,장애인 주차 안내,엘리베이터,대중 교통,이용가능시설,입장료,시설이용료,유모차,수유실,휠체어,유아용보조의자,판매 품목,체험가능 연령,시각장애 기타상세,규모,개장기간,부대시설,주요시설,객실,입점브랜드,관람석,점자 홍보물,수용인원,오디오 가이드,지체장애 기타 상세,주차 요금,점자 블록,대여안내,보조견 동반,안내 요원,코스안내,보유장비,강습안내,이용 시기,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,영유아가족 기타상세,체험
강동 화암 주상절리,"화암 주상절리는 북구 화암동 화암마을 화암(꽃바위) 해변 일대에 분포하는 유적으로 약 2,000만 년 전 신생대 제3기 중신세에 분출한 현무암 용암이 냉각하면서 열 수축 작용으로 생성된 냉각절리이다. 강동 화암 주상절리의 가장 큰 특징은 주상체 횡단면이 꽃무늬 모양인 점과 수평, 수직, 경사진 형태 등 다양한 형태와 방향으로 발달해 있다는 점이다. 동해안 주상절리 가운데 용암 주상절리로는 가장 오래되어 학술적 가치가 높으며, 양한 각도로 형성되어 있어 경관이 아름답다. 주상절리 곳곳에 계단이 설치되어 있어 가까이에서 관찰하고 만져볼 수도 있다. 이곳의 주상절리는 다량의 목재 더미 모양을 하고 있는데, 길이는 수십 미터에 이르며, 하나의 주상체 횡단면 긴 쪽 대각선의 길이는 50㎝ 정도이다.",,https://tour.ulsan.go.kr,울산광역시 북구 산하동 952-1번지 일원 (산하동),상시 개방,연중무휴,가능 (소형 10대),울산광역시 기념물 강동화암주상절리 (2003.04.24. 지정),있음,무료,"주상절리를 보고 있으니 시간여행을 하는 느낌이네요. 멋져요^^ 바다도 볼 수 있고 주상절리 전망대에서 바라보면 자연은 위대하다라고 생각들어요~ 주상절리 구경도 하고 주변 맛집에서도 즐거운 식사도 가능하고 좋아요^^ ""강동 화암 주상절리""는 울산광역시 북구 화암동에 있습니다. 마을에 있는 화암(꽃바위)부터 바다에 까지 제법 넓게 주상절리가 있습니다. 퍽 아름답습니다. 주상절리 전망대에서 바라본 경주 강동화암 주상절리 너무 이쁩니다! 가래떡처럼 잘 누워있네요. 주말에 나들이 가봐야겠음ㅎㅎ 울산에 이런곳이 있다고 하니 놀랍네요 경주 양남에만 있는 줄 알았는데, 울산에도 있네요.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산 옹기박물관,"울산옹기박물관은 옹기집산지인 외고산 옹기마을에 위치한 장인들의 발자취와 옹기의 역사, 문화 그리고 미래를 전시하는 공간이다. 기네스 등재된 세계최대옹기는 박물관을 상징하는 이미지로 내방객들의 사랑을 받고 있는 작품이며, 상설전시실에서는 약 300여점의 다양한 옹기를 만날 수 있다. 우리선조들의 지혜가 고스란히 녹아있는 전통 옹기의 우수성을 널리 알리고 실생활에 보급될 수 있도록 다양한 기획사업을 펼쳐나가고 있다. 또한, 옹기 전문박물관으로서의 위상을 높이는 동시에, 옹기마을 만의 특화된 프로그램도 운영하고 있다.",,https://www.ulju.ulsan.kr/onggi/,울산광역시 울주군 온양읍 외고산3길 36,09:00~18:00,매주 월요일 / 1월 1일 / 설·추석 당일,가능,,장애인 화장실 있음,,"바쁜 생활 중에 한적한 쉼을 즐길 수 있는 좋은 곳입니다. 울산시민은 물론 인근지역민들도 제대로 알지 못할 정도로 홍보가 이루어지지 않은 것 같습니다. 상술보다는 교육적인 측면을 부각시켜 많은 사람들이 쉬면서 즐기고 가기를 바랍니다. 평소에 보지 못한 다양한 옹기들을 볼수있고, 기네스에 오른 큰 옹기를 볼수있어서 신기하고 재밌는 경험이었어요~ 옹기와 관련된 많은 정보들을 얻을 수 있고, 옹기의 역사 등을 이해하기 쉽도록 애니메이션 등 영상자료도 있어서 많은 도움이 됐어요. 근처의 발효체험관의 체험프로그앰이니 옹기아카데미 옹기제작 등 체험프로그램을 같이 하셔도 좋을것같아요. 전국의 다양한 옹기를 만날 수 있는 공간이네요 옹기축제 때 다녀왔는데 공연도 많이 하고 체험 프로그램도 다양해서 너무 좋았습니다. 기네스북에 오른 커다란 옹기가 신기했어요!!",무료,"문화시설 부지 넓음. 이동경로 폭 넓음.
문화시설 특성상 휠체어, 전동 스쿠터 사용자 이용 쉬움.
내부 턱 없음.","출입통로 형태 : 여닫이문
출입통로가 넓어 휠체어, 전동 스쿠터 사용자 진입 쉬움.
경사로 있음.","장애인 전용 주차구역 주차 대수 : 1대(울산옹기박물관주차장)
주변 휠체어 이용자 등이 이용할 수 있는 여유공간 있음.
문화시설까지의 거리 : 약 70m",엘리베이터 있음,"대중교통 이용 가능 : 외고산옹기마을 정류장
저상버스 없음.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
당사해양낚시공원,"낚시를 좋아하는 사람이라면 한 번쯤 꼭 와봐야 할 곳으로 유명한 당사해양낚시공원은 동해의 멋지고 아름다운 바다를 보면서 산책하고 힐링하기 좋은 곳이다. 바다를 향해 길게 나 있는 긴 다리를 지나며 사랑의 조개 고리에 소원도 적어서 걸어보고, 벤치에서 풍경을 바라보며 쉬어도 보고, 시원한 바닷바람을 맞으면 걷다 보면 기분도 좋아진다. 철망으로 되어 있는 다리 아래로 파도를 직접 느낄 수 있어서 스릴도 즐길 수 있다. 바다 한가운데서 낚시도 해보고, 다리 끝 계단을 내려가 갯바위 위에 올라가면 울산 바다의 아름다움을 마음껏 감상할 수 있다. 노후된 시설을 보수하고 구조물도 추가하여 2023년 7월 멋진 모습으로 재개장을 하였다.",,,울산광역시 북구 용바위1길 58 (당사동),"- 하절기(4월~10월) 09:00~18:00
- 동절기(11월~3월) 09:00~16:00
※ 낚시객은 탄력적 운영 06:30~20:00
※ 이용객 안전을 위해 탄력적으로 운영",연중무휴,가능,,있음,,한적하니 좋아요 같이간일행들도 좋아하더라구요 남편이 낚시좋아해서 결혼전에 가서 구경한적있는데 새롭게 바꾸었네요 동해의 푸른바닷물만 보고있어도 힐링이되요 낚시안해도 보는것만으로도 힐링이되는곳이에요^^ 오 여기 좋더라구요 낚시꾼인 남편과 아이들이 다 만족할 만 곳이죠 아름다운 일출 보기에도 정말 좋은 곳이예요 추천합니다! 아빠와 같이 가본적 있는데 힐링하기 좋은곳이에요 낚시도 하면서 기분 전환하러 가기 딱 좋은 곳이에요 강추합니다 낚시 가는 가족 따라 갔는데 낚시뿐만 아니라 주변 경관이 좋아서 산책하면 시간 보내기 좋았어요. 아이들도 뛰어 다니기 좋고 경치 보면서 힐링 할 장소로 좋아요. 입장료도 저렴해고 좀 더 바다와 가까이 다가간 기분을 느낄 수 있어 좋았어요 낚시좋아하는 신랑이 픽한곳이라 같이가봤는데 너무 예뻐서 깜짝놀랐어요 저는 낚시보단 사진위주로 많이찍었고 바다구경하느냐 시간가는줄몰랐던 곳이에요^^ 가족여행으로 강추에요~ 낚시 좋아하는 남표니 따라 가족여행 간곳 혼자만 낚시 다니는데 울산당사해양낚시공원은 가족들도 낚시가 재미없지않게 즐기다 올수 있어서 좋았어요. 특히 긴다리 모두 손잡고 걸으며 우리 오래 잘살아보자 다짐도 해보았네요. 즐거운 여행이었어요! 평소에 낚시를 좋아해서 방문했는데 낚시뿐만 아니라 주변 경관도 멋지고 바다를 배경으로 사진찍기 좋아서 만족스러웠어요 색을 예쁘게 칠해놔서 사진찍으면 인생샷을 건질수있어요! 넓은 바다를 보면서 힐링하기도 좋고 데이트하기도 좋은곳입니다♡,,,,,,,낚시공원 / 매점,"[개인]
- 성인 1,000원
- 청소년 500원
[단체(20인 이상)]
- 성인 500원
- 청소년 400원
※무료 : 만 7세 이하 소아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,낚시체험
울산양떼목장,마골산의 정상 부근에 위치한 양떼목장으로 초원에 방목되어 있는 양들과 사육장의 토끼들에게 먹이 주기 체험을 할 수 있는 곳이다. 울산 시내와 인접하여 있어 접근성이 좋으나 목장까지는 마골산의 구불구불한 산길을 올라야 한다. 울산양떼목장 앞에 이르면 파란 하늘아래 탁 트인 드넓은 6만 평의 초지가 나타나고 울타리 문을 열고 들어가면 여기저기에서 한가로이 풀을 뜯고 있는 양들을 만날 수 있다. 전체적으로 목장 관리가 잘 되어 있어 쾌적하며 주변 경치와 양들을 둘러볼 수 있으며 들판 곳곳에 아이들이 타고 놀 수 있는 장난감 차와 포토존이 자리하고 있다.,,,울산광역시 북구 아랫율동2길 262-113 (어물동),10:00~18:00,매주 평일 / 우천 시 / 설·추석 당일 / 임시 휴업일,"가능
요금 (무료)",,있음,,가족들하고 가기 좋았어요~^^ 양들 가까이서 볼 수 있고 직접 먹이까지 줄 수 잇어서 좋은 경험했어요 아이도 무척 좋아했고요~ 추천추천 울산숨은 명소 가는길이 구불구불하긴하지만 도심에서 양을볼수있는 흔치않은곳ㅎㅎ 아이들이 먹이도직접주고 가까이서 양을 볼수있어 너무 좋아합니다. 강추입니다. 양과 토끼떼들을 눈 앞에서 보고 먹이를 줄 수 있어요. 산 위의 배경이 예뻐 사진도 잘 나와요. 울산 양떼목장은 가족 나들이에 이상적인 자연 체험형 명소입니다. 푸른 초원 위를 뛰노는 양들을 가까이서 보고 먹이도 줄 수 있어 아이이 가장 좋아했던 시간이었어요. 깨끗한 공기와 아름다운 풍경 속에서 여유로운 시간을 보낼 수 있어서 추천합니다. 가는길이 먼데 경치가좋아요 가면 눈이아주시원합니다 사람도 적어서 좋아요 산속으로 난 도로를 달리며 꿩도 보고 맑은 공기도 마시고 그렇게 한참을 가다보면 양떼목장이 나오는데요 드넓은 목장이 인상적이었고 먹이주기 체험도 좋았어요 저흰 당일치기 캠핑장비를 챙겨갔었는데 울산 시내를 내려다보는 재미도 좋았어요,,,,,,,,"- 대인 8,000원
- 소인 5,000원","- 양먹이 3,000원
- 토끼먹이 2,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"먹이 체험 (양, 토끼)"
장생포고래문화특구,"장생포고래문화특구는 울산광역시 남구 장생포 일대에 조성된 고래문화중심지이다. 선사시대부터 고래가 서식하던 해역으로, 한국에서 유일하게 고래와 관련된 역사와 문화를 종합적으로 체험할 수 있는 관광특구이다. 특구 내에는 고래의 생태와 포경문화를 주제로 한 전시·체험 시설이 밀집되어 있다. 대표 시설인 장생포고래박물관은 고래골격, 포경도구 등 다양한 유물을 전시하고 있으며, 고래생태체험관은 국내 최초로 조성된 돌고래 수족관으로, 돌고래의 일상을 직접 관찰할 수 있는 공간이다. 또한 고래문화관광 활성화를 위해 울산 앞 동해 해역에서 고래를 탐사할 수 있는 국내 유일의 고래탐사 크루즈 고래바다여행선을 운영하고 있다. 장생포고래문화특구는 고래와 인간의 관계를 조명하며, 생태·교육·관광이 융합된 해양문화 공간으로 자리매김하고 있다.",,https://www.whalecity.kr/,울산광역시 남구 장생포고래로 244 (매암동),"[장생포고래박물관/고래생태체험관/울산함/고래문화마을]
09:00~18:00 (매표 마감 17:30)
[장생포웰리키즈랜드]
10:00~18:00 (매표 마감 17:00)
[장생포모노레일]
10:00~18:00
[장생포문화창고]
10:00~21:00","매주 월요일(단, 월요일이 공휴일인 경우 공지사항 또는 휴무일 달력 확인) / 설·추석 당일",가능,,장생포고래문화마을 서편화장실 내 장애인 화장실 장생포고래박물관 1층 장애인 화장실 장생포고래생태체험관 1층 장애인 화장실,,,,휠체어 접근이 가능함,,고래박물관부설주차장에 장애인 주차구역 7면 보유,엘리베이터 있음,"장생포고래박물관 입구 버스정류장에 226, 236, 416, 716 하차",,,,"장생포고래문화마을 관리사무소에 3대, 장생포고래박물관 안내데스크에 2대, 장생포고래생태체험관 안내데스크에 2대 보유",장생포고래문화마을 관리사무소 내 수유실 장생포고래박물관 1층 수유실 장생포고래생태체험관 2층 수유실,"장생포고래문화마을 관리사무소, 장생포고래박물관 안내데스크, 장생포고래생태체험관 안내데스크에 일반휠체어, 실버카트 각 2대 보유",장애인 화장실 내,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,장생포고래모노레일
장생포고래박물관,"옛 고래잡이 전진기지였던 장생포에 국내 유일의 고래박물관을 건립하여 1986년 포경이 금지된 이래 사라져가는 포경유물을 수집, 보존·전시하고 고래와 관련된 각종 정보를 제공함으로써 해양생태계 및 교육연구 체험공간을 제공하여 해양관광 자원으로 활용하고자 설립된 곳이 바로 장생포고래박물관이다. 함께하는 열린 문화공간, 짜임새 있는 전시들, 다양한 체험학습의 공간이 된다. 또한 고래 인형은 아이들과 어른 모두에게 인기 있는 선물이다. 여기서 판매되는 고래인형은 폐플라스틱을 재활용해서 만들어지기 때문에 친환경제품이라는 의미도 더해진다. 별도의 입장료가 있으니 홈페이지를 참조하면 된다.

(출처 : 장생포고래문화특구 홈페이지)",,https://www.whalecity.kr/,울산광역시 남구 장생포고래로 244,09:00~18:00 (매표 마감 17:30),매주 월요일 / 설·추석 당일,가능,,장애인 화장실 있음,,,,,,장애인 주차장 있음,엘리베이터 있음,,,,,유아차 대여 가능,수유실 있음,휠체어 대여 가능,,별까루고래인형,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실 내 유아차 기저귀 교환대 있음,
진하해수욕장,"울산의 남부 쪽 울주군 서생면 진하리에 자리 잡고 있는 진하 해수욕장은 울산 제일의 해수욕장이다. 해안에 바짝 붙어 달리는 31번 국도를 타고 북쪽으로 오르다 보면 바다 쪽으로 삐죽 내민 간절곶 등대가 보이고, 그 너머에 진하해수욕장이 펼쳐져 있다. 진하해수욕장은 동해의 검푸른 파도를 피해 북향으로 살짝 비켜 앉은 지형덕에 큰 파도도 엉거주춤 긴장을 풀고 쉬어가는 곳이다. 고운 백사장이 약 2km에 뻗쳐있으며, 수온이 적당해 피서지로서 알맞은 조건을 갖추고 있어 전국 각지에서 찾아온 피서객들로 만원을 이룬다. 백사장 뒤편에는 소나무숲이 짙은 그늘을 드리우고 있다. 해수욕으로 거칠어진 호흡을 가다듬기에 더없이 좋은 휴식처다. 2개의 해중암으로 이루어진 이덕도와 소나무숲이 우거진 명선도 등 아름다운 섬과 송림, 수심이 얕은 해수욕장이라 가족등반에 적격지다.

◎ 한류의 매력을 만나는 여행 정보 - 드라마 <이번 생도 잘 부탁해>
서하와 도윤, 지음과 초원이 나란히 걸었던 해변이다. 이곳은 울산의 대표 피서지 중 하나로, 푸른 바다와 소나무 숲, 명선도가 어우러져 멋진 경치를 뽐낸다. 밤에는 명선도를 화려하게 밝히는 조명과 호랑이, 폭포수 등 다채로운 미디어아트를 볼 수 있어 야경 명소로도 인기다.",,https://www.ulju.ulsan.kr/tour,울산광역시 울주군 서생면 진하리,10:00~19:00,연중무휴,가능,,장애인 화장실 있음(명선교 아래 화장실),무료,진하해수욕장의 노을지는 모습^^ 남편의 추억이 담긴 해수욕장이 있다고해서 드라이브겸 진하해수욕장 갔었어요^^ 도착해서 카페검색해보니 해수욕장 바로 앞에 설보리카페에 흑임자빙수가 유명하다고해서 먹어보고 바다구경했네요 ㅎ 하늘도 이쁘고 물놀이 하면 좋겠다 생각했어요^^ 가족들이랑 다시한번 방문할려구요^^ 일하는 현장근처여서 가끔씩 들리는데 요즈음은 더워서 수영하시는분들도 가끔씩 보이더라구요 한적하고 좋습니다 진하해수욕장에서 조카와 모래놀이하며 즐거운 시간을 보냈어요 편의점이나 식당 숙박시설까지 모든게 다 갖춰져있어 빈손으로 가도 전혀 문제가 없었어요 휴가때 친구들과 다시 방문할거에요 회사가 근처여서 자주 들리는 곳인데 갈때마다 다른느낌을 주네요 이번여름에도 자주 갈것 같아요 산책하기도 좋고 아이들과 놀기도 좋아요^^ 울산에서 직장다니고 있어서 진하해수욕장을 자주 찾는편인데 겨울바다도 너무 멋있어요 가보세요,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,엘리베이터 있음(명선교 양편),,샤워장 / 음수대 / 취사장 / 세족장 등,무료,,,,,,,전연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달천철장유적공원,"울산 북구에 있는 달천철장 유적공원은 삼한시대부터 조선시대 때까지 유지되었던 철광석 광산이 있던 자리에 유적공원을 조성했다. 쇠부리 축제를 통해 철 생산 당시를 재연하고 많은 시민이 역사를 공부하러 올 수 있도록 문화관을 만들었다. 유적공원에는 넓은 광장과 함께 일대를 빙 둘러싸고 있는 산책길, 관광안내소와 쇠부리 체험장, 쉼터 등 다양한 요소로 채워져 있다. 공원에 편히 방문할 수 있도록 널찍한 주차장도 만들어져 있다. 강동 사랑길&누리길, 편백 산림욕장이 인접해 있어 함께 둘러보기 좋다.
※ 반려동물 동반 가능(목줄, 배변봉투 지참)",,,울산광역시 북구 달천철장길 58 (달천동),상시 개방,연중무휴,가능,,장애인 화장실 있음,무료,"아파트 단지 사이 넓은 공원이 있어 산책하기 좋은 곳이에요 1년에 한 번씩 쇠부리 축제가 열립니다 다른 지역에 사시는 분들은 그 시기를 맞춰서 방문하시는 걸 추천 드려요 ㅎㅎ 그때는 공연, 푸드 트럭, 판매 부스 등 즐길 거리가 많습니다 아이들과 여행하는데 부산시민공원처럼 다양한 놀이기구 있었으면 좋겠어요",,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일산해수욕장(울산),"대왕암공원에 인접해 있는 일산해수욕장은 낮에는 한눈에 보이는 바다풍경과 저녁에는 야경을 감상할 수 있는 도심 속 해수욕장이다. 면적 40,290㎡, 길이 850m, 폭 42~61m로, 수심이 낮고 경사가 완만하여 가족단위로 물놀이하기에 안성맞춤인 곳이다. 해수욕장 막구지기 별빛광장에는 은은한 조명과 함께 바다를 바라볼 수 있는 쉼터가 마련되어 있어 여름뿐 아니라, 사계절 휴양지로 매년 많은 사람들이 찾아온다. 또한 매년 여름철에는 7월 조선해양축제, 7~8월 상설무대공연 등이 개최되어 다양한 볼거리와 즐길거리를 선사한다. 일산해수욕장 앞바다에 위치한 어풍대는 통일신라시대 왕들이 풍류를 즐기기 위해 찾았던 곳이다. 어풍대에서는 대왕암공원, 민섬, 일산해수욕장이 한 폭의 그림처럼 내려다보이는 곳으로 왕들의 정취를 느낄 수 있다.",,https://www.donggu.ulsan.kr/tour/,울산광역시 동구 해수욕장10길 18 (일산동),상시 개방,연중무휴,"가능
요금 (평일 2시간, 주말·공휴일 1시간 무료 / 이후 30분 당 500원)",,장애인 화장실 있음,,울산 동구의 작은 해수욕장으로 물놀이도 하고 고운 모래사장도 거닐수 있는 장소에요! 수상 체험도 할수있어서 액티비티를 좋아하는 사람들에게도 좋습니당 주변에 식당과 카페도 매우 많아서 가족 친구 남녀노소 모두에게 좋은 장소입니다 추천! 울산에서 바다를 가장 가까이에서 볼 수 있는 곳. 해수욕도 즐길 수 있고 대왕암공원도 걸어서 10~20분거리라 가까워요 산책하기 좋고 가까운 테라스파크에 음식점도 카페도 나름 많이 있어서 가족들끼리 가기 좋아요 해운대에 비하면 작지만 그래도 바다 보기 좋아요 올때마다 기분좋아지는 바다입니다 매력있는 특색있는 바다에요 대왕암공원을 갔다가 일산해수욕장으로 밥을 먹으러 갔어요. 바다를 보면서 식사할수있는곳이 있어서 낮에 가면 바다풍경이 잘 보여요. 매년 여름철에는 축제로 볼거리와 즐길거리가 있으니 방문해보세요. 바다와 식당이 인접해서 식도락여행하기 좋아요 액티비티도 즐길수 있어서 여행하시는 분이나 지역민들도 많이 찾아요 대왕암이 바로 근처라서 같이 여행하시기 좋답니다 동해 바다의 아름다운 풍광을 구경하고자 일산해수욕장을 방문 했습니다. 오른쪽으로 가면 대왕암공원이 있고 왼쪽에는 현대중공업이 자리하네요. 아름다운 바다 사진을 찍고 잠시 쉬었다가 대왕암공원으로 산책을 갔습니다. 대왕암출렁다리를 방문하기 위해 일산해수욕장을 거쳐 지나면서 사진을 찍고 동해의 푸른 바다를 감상했네요. 아름답습니다.,,출입구까지 평지로 되어 있으나 흙(돌) 구간 있음,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,,무료,,,수유실 있음(안내소 건물 내부),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기저귀교환대 있음(장애인 화장실 내부),
김씨네마카롱공장(주식회사필링),"주식회사 필링은 울산 대왕암공원 입구에서 마카롱 전문점 ‘김씨네마카롱공장’을 운영하고 있다. 울산 동구의 특산품인 가자미를 모티브로 한 ‘가자미 약과롱’을 비롯해, 다양한 맛과 모양을 갖춘 10종 이상의 마카롱과 아이들을 위한 미니 마카롱 등 다양한 제품을 판매하고 있다. 또한 마카롱을 직접 만들고 맛보는 원데이 클래스와, 어린이집·유치원·학교 등에서 진행되는 단체 체험 클래스도 운영하고 있어 달콤한 추억을 선사하고 있다.",,http://www.instagram.com/kimsmacaroon,울산광역시 동구 등대로 99 (일산동) C동 4호,11:00~19:30,휴무 없음,"대왕암공원 주차장 이용 (평일 2시간 무료, 주말 및 공휴일 20분 무료)",,,,,,,,,,,,,,,,,,,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"마카롱 만들기 원데이 클래스 : 마카롱 꼬끄 생산, 필링 샌딩, 데코레이션 등 체험(1시간 30분 정도 진행)"
