place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,review,주차 요금,이용요금,접근로,출입통로,장애인 주차 안내,수유실,입장료,지정현황,이용가능시설,주차요금,엘리베이터,유모차,휠체어,점자 홍보물,체험가능 연령,오디오 가이드,시설이용료,지체장애 기타 상세,수용인원,판매 품목,주요시설,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,캠프파이어 여부,대중 교통,관람석,규모,부대시설,이용 시기,객실,개장기간,시각장애 기타상세,할인 정보,유아용보조의자,보유장비,강습안내,점자 블록,대여안내,보조견 동반,매표소,안내 요원,코스안내,예약안내,예약안내 홈페이지,입점브랜드,식음료장,뷰티시설여부,노래방 여부,사우나실 여부,스포츠 시설 여부,세미나실 여부,유도안내 설비,영유아가족 기타상세,체험
대장봉 전망대,"군산에서 빼놓을 수 없는 여행지 중 한 곳인 대장봉은 고군산군도와 서해바다의 아름다운 풍경을 담고 있는 장소이다. 99번 버스를 타고 장자교를 건너가면 장자도에 도착한다. 고군산군도 대표 전망대로 손꼽히는 대장봉은 구불길이 지나가는 길로 10~20분 정도 나무계단을 걸어 오르면, 할매바위를 지나 전망대가 모습을 드러낸다. 360도로 탁 트여 있어 고군산군도의 전경을 한눈에 담아 볼 수 있는데 탄성이 절로 나오는 경치이다.
군산 대장도는 섬을 아낀다는 취지로 차량 통행을 통제하고 있어서 장자도에 있는 주차장을 이용해야 한다. 넓은 주차장을 24시간 이용할 수 있고 주차요금이 있다. 장자도 관광안내소와 공중화장실도 입구에 있다.",,https://www.gunsan.go.kr/tour,전북특별자치도 군산시 옥도면 대장도리,상시 개방,연중무휴,가능,있음,"30분만에 오를수 있는 정상이여서 아이들과 다녀왔어요 힘들어했지만 무사히 정상찍고 내려왔어요 정상에서 뷰가 너무 좋았어요 고군산군도 대장봉전망대 계단을 오르다보면 힘은들지만 정상에서 내려다보는 서해의 전망이 너무 멋져요. 꼭 계단으로 가세요. 모르고 등산길로 갔다가 조난당하는줄.. 고군산군도 대장봉 계단을 오르다보면 힘은들지만 정상에서 내려다보는 서해의 전망이 너무 멋져요. 조금만 올라가면 멋진 뷰를 볼 수 있는 곳입니다. 올라가는 데 살짝 힘들었지만 길게 힘든게 아니라 참을만한 힘듦이었고 올라가면 보이는 풍경때문에 올라가는 동안의 힘듦은 사라지는 너무 멋진 곳이었어요. 뻥뚫린 바다뷰를 보고 싶으시다면 추천합니다 멋진 고군산군도를 드라이브하고 장자도어 주차한뒤 대장봉을 올랐습니다. 전망대에서 바라본 풍경은 기대이상이었고 감탄사가 절로 나왔습니다. 계절마다 방문하고싶은 곳입니다. 계단으로 2-30분 정도 천천히 올라가면 정말 상쾌하고 뻥 뚫린 멋진 뷰를 감상하실 수 있습니다! 저는 아침에 일출보러 이른 시간에 올라갔었는데, 항상 마음 한 켠에 다시 가고 싶은 여행지로 삼고 있어요 최고에요! 등산로로 가지말고 계단길로 가셔요. 음. 길을 잘옷들어 등산로라고 적혀진곳으로 갔는데 넘 힘들었어요. 어화대 할매바위방향으로 가야 계단길이 나오는데 그길이 계단이긴해도 더 안전해요. 대장봉 방향으로 가면 등산로가 나오는데 이 기는 너무 험해요. 전망대에서 보는 풍경은 너무 아름다워요 약간의 등산이 필요하지만 진짜 탁트인 전경이 아름답습니다 군산에서 제일 기억에 남는 여행지였어요 올라가는길은 가파른계단과 급경사라 힘들지만, 전망대에 올라서서 보는 풍경은 아름다운 우리나라를 다시금 생각하게 하고 눈밑으로 보이는 많은 섬들과 바다를 떠다니는 낚시배들을 보고 있자면 자연을 담은 한폭의 그림과 같았다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미술관 솔,"1970년 솔 화랑으로 시작하여 지역민 문화향유를 위한 2021년 ‘사립미술관 솔’을 설립하였고 전북의 자존심인 창암 이삼만의 서예관 설립을 시작으로 지역민의 오랜 염원을 이루어 나가고자 한다. 대한민국의 근대 서화를 중점으로 연구, 전시를 진행하고 있으며 현대 미술가들의 작품 전시 또한 지원하고 있다. 미술관 솔의 기획전시가 없는 기간에는 창암서예관(창암 이삼만)과 석지 초상화관(석지 채용신)의 작품을 감상할 수 있다. 기간에 따라 상이할 수 있으니 사전에 전화 확인 후 방문하길 권장한다.",,http://www.artmuseumsol.org,전북특별자치도 전주시 완산구 팔달로 212-6 (경원동3가),10:00~17:00 (휴게시간 12:00~13:20),매주 목요일 / 일요일 / 공휴일,가능,,,무료,"관람료 3,000원(일부 전시 무료 관람 가능), 단체 방문시 10% 할인 적용",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목우헌,"목공예에 녹아 있는 장인의 숨결이 느껴지는 목우헌은 목공 기능 전승자 김종연 선생의 전시관이자 작업실로 전통과 현대 공예작품을 관람할 수 있는 곳이다. 전시된 작품으로는 전통 목침, 다식, 약과틀, 서각, 조형 작품 등 생활용품과 장식품들이 있다. 또한 이곳에서는 서각, 전통 기러기, 문패 만들기 등의 체험을 즐길 수 있다.
김종연 선생님은 전통 목침 분야의 기능 전승자이기도 하다. 그의 공방은 항상 대중들에게 열려 있으며 작품 사진을 찍어도 전혀 제지를 받지 않는다. 가운데 가장 눈에 띄는 작품들은 다양한 형태의 목침이다. 특히 정교하면서도 화려한 호랑이 목침은 단연 눈길을 사로잡는다.
인근에는 전주한옥마을, 경기전, 전동성당, 풍남문 등 볼거리, 먹을거리, 즐길거리가 즐비하다.",,,전북특별자치도 전주시 완산구 기린대로 88,09:00~17:30,매주 토요일 / 일요일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전주자연생태관,"전주의 주산인 승암산의 절경을 배경에 두고 전주천 청정물결이 앞으로 흐르는 아름다운 자연환경 속에 자리한 전주자연생태관이 2008년 5월 22일에 개관하여 한옥마을과 더불어 새로운 관광명소로 부상되고 있다. 전주자연생태관은 부지면적이 1만 8,766㎡에 지하 1층, 지상 3층, 연면적 2,074㎡의 규모로 1 급수 청정한 수질에서 서식하는 쉬리를 형상화한 건축물을 신축하여 냉방과 난방을 지열시스템으로 가동하여 운영되고 있는 실천적인 친환경 건축물로도 주목을 받고 있다.
전주자연생태관에서는 자연생태 체험교실(eco-School)이 이용객들로부터 인기를 얻고 있다. 그동안 기후변화와 자연생태 분야의 차별화되고 깊이 있는 주제로 체험교실을 진행했다. 또, 타 지역 기관단체의 벤치마킹 지역으로도 손색이 없다. 전주자연생태관은 자연과 도시가 조화를 이루는 생태도시 전주를 만들어 나가도록 노력하고 있다.",,http://ecomuseum.jeonju.go.kr,전북특별자치도 전주시 완산구 바람쐬는길 21 (교동),"09:00~18:00(하절기(5~9월) 1시간연장)
※ 매표시간 : 마감 1시간 전까지 가능",매주 월요일(공휴일인 경우 다음날) / 1월 1일 /설·추석 당일,가능,,전주자연생태관이 새롭게 개장해서 위 사진과는 좀 바뀌었어요. 한옥마을 가까이에 있어서 아이랑 함께 들려도 좋을 것 같아요. 다양하게 볼거리가 많아서 역시. 좋은것 같아요 시간 가는줄 모르고 구경 열심히 하고 즐거운 시간을. 보냈어요,,"개인 - 성인 2,000원 / 청소년, 군인 1,000원 / 어린이 500원
단체 - 성인 1,500원 / 청소년, 군인 700원 / 어린이 300원
※ 성인(만 19세 이상), 청소년(중·고등학생 ,청소년증 소지자), 군인(신분증 또는 휴가증을 소지한 하사이하 군인), 어린이(만 7~13세 초등학생)
※ 무료관람 : 국가유공자와 유족, 장애인 복지카드소지자 및 동행 보호자 1인, 만 6세 이하 , 만 65세 이상, 전주시 다둥이 카드 소지자
※ 국가유공자와 유족 및 65세이상, 장애인, 학생은 이를 증명할 수 있는 신분증 제시",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전주공예품전시관,"가장 한국적인 도시 전주의 새로운 랜드마크 전주공예품전시관이다. 전주한옥마을에 위치한 전주공예품전시관은 전시관, 체험관, 판매관으로 구성되어 있다. 전북특별자치도 유형문화유산의 전통적인 작품부터 신진 작가/디자이너의 획기적인 공예작품까지 다양한 공예품을 만나 볼 수 있다. 또한 나만의 공예품을 직접 만들어 볼 수 있는 다양한 체험프로그램이 준비되어 있어 예향의 도시 전주다움을 몸소 느낄 수 있다.",,http://www.jeonjucraft.or.kr,전북특별자치도 전주시 완산구 태조로 15,10:00~18:00,매주 월요일 / 1월1일 / 설·추석 당일,불가능,장애인 화장실 있음(남여공용),"공예작품도 보고 체험도 해볼 수 있어서 재미있었어요! 한옥마을에 있어서 여행 동선에 추가하기도 좋아요 전시도 볼 수 있고, 체험실에서는 체험도 할 수 있어서 즐거운 시간이었습니다^^ 전주공예품전시관에 다녀왔습니다. 데이트 하기에 너무 예쁜 장소인것 같아요! 무엇보다 체험할수 있는체험관이 따로 있는게 너무 맘에 들었어요~ 데이트장소로 추천드려요! 아이들이 공예품의 아름다움을 깨닫게 되는 시간이었어요 더불어 저도 많은 걸 새롭게 알게 되었습니다.",,무료 (체험료 별도),출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음(2대)_무장애 편의시설,수유실 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,공예체험 가능(홈페이지 확인 요망)
서학동사진미술관,"전주 서학동 사진관은 진안에서 사진공동체박물관 ‘계남정미소’를 운영하던 사진가 김지연 씨가 서학동 골목 끝에 있는 한옥을 개조해 전시장과 카페 등으로 아기자기하게 꾸민 갤러리다. 서학동 일대는 전주에서 낙후된 지역에 속했으나, 2010년부터 예술인들이 하나둘씩 모여 살면서 아기자기한 예술촌으로 변신했다. 사진관은 주민들이 쉽게 드나들 수 있도록 문턱을 낮췄고, 삭막한 골목을 아름답게 바꾸는 데 앞장서고 있다. 사진관은 ‘디지털시대에 조금 늦게 가는 사진공간으로 관람객에게 다정다감하게 다가선다.’라는 대표의 철학으로 지역작가 전시전, 서울 류가헌 갤러리와의 교류전 등 각종 전시행사를 하고 있다. 한옥살림집을 고친 전시공간은 서까래의 아름다움을 그대로 살린 천장과 나무기둥 덕에 은은한 멋이 풍긴다. 사무실 공간은 세미나 공간이나 교류전 숙박시설로도 활용되고 카페에서는 작품사진 판매도 이루어진다. 유리창 너머로 보이는 조그만 마당은 그 자체로 예술이다. 전주천 위에 놓인 남천교만 건너면 바로 한옥마을이 나온다.",,https://www.instagram.com/seohakdong_gallery,전북특별자치도 전주시 완산구 서학로 16-17,10:30~18:00,매주 월요일,불가능,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전주 전통술박물관,"전주전통술박물관은 우리 선조들이 전해 내려온 다양한 전통주의 제조 과정부터 역사, 문화 등을 전시하고 있는 곳이다. 양화당에서는 예전 우리 민족이 술을 빚을 때 사용하였던 도구와 유물들이 전시되어 있으며, 전통 가양주 빚는 과정과 재료 처리 방법 등을 보여주고 있으며, 체험 프로그램으로는 우리 술 빚기 체험, 전통주 시음 ‘나도 소믈리에’ 체험, 대비모주 거르기를 진행하고 있으며 예약을 통해서 프로그램이 진행된다. 예약 없이 즐길 수 있는 체험으로는 토요 상설 체험인 ‘술잔애 취향저격’이 있다",,http://urisul.net,전북특별자치도 전주시 완산구 한지길 74 (풍남동3가),"[기관 운영시간]
- 화요일~일요일 10:00~18:00 (6월~10월은 20시까지 운영)
[수을갤러리 운영시간]
- 화요일~금요일 14:00~17:00
- 토요일~일요일 10:00~18:00",매주 월요일 / 1월 1일 / 설·추석 당일,불가능,장애인 화장실 있음,술빚는데 필욧안 도구들을 보며 술 만들어지는 과정을 알게되어. 좋았어요 조선시대의 술을 재현하고 보존 및 복원하는 가양주에 특화된 박물관으로 술빚는 전통 옛모습 그대로 재현한 것 같아 인상깊었습니다. ^^,,무료,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,나도 소믈리에 / 대비모주 거르기 / 내가 빚쥬
토옥동계곡,"북덕유산과 남덕유산 사이의 골짜기이다. 웅장하고 수려한 계곡으로 역사적으로 유서깊은 곳이며 경관이 수려한 유흥지로 고산식물의 채집 연구에도 빼놓을 수 없는 명승지이다. 주변에는 축탑 연대는 확실치 안으나 심상사라는 절에 세워졌던 5층 석탑으로 현재는 4층만 남아 있는 지방유형 문화재 양악탑과 의병대장 문태서, 박춘실 전적비, 정인승 선생 유허비가 있다. 토옥동 깊은 골짜기에서 흘러내려온 맑은 물에서 양식한 송어회를 맛보며 내려다보는 계곡의 비경은 과연 대자연의 선물이라 아니할 수 없이 아름답다.",,https://www.jangsu.go.kr/tour,전북특별자치도 장수군 계북면 양악리 1,,연중무휴,가능,있음,역대급으로 물이맑고 고무보트가져가서 워터슬라이드도 즐겼어요 다만 무료이다보니 쓰레기를버릴곳이없어 곳곳에쓰레기 있어서 좀아쉬웠어요 하지만너무 물맑고 그늘이많아 시원해서 좋았어요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이임간유허비,"이임간유허비의 유허비란 선현의 자취가 있는 곳을 추모하기 위하여 후세가 세운 비를 말한다. 장수이씨의 시조 이임간(1262~1327)의 호는 이헌, 본관은 장천으로 고려 충선왕 때 사람으로 당시 문하시중병장사를 역임하고, 장천부원군에 봉해졌다. 대학자 익재 이제현의 5촌 당숙이었고, 고려 말기의 무신 이을진의 증조할아버지이며, 이씨조선세종대왕 때 대마도와 왜구를 토벌한 이종무의 고조할아버지로 다른 이름은 이직간이다. 이임간은 고려조에 장천부원군(전라북도 장수의 옛 이름)에 봉작되었고, 그의 증손자 이종무의 훈공으로 손자 이을진 역시 장천부원군에 추증되어 습봉하였다. 이 비는 1987년 그의 후손들이 건립한 것으로 천천면 월곡리 국도변에 있다.
장수이씨의 시조 이임간은 이알평(경주이씨의 시조)의 51 세손이며, 그의 손자 이을진은 공민왕 때 정승을 지냈고 순충적덕보조공신에 책록 되어 장천부원군에 봉해졌다. 이로써 후손들은 장수(장천의 현 지명)를 본관으로 하여 세계를 이어왔다.",,https://www.jangsu.go.kr/tour,전북특별자치도 장수군 천천면 반월길 4,상시 개방,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원흥사(장수),"백제 무왕 때 창건한 팔성사의 일곱 암자 중의 하나이며, 고려 중기에 창건되어 조선 초기에 폐허화되었다고 한다. 절의 폐허 후에도 이곳에는 높이 4m, 둘레 3m의 거대한 미륵입상이 남아 있었다. 노천에 있던 이 불상은 1904년에 원흥 마을에 살았던 이 처사 부부가 현몽한 뒤 불당을 지어 봉안하였다. 그 뒤 부인은 출가하여 운선이라는 법명을 얻어 원흥사의 중건에 착수하였고, 딸 청신과 손자 김귀수가 그 뜻을 이어받아 현재의 원흥사를 이룩하였다. 원흥사의 문화재인 원흥석불입상은 몸에 비해 얼굴이 크고, 눈과 입은 작고, 코가 크며 귀는 길다. 목은 매우 짧고 양손을 가지런히 배에 대고 옷소매에 넣어 감추고 있다. 본래 머리 위에 관을 쓰고 있었다고 하나 지금은 존재하지 않는다. 이 불상은 크기와 비례, 조각수법 및 형태 등을 고려할 때 고려시대에 제작된 것으로 추정한다. 법당으로는 대웅전과, 산신각, 종각, 요사채 등이 있으며 유물로는 1984년 전라북도 문화유산자료로 지정된 높이는 4m의 원흥석불입상이 있다. 사찰 주변으로 어필각, 압계서원, 호룡보루 등 연계 방문할 만한 문화유적지가 위치해 있다.",,https://www.jangsu.go.kr/tour,전북특별자치도 장수군 산서면 원흥길 102-6,상시 개방,연중무휴,,있음,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
