,place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,review,화장실,지정현황,주차 요금,이용요금,접근로,출입통로,수유실,이용가능시설,장애인 주차 안내,엘리베이터,휠체어,유모차,시설이용료,수용인원,할인 정보,지체장애 기타 상세,주차요금,판매 품목,오디오 가이드,점자 홍보물,대중 교통,체험가능 연령,규모,시각장애 기타상세,관람석,주요시설,보유장비,대여안내,강습안내,부대시설,이용 시기,개장기간,유아용보조의자,객실,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,객실유형,점자 블록,안내 요원,코스안내,보조견 동반,입점브랜드,노래방 여부,예약안내 홈페이지,뷰티시설여부,유도안내 설비,영유아가족 기타상세,체험
0,정양레포츠공원,"정양레포츠공원은 합천의 황강 옆에 위치하여 경치가 매우 좋은 곳이다. 사계절 내내 다양한 매력을 지니고 있지만, 여름에는 황강 레포츠 축제와 옐로우 리버비치가 열리고 있다. 공원 내에는 오토캠핑장을 비롯해 가족 단위 방문객들을 위한 다양한 놀이시설과 휴게시설이 잘 갖추어져 있어 캠핑과 피서를 동시에 즐길 수 있는 장소다. 깨끗하게 정비된 산책로와 강변을 따라 가볍게 걷기에도 좋다. 황강의 아름다운 경치를 바라보며 가족 또는 연인, 친구와 함께 즐거운 시간을 보낼 수 있는 공간이다.",,http://www.hc.go.kr,경상남도 합천군 대양면 동부로 39-13,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,동림사(김해),"가락국(43~532) 김수로왕의 왕비인 허왕후의 오빠 장유화상이 창건한 김해 동림사는 수려한 경관을 가진 신어산에 있는 사찰이다. 장유화상이 신어산에 들어와 고향인 아유타국의 번영과 안녕을 기원하며 수행하던 사찰로 신어산 동쪽에 있어 동림사라고 전해지며, 신어산 서쪽에는 서림사(현 은하사)가 있다. 임진왜란 때 화재로 모두 소실되었으나, 1989년부터 13년에 걸쳐 화엄선사와 월주스님이 복원했다.",,,경상남도 김해시 신어산길 144 (삼방동),09:00~18:00,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,장유사(김해),"우리나라에 불교가 최초로 전래된 유서 깊은 사찰이다. 경내에는 우리나라 최초 불법을 전파했다고 전하는 장유화상의 사리탑이 있다. 사찰 내에는 사리탑이 있는데, 가락국(駕洛國) 수로왕(首露王)의 처남인 장유(長游:본명 허보옥)의 사리를 봉안하고 있는 석조팔각사리탑(石造八角舍利塔)이다. 석탑의 크기는 높이 241㎝로, 팔각기단 위에 팔각의 탑신(塔身)과 옥개석(屋蓋石)을 올렸다.
장유암 근처에는 해발 801m의 불모산 용지봉 준령에서 흘러내리는 장유대청계곡과 수려한 자연경관이 펼쳐져 장유암을 찾는 이들에게 세상사 시름을 모두 잊게 하기에 충분하다.",,http://www.gimhae.go.kr/tour.web,경상남도 김해시 대청계곡길 170-563 (대청동),07:00~19:30,연중무휴,가능,무료,거의 산 정상에 있고 앞이 탁 티여 산아래 풍경이 일품이에요. 절 입구 오른쪽에 거대한 금빛 부처상도 있어요. 꼬불꼬불 산길을 꽤 가야해요. 비올때 갔기때문에 산안개가 짙어서 먼 풍경을 못 봤지만 그래서 운무에 휩싸인 절이 더 신비로운 느낌이라 좋았습니다. 차로 가도 생각보다 가는길이 오래 걸리지만 가는길도 좋고 도착하면 속세를 벗어난 느낌을 줍니다. 게다가 장유 시내가 거의 다 보여 한번씩 가기에 좋습니다. 정말 좋아요 공기도 맑고 가끔 가족들과 가는데 마음도 편해지고 추천드립니다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,청와대 세트장,"청와대 세트장은 1992년 발간된 청와대 건설지의 내용과 사진을 발췌하여, 실물과 최대한 유사한 형태로 건립하였다. 실제 면적 보다 축소 건축하였으며 청와대를 배경으로 한 각종 드라마와 영화 촬영, 회의실, 체험 전시시설로 활용하고 있다. 청와대 세트장은 합천영상테마파크와 이웃해 있어, 관람객들에게 다양한 볼거리를 제공하는 시설 중 하나이다. 합천영상테마파크에서부터 청와대 세트장까지 연결된 모노레일을 타고 이동할 수 있다. 중간중간 멧돼지 동물 조형물이 눈에 띄어 아이들과 함께 둘러보기에도 좋다. 영화와 드라마를 즐기는 이들에게는 색다른 경험을 선사해 줄 것이다.",,https://hcmoviethemepark.com/,경상남도 합천군 용주면 합천호수로 757,"[하절기(3월~10월)]
- 09:00~18:00
[동절기(11월~2월)]
- 09:00~17:00
※ 자세한 사항은 전화문의 요망","매주 월요일 (단, 월요일이 공휴일일 경우 그 다음날 휴무)",가능,"[개인]
- 일반 5,000원
- 학생, 군인, 어린이 3,000원
- 65세 이상 2,000원
[단체(20인 이상)]
- 일반 3,000원
- 학생, 군인, 어린이 2,000원
- 65세 이상 1,500원
※ 자세한 사항은 전화문의 요망",청와대를 그대로 옮겨놓은듯한 세트장이더라구요.. 아이들 데리고 다녀왔는데 대통령 집무실에서 기념사진도 찍을 수 있어서 좋았어요.. 합천 영상테마파크갔다가 바로 위에 있어서 갔었는데 관리가 너무 잘 되어 있어서 기대이상으로 만족했던 곳입니다. 청와대 세트장에서 사진도 찍고 주변 산책도 하고 가족들과 함께 좋은 추억을 만들었네요~ 모노레일을 타고 가서내리면 멋진 전경과 넓은 잔디밭 군데군데 숨겨진 포토존 청와대 입구부터 볼거리 한가득입니다. 아이들과 함께 방문하거나 어르신들 모시고 가셔도 좋을것같습니다. 영상테마파크에서 모노레일을 타고 약 5~7분간 올라오면 청와대 세트장에 도착합니다. 개인적으로는 영상테마파크보다 더 맘에 들더군요. 내부도 청와대와 비슷하게 꾸며놓고 포토존도 많습니다. 꼭 구경해보시기 바랍니다.,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,김해 수로왕비릉,"김해 수로왕비릉은 금관가야의 시조 수로왕의 왕비인 허황옥의 무덤이다. 허황옥은 원래 인도 아유타국의 공주로 하늘의 명을 받아 16세에 배를 타고 바다를 건너와 수로왕의 아내가 되었다고 한다.
수로왕릉과는 다르게 평지가 아닌 언덕에 지어진 점이 특이하며, 근처에 굴식 돌방무덤 구조인 김해 구산동고분군이 위치해 있다. 무덤에 딸린 부속건물로는 숭보제, 외삼문, 내삼문, 홍살문이 있다.
왕비릉으로 들어가는 입구에는 정문인 구남문과 능 앞에 세우는 홍살문이 있다. 무덤으로 가는 오른편에는 제사를 준비하는 숭보재가 있으며, 왕비릉 앞에는 능비가 있다. 왕비릉 앞에는 인도에서 가져왔다고 전하는 파사석탑의 석재가 남아 있다. 이 파사석탑은 삼국유사에 따르면 배를 타고 가락국으로 건너올 때 파도를 잠재우기 위해 싣고 온 것이라 한다.
왕비릉은 높이 5m 정도의 원형 봉토무덤이다. 무덤 주위에는 얕은 돌담을 4각형으로 둘러 무덤을 보호하고 있으며, 앞 쪽에는 긴 돌을 사용하여 축대를 쌓았다. 중앙에는 비석이 세워져 있는데, ‘가락국수로왕비 보주태후허씨릉(駕洛國首露王妃 普州太后許氏陵)’이라는 글이 2줄로 새겨져 있다.
세종 28년(1446)에 수로왕릉과 함께 보호구역이 넓혀졌으며, 임진왜란 때 도굴되었다는 기록이 있다. 지금의 비석과 상석 등은 인조 25년(1647)에 다시 정비하면서 설치하였다고 한다.
왕릉에 비해서는 시설이 소박한 편이고 수로왕비릉이라고 오래전부터 전해져 왔으므로 수로왕릉과 비슷한 시기에 만들어졌다고 본다면 내부의 구조는 널무덤(토광묘) 또는 돌덧널무덤(석곽묘)일 가능성이 높다.
매년 봄가을 숭선전 제례 때 수로왕릉과 함께 제사가 거행되며, 매년 음력 9월 15일에는 김해문화원에서 주관하는 허황옥에게 차를 올리는 황후릉 헌공다례가 개최되고 있다.",,https://www.gimhae.go.kr/tour.web,경상남도 김해시 가락로190번길 1 (구산동),"[하절기]
- 3월 / 10월 08:00~19:00
- 4월~9월 08:00~20:00
[동절기(11월~2월)]
09:00~18:00",연중무휴,가능,,"오랜만에 방문이었는데 휴무일이 없어 갑작스러운 방문에도 헛걸음 하지 않아 좋았습니다. 주차하기도 편했고 선선해진 날씨에 평지에 가까운 길 들이라 천천히 산책하며 볼 수 있었습니다. 근처 국립김해박물관과 함께 방문하면 아이들 데리고 주말 학습체험으로도 좋습니다. 금관가야의 시조 김수로왕의 왕비인 허황옥의 묘 수로왕비릉과 구지봉공원은 바로 옆에 붙어 있어서 같이 구경하기에 좋았어요. 수로왕비릉 바로 앞에 무료 주차장도 마련되어 있고, 허황옥이 아유타국에서 올 때 함께 온 바다와 파도를 진정시켜 주었다는 파사석탑도 볼 수 있어서 더 좋았던 것 같아요. 평소 가고 싶어 했던 김해 수로왕릉. 넓은 평지에 잘 가꾸어놓은 수목이 있어 산책하기 좋았다. 날씨가 흐려 아쉬웠지만 걷기에는 나쁘지않았다. 수로왕릉을 가까이 보면서 역사공부도 할 수 있어 의미있는 시간을 보낼 수 있는게 장점이다. 또 가고싶다. 수로왕비 허왕후 먼곳에서 오면서 파사석탑을 싣고왔다는 안내문을 보면서 아직도 남이이슨 파사 석탑..보존되어짐이 대단하고 허왕후르미 있다는것도 대단하고 머물며 안내글 하나 하나 읽어보며 감탄 하는시간은 추위를 잊게한다",있음,사적 김해 수로왕비릉 (1963.01.21. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,합천 백암리 석등,"합천 백암리 석등이 세워져 있는 곳은 백암사 또는 대동사터라고 전하여 오나 분명하지 않으며, 이 석등도 무너져 흩어져 있던 것을 복원한 것으로 원래의 위치는 알 수 없다.
8장의 잎이 달린 연꽃을 조각한 둥근 아래받침돌 위에 아무런 새김이 없는 8각의 긴 가운데기둥을 세워 신라석등의 경쾌한 특징을 보이고 있다. 그 위로 꽃봉오리 같은 윗받침돌은 안에 얕은 홈을 파서 불을 밝히는 화사석을 고정시키는 역할을 하도록 하였다. 화사석은 8각으로, 4면은 창을 내고 4면은 사천왕입상을 매우 뛰어난 수법으로 도드라지게 새겼다. 화사석은 불을 밝혀두던 공간으로 불빛이 있던 옛모습을 떠올리면 흥미롭다.
지붕돌은 밑면에 1단의 받침이 있으며, 그 안쪽으로는 홈을 파서 화사석을 끼워 고정시키도록 되어 있다. 지붕돌의 경사면은 얇지만 뚜렷하게 각을 지어 신라시대의 전형을 이루고 있다. 귀퉁이에는 꽃조각이 있었으나 지금은 모두 깨어져 그 흔적만 남아있다. 꼭대기에는 8잎의 연꽃 문양조각만이 남아 있을 뿐이다.
아래받침돌과 윗받침돌을 화사하게 장식하였고, 특히 화사석을 고정시키기 위한 홈과 사천왕상의 배치 등은 주목되는 수법이다. 전체적인 양식으로 보아 통일신라 중기인 8세기 후반의 우수한 석등이라 할 수 있다.",,https://www.heritage.go.kr,경상남도 합천군 대양면 백암리 91,상시 개방,연중무휴,불가능,무료,외진곳에 있어 합천 방문시마다 놓친 곳이에요. 오늘 드디어 왔네요. 한적하고 햇살 따뜻한 곳에 있어요. 평화로워요.,,보물 합천 백암리 석등 (1963.01.21. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,김해민속박물관,"김해민속박물관은 김해문화원에서 전시 중인 민속유물을 옮겨와 2005년 10월 1일에 개관하였다. 통문화계승과 문화예술 진흥을 위해 김해문화원에서 수집·보존·전시하던 민속품 등을 이전·전시함으로써 보다 체계적인 관리를 통해 김해시민 및 김해시를 방문하는 관광객들에게 사라져 가는 우리의 민속 문화를 향유하고 우리 전통문화에 대한 이해와 소통을 간직하기 위해 개관하였다.
이곳은 김해 지역의 민속유물의 보존 관리 및 사라져 가는 민속의 재발견을 통해 생동감 있는 교육의 장으로 활용되고 있다. 김해민속박물관은 민속 및 농경에 관한 유물들을 전시하고 있으며, 전시 이외에도 전통놀이와 각종 체험행사 등 다양한 문화행사를 진행하고 있다.",,http://ghfolkmuseum.or.kr,경상남도 김해시 분성로261번길 35 (봉황동),09:00~18:00 (입장마감 17:00),"매주 월요일 (단, 월요일이 공휴일인 경우 그 다음 첫 번째 평일에 휴관) / 1월 1일 / 설·추석",가능,,"주차장은 평일에도 공간이 없을 정도로 차들이 많아 도로 노상 주차장을 이용했습니다.입장료와 주차료는 무료였고요, 매주 월요일이 휴무일이었습니다.전시실에서 지금은 보기 힘든 옛날 화폐부터 다양한 옛 생활 도구 등을 감상했고요, 농기구들과 도구들의 모습과 쓰임새도 잘 설명되어 있었습니다. 더운 날씨에 시원한 실내에서 김해의 역사와 민속 유물을 한눈에 볼 수 있어 유익했습니다. 김해박물관-수로왕릉-대성동고분군-김해한글박물관 등과 묶어 도보로 돌아보기 좋아요. 작지만 옛 물건들과 그림들 돌아보며 얘기 나누기 좋았어요. 코스에 넣어보세요. 아이와 함께, 부모님과 함께, 외국인 친구와 함께... 모두 추천해요.",,,무료,무료,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,"수유실 있음(본관 전시실 입구,가야누리 입구)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,우포출렁다리,"우포늪은 자연 습지인 우포, 사지포, 목포, 쪽지벌과 복원습지 산밖벌로 이루어져 있다. 이 중 산밖벌 습지와 함께 토평천 하류에 설치된 우포 출렁다리는 2016년 11월에 개통된 쪽지벌과 산밖벌을 이어주는 교량으로 우포늪의 새로운 명물로 자리 잡고 있다. 가을바람맞으며 탐방로를 거닐다 보면 산밖벌 끝머리 제방 쪽 토평천 하류에 설치된 우포 출렁다리가 나온다. 우포늪에는 둘레길이 잘 조성되어 있는데, 우포 출렁다리와 산밖벌까지 탐방하는 코스가 다양하게 구성되어 있다.",,,경상남도 창녕군 이방면 옥천리 756,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,김해탄소중립체험관,"김해탄소중립체험관은 기후변화의 심각성을 알리고 탄소 중립에 대한 인식을 높이기 위해 조성된 공간이다. 경남의 대표적인 기후변화 체험교육의 중심 공간으로, 기후변화에 의해 발생하고 있는 지구온난화 현상과 각종 환경문제를 보다 알기 쉽도록 하고, 또 우리가 어떻게 대처해야 하는지도 직접 체험할 수 있도록 만들었다.
체험관은 기후 위기의 원인과 상부터 탄소 중립의 이해와 실천 방법까지 다양한 체험 콘텐츠를 통해 모든 세대가 쉽게 접근할 수 있도록 구성되어 있다. 탄소 순환과 배출을 상징하는 미디어 큐브 영상, 기후재난 상황을 체험할 수 있는 쌍방향 실감 영상관 등 흥미로운 전시물을 감상할 수 있다. 또한 재미있고 유익한 체험프로그램, 전문적인 전시해설 등도 진행하고 있어 기후변화의 심각성과 탄소 중립의 중요성을 몸소 깨달을 수 있다.",,https://www.gimhae.go.kr/cce.web,경상남도 김해시 부곡로 33 (부곡동),10:00~17:00,매주 월요일 / 1월 1일 / 설·추석 연휴,가능,무료,체험존이 참잘되어있어요 가볍게 들를겸왔다가 볼게너무많고 체험거리도 많아서 다음에 한번 더 가려구요 기후변화와 탄소중립에 대해서 잘 알아볼수 있고 아이들과 함께 다양한 체험을 할 수 있어서 좋아요 가볍게 둘러보기 좋은 체험관입니다. 체험할것도 꽤나 있고 야외에 놀이시설 짚라인도 있어서 기대안하고 갔는데 꽤나 즐기고 왔습니다. 김해기후변화테마공원과 함께 묶어 다녀오시면 더 좋을듯요^^ 기후변화의 심각성과 탄소중립에 대한 인식을 아이들과 체험할수 있어서 뿌듯한 하루를 보내고 왔습니다.추천합니다.,,,,,,,,전시실 / 휴게공간 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"교육프로그램 / 해설프로그램 등
※ 자세한 사항은 홈페이지 참조"
9,우포늪생태관,"우포늪생태관은 우포늪의 조류와 어류를 포함한 동물과 식물 등을 연구하며, 우포늪의 다양한 생물을 대중에게 전시하는 장소이다. 또한 사람도 자연의 일부라는 사실을 알려주고, 자연환경과 함께 어떻게 살아가야 할지 알려주는 곳이다. 우포늪의 생태환경을 잘 이해할 수 있도록 다섯 개의 주제로 전시 공간을 나누어 '우포늪 생명길에 오르다'를 시작으로 '시간을 담다', '생명을 담다', '공존의 풍경', '문화를 담다'로 구성하고 있다. 각 전시실에는 현장감 있는 입체 모형과 다양한 영상을 볼 수 있고, 우포늪생태관에서 진행하는 체험프로그램에도 참가할 수 있다.",,https://www.cng.go.kr/,경상남도 창녕군 유어면 우포늪길 220,09:00~18:00 (입장 마감 17:00),"매주 월요일 (단, 월요일이 공휴일인 경우는 그 다음날) / 1월 1일",가능,,아이들과 함께 생태 체험하기 좋은곳 볼거리도 많아요~^^ 아이들과 함께 생태 체험하기 좋은곳 볼거리도 많아요~^^ 아이들과 생태에대한 이야기나 방대한 우포늪에 서생하는 동식물이야기 그리고 체험활동도 함께할수있으며 바로 나오면 우포늪산책도가능해서 아이랑 꼭 방문추천장소입니다. 아이들에게 정말 유익하고 다양한 볼거리가 있어요 정말 작은생물 곤충들도 많아서 아이들이 신기해해요 볼거리가 다양하고 퀴즈를 통해서 좀 더 알차게 볼 수 있었습니다. 우포늪 고즈넉하니 산책하기 참 좋았어요 자전거 타고 둘러봐도 좋고 가족들이랑 오손도손 얘기하고 걸어도 좋고 사진찍기에도 참 좋은 여행지입니다~ 누포늪에서 자라는 동 식물을 볼수 있어요. 일상에서 보기힘든 생물들을 볼수 있으며 철새들도 볼수 있어요. 우포늪의 대표새인 따오기를 잘 관찰할수 있어요. 천연의 모습 그대로인 우포늪의 생태를 잘 볼수 있는 곳이에요,장애인 화장실 있음,,,무료,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,수유실 있음,,장애인 주차장 있음_무장애 편의시설,엘리베이터 있음,대여가능,대여가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
