place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,입장료,접근로,review,주차 요금,이용요금,체험,출입통로,장애인 주차 안내,엘리베이터,수유실,판매 품목,이용가능시설,주차요금,지정현황,체험가능 연령,유모차,휠체어,지체장애 기타 상세,입점브랜드,규모,대중 교통,주요시설,할인 정보,수용인원,오디오 가이드,시각장애 기타상세,관람석,점자 홍보물,보조견 동반,보유장비,안내 요원,시설이용료,부대시설,점자 블록,이용 시기,강습안내,청각 장애 기타상세,코스안내,영유아가족 기타상세
사직단,"광주의 사직단은 광주 양림동 광주광역시립사직도서관 위쪽 사직공원에 있는 조선시대의 제단이다. 사직단은 신성한 장소로, 사()는 땅의 신, 직()은 곡식의 신을 가리킨다. 사직단은 땅의 신과 곡식의 신에게 제사를 올리며 나라의 안녕과 풍요를 기원하는 사직제를 지내는 공간이다. 사직단은 종묘와 함께 신성시되어 종사()라고도 했다. 사직단은 서울뿐 아니라 각 군현에도 있었으며, 기곡제, 기우제, 기청제, 기설제 등을 지냈다. 광주 사직단 크기는 서울 사직단 규모(2장 5척의 정사각형, 높이 3척)의 반 정도이다. 갑오년 이후 폐지되었으며, 한말에는 사직단을 군사 훈련장으로 사용하기도 했었다. 1971년 동물원이 들어서면서 그 자취가 없어졌는데, 1993년 광주시가 사직단을 복원, 1994년 광주 향우회 회장(최기영)에 의해 100년 만에 사직제가 부활되었다. 국토와 오곡은 민생의 근본이므로 삼국 시대부터 국태민안을 기원하는 사직단을 설치하여 친히 왕이 나가서 제사를 올렸다. 지방에서는 성주가 제주가 되었으므로 광주 목사가 매년 제사를 주관하였다.",,https://tour.gwangju.go.kr/,광주광역시 남구 사직길 49 (사동),상시 개방,연중무휴,불가능,장애인 화장실 있음(사직공원 공중화장실),무료,사직단까지 경사로가 설치되어 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5·18민주화운동 기록관,"5·18 민주화운동은 1980년 5월 18일부터 열흘간 전라남도 광주에서 촉발된 항쟁, 항거운동으로 대한민국을 지금의 민주주의 국가로 만든 역사적인 운동이다. 5·18 민주화운동 기록관은 5·18 민주화운동 기록유산을 체계적으로 수집하여 영구 보존하고, 5·18의 역사적 의미를 세계인들과 함께 공유하기 위해 1980년 5월 역사적 현장이었던 옛 광주가톨릭센터에 2015년 설립되었다. 광주 시민들의 노력으로 2011년 유네스코 세계기록 유산에 등재된 5·18 민주화운동의 기록들을 직접 관람할 수 있고, 정기해설, 온라인 전시관 등을 이용한 관람도 가능하다. 5·18 민주화운동 기록관은 대한민국 국민 모두의 역사를 간직한 곳이다.",,https://www.518archives.go.kr/,광주광역시 동구 금남로 221 (금남로3가),09:00~18:00,"매주 월요일 (단, 월요일이 공휴일일 경우 익일 휴무) / 1월 1일 / 설·추석 연휴 / 관장이 자료의 정리, 기록물·장서점검 및 보수공사 그 밖의 사유로 필요하다고 인정하는 날",가능 (금남주차장),장애인 화장실 있음,,출입구까지 경사로가 설치되어 있음,5.18 민주화운동이 기록이 아닌 현실인 세대인지라 더욱 가슴아픈 시간이었습니다. 부부동반으로 광주광역시 여행 중 방문한 곳입니다. 5·18민주화운동의 상세한 기록들이 보존되고 있었습니다.,"1시간 무료
※ 초과 비용 이용자 부담","무료
※ 특별·기획전시는 유료로 진행될 수 있음",가상현실(VR) 체험,주출입구는 경사로가 있어 휠체어 접근 가능함(수동문),장애인 주차장 있음_무장애 편의시설,엘리베이터 있음,수유실 있음(4층),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상무화훼단지,"상무화훼단지는 365일 활짝 피어있는 꽃들을 만날 수 있는 곳이다. 김대중컨벤션센터역 부근에 자리 잡아 교통이 편리하고, 꽃집 내에도 주차장을 갖추고 있어 주차 문제도 걱정 없는 곳이다. 화려하고 아름다운 꽃뿐만 아니라 다육식물, 나무 화분, 선인장 등 다양한 식물들을 갖추고 있고, 저렴한 가격에 구매가 가능해 많은 사람이 찾는다. 아름다운 꽃도 구경하고, 미세먼지 정화식물, 공기 정화식물, 선물용 화분, 이사 선물, 화환, 동양란, 서양란 등 필요한 종류를 직접 보고 구매할 수 있다. 다양한 화분, 마사토, 원예 재료들도 구입할 수 있다.",,,광주광역시 서구 마륵벽진길 23 (마륵동),상가별로 상이함,상가별로 상이함,가능,,,,,,,,,,,,화초 / 화분집 / 관엽식물 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부농수산물도매시장,"광주 서부농수산물도매시장은 2004년 4월 개장하여 일일 1,500t 규모의 농수산물을 거래할 수 있는 호남 최대의 도매시장이다. 광주광역시 제2순환 도로와 서광주 역이 근접한 교통 요충지에 자리 잡고 있으며 물류 집적화 단지 및 산업용재 유통센터 등과 인접해 있어 농수축산물과 공산품을 동시에 구입할 수 있는 원스톱 쇼핑이 가능하다. 특히 도매시장 내에 농수산물검사소를 24시간 운영하고 있으며, 도매시장에 반입된 농수산물을 수시로 검사하여 부적합 농수산물이 유통되지 않도록 사전에 차단하고 있어 소비자들이 안심하고 농수산물을 도매가격으로 구매할 수 있다.",,http://seobu-market.gwangju.go.kr/,광주광역시 서구 매월2로 16 (매월동),"중도매 09:00~19:00
※시간은 변동될 수 있음
※ 경매 시간은 품목별로 다름",매주 일요일 / 1월 1일 / 설·추석일부터 각 3일간,"가능 (1,130대 / 지상 842대, 지하 247대, 장애인 31대, 임산부 10대)",,,,,,,,,,,,채소 / 과일 / 수산물 / 잡곡류 / 특용작물류 / 농림가공 / 수산가공 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산동교친수공원,"광주광역시 북구 동림동 푸른 마을 옆에 있는 산동교 친수공원은 광주의 관문에 해당하는 곳으로, 구 산동교 주변 매립 폐기물 처리 후 고수부지 내 주민들의 여가 및 휴식공간을 제공하기 위해 조성했다. 310,000㎡ 부지에 4.6에 이르는 자전거도로와 유채꽃 단지, 코스모스길, 억새군락지, 체력단련장, 게이트볼장, 관목원, 자전거 교육장, 휴게시설로 구성되어 있다. 취사 및 야영은 금지하고 있다. 이곳은 봄이면 유채꽃이, 가을이면 코스모스와 억새가 시민들을 유혹하고, 여름에는 푸르른 잔디밭이 쉴 공간을 넉넉히 제공해 준다. 또한, 쭉 뻗은 영산강 자전거길이 바로 옆에 자리하고 있으며 자전거와 킥보드 대여점도 있다. 가족끼리 오손도손 모여 앉아 정성껏 준비해 온 음식을 먹고 자전거를 타거나 체력단련을 하며 도심 속 쉼표를 찍을 수 있는 소중한 공간이다.",,,광주광역시 북구 동림동 130-15,상시 개방,연중무휴,가능,있음,,출입구까지 턱이 없어 휠체어 접근 가능함,"사계절 멋있는 공원이에요. 아이들과 킥보드, 자전거, 런닝, 축구 다 할 수 가족친화형 공원입니다. 화장실만 좀 늘려주세요. 봄에는 유채꽃 가을에는 코스모스 가을 넘어갈 쯤 억새밭 어느 계절에 가나 사진 찍기 좋고 가볍게 바람쐬기도 좋아요 가을엔 코스코스와 갈대가 참 예쁜 곳. 자전거 타기에도 좋고 아이들과 산책하기도 좋은곳이에요",,,,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,유채꽃 단지 / 코스모스길 / 억새군락지 / 체력단련장 / 게이트볼장 / 관목원 / 자전거 교육장,무료,,,,,,,,,,,,,,,,,,,,,,,,,,
푸른길분수공원,푸른길 분수공원은 과거 광주에서 순천을 거쳐 부산으로 가던 경전선 철길이었다. 남도의 발이 되어 주었던 고마운 기찻길이었으나 도심 한복판을 지나다 보니 교통체증과 소음이 심각했다. 결국 경전선이 시외로 옮겨가면서 옛 철길은 환경운동가와 시민들이 적극적으로 나서 우리나라 최초의 폐선부지 공원으로 재탄생했다. 광주 시민들의 휴식처로 거듭난 공원에는 굴다리 옛터를 알리는 표지석을 비롯해 오랜 세월 제 자리를 지킨 초록빛 아름드리나무들이 기찻길이 품은 정다운 추억을 되살리게 한다. 공원 한쪽에는 건축가 승효상의 작품 푸른길의 문화쉼터도 자리한다. 녹슨 기찻길을 떠올리게 하는 내후성 강판으로 제작된 이 작품은 광주의 옛 모습을 담은 전시공간이자 쉼터로 사용된다.,,tour.gwangju.go.kr,광주광역시 동구 동명로67번길 22-44,상시 개방,연중무휴,가능,,무료,출입구까지 턱이 없어 휠체어 접근 가능함,,,,,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
취병조형유허비,"조선시대 문신 조형의 업적을 기리기 위해 건립한 유허비로 광산구 비아동에 위치한 조형어린이공원 내에 있다. 유허비는 선현의 자취를 기념하고자 세운 비를 말한다. 취병조형유허비는 조형의 6대손 조운한이 광주목사로 부임하여 선조인 조형(1606~1679)을 기리기 위하여 조형이 태어난 옛터에 1873년(고종 10)에 세운 비석이다. 비의 형식은 화강석 1매에 비의 지붕과 몸체를 함께 조성하였고 기단은 별개의 돌이다. 특징은 높이보다 너비가 긴 가로형태의 양식인 점이다. 즉 비의 총 높이 95, 너비 120, 두께 28이며 문기는 모두 346자로 음각문이다. 현재 유허비는 원래 있었던 곳에서 택지개발 때문에 북동쪽으로 50여 m 옮겨진 것이다. 한일관계사의 주요 자료 부상일기의 조형 선생 조형(16061679년)은 조선시대 현종 때의 문신으로 자는 군헌, 호는 취병이며 본관은 풍양이다. 1630년(인조 8년) 명경관에 급제하여 사국에 재임할 때 허목의 사건에 관련되어 부여에 귀양 갔다. 1655년 대사간 겸 통신상사로 일본에 갔다가 돌아와 병조참판, 경기도 관찰사, 도승지, 대사헌을 역임하였으나 1675년 장열대비의 복제문제로 인하여 경기도 양주에 추방되었다. 1665년에 조선통신사로 일본을 다녀와 부상일기()를 기록하였는데 이는 17세기 한일관계사의 중요 자료이다. 광주 출신으로서 여러 역사서에 기록된 인물도 흔치 않고, 또한 광주시 일원에는 학술적 가치를 가진비는 더욱 없으므로 이 비는 취병선생에 대한 연구와 지방사 연구, 금석학 관련 연구에 귀중한 자료가 될 것이다.",,https://www.heritage.go.kr/,광주광역시 광산구 비아안길 19,상시 개방,연중무휴,불가능,있음,,,,,,,,,,,,,,광주광역시 유형문화유산 취병조형유허비 (1990.11.15. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
월계동장고분,"월계동장고분은 영산강 상류의 낮은 구릉지대에 있는 삼국시대 고분이다. 이 무덤은 모양이 전통악기인 장고 또는 장구와 비슷하다고 하여 예로부터 장고분이라고 불러왔고, 근처 마을도 장구촌이라고 했다. 이 무덤은 2기로 이루어져 있는데 1992년 이 일대가 첨단과학산업단지로 조성되는 과정에서 학계의 주목을 받았다. 이후 1993년과 1995년에 전남대학교 박물관이 발굴 조사를 실시하여 무덤의 규모와 구조가 밝혀졌다. 1호분은 봉분의 길이가 44m이며, 주검을 안치한 석실은 원형의 분구에 있고, 그 남서쪽에 석실을 드나들 수 있는 통로가 있다. 발굴 당시에 석실의 천장은 무너져 내려앉은 상태였는데 1997년에 다른 고분을 참고하여 복원하였다. 분구는 깊이 1~2m 남짓한 방패모양의 도랑에 감싸여 있는데 이 도랑에서 많은 원통형 토기 조각들이 발견되었다. 2호분은 분구의 길이가 33m로 1호분과 비슷하다. 무덤의 구조와 형태, 출토유물이 일본의 전방후원분과 비슷한 점이 많아 고대 한일관계사를 밝히는데 귀중한 자료를 제공하고 있고 만든 시기는 5~6세기 것으로 추정된다.",,https://tour.gwangju.go.kr,광주광역시 광산구 월계로 155 (월계동),09:00~18:00,매주 월요일,가능,,,,,,,,,,,,,,,광주광역시 기념물 월계동장고분 (1994.02.18. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
신룡동오층석탑,"외딴 민가 옆에 우뚝 솟아있는 석탑으로, 현재는 절이 있었던 흔적을 찾아볼 수 없으나, 그 옆에 석불입상이 1구 있어 상당한 규모의 절이 있었을 것으로 여겨진다. 탑은 2층 기단() 위로 5층 탑신()을 올리고 머리장식을 얹은 모습이다. 기단은 각 면의 네 모서리와 가운데에 기둥모양을 새겼다. 탑신부의 몸돌은 2층에서 갑자기 높이가 낮아져 5층까지 알맞게 줄어들었으며, 지붕돌은 밑면의 받침이 13층은 4단씩이다가, 45층은 3단으로 줄었다. 꼭대기에는 돌의 재질이 다른 장식들이 놓여 있는데, 나중에 보충해 놓은 것으로 보인다. 전체적으로 형식에 치우친 모습이어서, 고려 전기에 만든 것으로 추정된다. 아래층 기단이 손상되고, 일부가 없어져 심하게 갈라진 위층 기단은 거의 무너질 정도였으나, 1981년 해체, 복원하였다. 탑 해체 시 발견되었던 유물들은 국립광주박물관으로 옮겨 보존하고 있다. (출처 국가유산청 홈페이지)",,https://www.heritage.go.kr/,광주광역시 광산구 신룡동 산 57-1,상시 개방,연중무휴,불가능,,무료,,,,,,,,,,,,,광주광역시 유형문화유산 신룡동오층석탑 (1982.10.15. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
칠송정,"조선시대 후기 정자인 칠송정은 함재 기효증(1551~1616)의 작은 정자이다. 아버지 고봉 기대승을 3년간 시묘살이 했던 곳으로 원래는 구들이 놓인 움막집 형태로 그의 만년에 지냈던 정자다. 광주읍지(1924)에는 주의 북쪽 50리 떨어진 너브실마을에 있다고 했다. 지금 정자는 원래에 위치에서 중건하면서 옮겨지었다. 광산구 임곡동 소재지에서 장성읍으로 향하다 보면 오른편에 광곡(너브실) 마을이 나온다. 이 마을 입구에는 고봉 기대승의 도학사상을 잇기 위한 고봉학술원이 있는데, 그 옆에 칠송정이 있다. 이 마을 안쪽에는 고봉을 배향한 월봉서원이 백우산 자락에 자리 잡고 있다. 정자 주변에 직접 일곱 주의 소나무를 뜰 앞에 심어 사계절 불변의 지조를 지닌 소나무의 절개를 본받았다는 뜻으로 정자의 이름을 칠송정이라 하였으나 지금은 일곱 그루의 소나무는 남아 있지 않다. 정자의 정면에 올려져 있는 칠송정() 현판의 글씨는 한말의 거유 석촌 윤용구(18531939)가 행서로 썼으며 이 당시에 중수 또는 보수를 했을 것으로 여겨지며 칠송정은 정면 3칸, 측면 2칸의 규모로 팔작지붕이며 방은 들이지 않은 누각형의 정자로 마루 위에는 현판 외에 두 개의 편액을 볼 수 있다. 후손으로 8 세손 기봉국의 호산승처필명정()의 편액이 있고 1905년(고종 42)에 10대 손 기동준이 쓴 칠송정중건기()의 기문이 있다. 고봉 기대승 고봉 기대승은 이황과 성리학을 문답하여 사단칠정에 관한 편지만도 8년을 계속해서 교환했으며, 뒤의 유학자들 중 이 문제를 언급하지 않은 사람들이 없을 정도로 성리학 연구의 기초를 마련했다. 나중에는 이황도 그의 이론을 많은 부분 받아들이게 되었고, 후학이긴 하지만 거의 동등한 관계를 유지했다고 한다.",,,광주광역시 광산구 광곡길 73,상시 개방,연중무휴,불가능,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
