place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,review,입장료,화장실,체험가능 연령,이용가능시설,이용요금,출입통로,장애인 주차 안내,휠체어,접근로,시설이용료,엘리베이터,유모차,관람석,주차요금,수유실,대중 교통,판매 품목,주요시설,시각장애 기타상세,규모,지체장애 기타 상세,입실시간,퇴실시간,객실수,예약안내 홈페이지,객실유형,부대시설,객실,점자 홍보물,주차 요금,수용인원,영업시간,이용 시기,청각 장애 기타상세,개장기간,보유장비,오디오 가이드,할인 정보,큰활자 홍보물,대여안내,매표소,보조견 동반,점자 블록,안내 요원,유도안내 설비,코스안내,예약안내,객실내 취사 여부,식음료장,사우나실 여부,홍보물,자막 비디오 가이드,강습안내,영유아가족 기타상세,체험
오계서원,"오계서원은 1570년(선조 3)에 이덕홍(李德弘)이 학문 연마와 심신수련을 위해 건립한 ｢오계정사｣의 후신이다. 1592년(선조 25) 임진왜란으로 인하여 소실(燒失)되었으나, 1595년(선조 28)에 쌍계(雙溪) 언덕으로 이건(移建) 하였고, 1636년(인조 14)에 홍수로 유실되는 등, 여러 차례 이건과 중건을 거쳤다. 사림의 공론으로 1665년(현종 6) 10월 2일에 도존사(道存祠)를 建立하고 이덕홍(李德弘)의 위패를 봉안한 후 1691년(숙종 17) 오계서원으로 승격되었다. 1699년과 1707년의 대홍수로 물길이 바뀌어 서원이 침수 피해가 있자 1711년(숙종 37)에 현재의 위치로 이건하였으며, 1724년(경종 4)에 그의 장자 이시(李蒔)를 배향하였다. 1871년(고종 8)에 훼철되었다가 1919년에 복향하였고 1978년에 道存祠를 재건하였다.",,https://www.heritage.go.kr/,경상북도 영주시 평은면 천본리 55-1,상시 개방,연중무휴,가능,경상북도 문화유산자료 오계서원 (2005.01.10. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영주 순흥 벽화 고분,"1985년 1월 문화재관리국과 대구대학교가 함께 발굴 조사한 이 벽화 고분은 사적으로 지정되어 있으며 학술적, 문화재적으로 매우 귀중한 자료이다. 이 고분의 축조연대는 고분의 현실(玄室) 남쪽 벽에 쓰인 기미중묘상인명(己未中墓像人名)이란 글씨를 통하여 대략 539년쯤으로 추정되고 있다. 내부구조는 연도가 마련된 석실분(石室墳)으로서 연도를 통해 들어가면 시신을 모신 현실이 있고, 이 현실의 동쪽으로 관을 올려놓았던 관대(棺臺)가 비교적 높게 마련되어 있으며, 아울러 규모가 작은 보조관대도 현실의 서북 모서리에 마련되어 있었다.

현실의 크기는 동서 약 3.5m, 남북 약 2m로 네 벽은 위로 갈수록 약간씩 각을 줄이고 천장은 두 장의 판판하고 큰 돌을 올려 완성하였다. 벽화는 천장을 제외한 내부의 모든 벽면과 관대의 측면까지 채색화(彩色畵)를 그렸고, 특히, 연도의 좌우 벽에 힘이 센 장사상(壯士像)을 그렸다. 특히, 연도 서쪽벽의 뱀을 손에 감고 있는 장사상은 이 무덤을 지켜주는 역할을 하고 있는 것으로 해석되고 있다. 이 고분은 벽화나 구조로 보아 고구려의 영향을 받아 축조된 고대신라의 고분벽화로 추정되며, 이 고분에 있는 벽화를 통해서 우리나라 삼국시대 회화는 물론 당시의 종교관, 내세관, 그리고 고구려와의 문화교섭 등을 이해하는 귀중한 자료임을 알 수 있다. 특히, 5세기까지 고구려의 영향력이 정치적, 문화적으로 이 지역에 침투했음을 잘 알려주는 유적으로, 현재 학자들의 새로운 연구대상이 되고 있다.",,http://www.yeongju.go.kr,경상북도 영주시 순흥면 소백로 2547-16,상시 개방,연중무휴,가능,사적 영주 순흥 벽화 고분 (1985.11.07. 지정),"닫혀있어 속상했어요 영주에서 부석사와 소수서원을 구경했으면 돌아오는길에 한 번쯤 들러볼만한 곳입니다. 삼국시대 고구려와 신라의 경계지로서 양 나라의 영향을 받아, 고구려 양식 벽화의 남부 영향권이 어디인지 알려주는 유서깊은 벽화 유적입니다.",무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상주 임란북천전적지,"상주 임란북천전적지는 임진왜란 당시 조선의 중앙군과 향군이 왜군의 주력부대와 회전하여 900여 명이 순국한 호국의 성지이다. 1592년 왜군이 부산에 상륙하자, 이를 막기 위해 조선의 중앙군 약 60여 명이 남하하였다. 이들과 상주 판관 권길, 박걸이 밤새워 소집한 장정 800여 명 등 900여 명이 17,000여 명의 왜병과 분전하여 전원이 순국한 곳이다. 그 애국정신을 기리기 위해 충렬사를 건립하였고 그 당시 순국한 윤섬, 권길, 김종무, 이경류, 박호, 김준신, 김일, 박걸, 무명 열사의 위패를 배향하였다.

원래 상주 지역에 이를 기록한 비속(사의비)만 남아 있던 것을 1990년에 사당과 전시관을 세우고 옛 상주관아 부속 건물들을 이건하여 공원화하였다. 상주동헌의 문루였던 태평루와 조정의 사신이 사용하던 객사 상산관, 조선시대 1577년(선조 10년)에 상주목사 정곤수가 상주읍성 남문 밖에 건립하고 연당이라 이름 지어 선비들의 휴식처나 글 짓는 곳으로 사용하던 관정 침천정이 있다. 매년 양력 6월 4일 제향 행사를 거행하여 그분들의 넋을 기리고, 후세들에게 역사의 산 교육장으로 활용된다.",,https://www.heritage.go.kr/,경상북도 상주시 경상대로 3123,09:00~18:00,연중무휴,가능,경상북도 기념물 상주 임란북천전적지 (1998.09.23. 지정),아이들과 역사에대해 공부할수있는 곳이라 추천합니다^^ 그냥 공원인줄알았는데 도심에 이런 역사적인 곳이 있어서 놀랐음.,무료,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상주 오작당,"상주 오작당은 조선시대 의병장 조정이 지은 가옥으로 원래는 40여 칸이었는데 1781년에 부분적으로 헐어내고 지금은 안채와 사랑채, 집안에 설치하는 사당인 가묘가 남아 있다. 상주 양진당에서 조금 떨어진 남쪽에 뒷산을 등지고 장천과 주변의 넓은 밀밭들을 향하고 있다.
대문을 들어서면 넓은 사랑마당의 왼쪽에 중간 문을 중심으로 좌우로 중문간채와 사랑채가 있는데, 앞면 7칸, 옆면은 2칸과 2칸이다. 사랑채 뒤로는 앞면 5칸, 옆면 2칸에 정지, 안방, 대청, 건넌방으로 구성된 안채가 있다. 안채 뒤편 좌측 담장 모서리에는 가묘가 있고, 맞은편 담장 밖에는 조목수 불천위 사당이 있다. 안채는 각 방이 앞뒤로 배치된 구조이고, 부엌 위에 각종 집안 물건을 보관할 수 있는 고방을 두었다. 네모기둥의 모서리를 깎아 둥글게 다듬은 기둥머리 위에 연꽃봉우리 조각재로 대들보를 받쳤다. 옛날 방식으로 만든 문과 창문 등 조선 중기 살림집의 특성을 잘 간직하고 있을 뿐만 아니라 양진당의 건축적 특징과도 유사한 점이 많아 그 가치가 높다.",,https://www.heritage.go.kr/,경상북도 상주시 낙동면 선상서로 1975,09:00~18:00,연중무휴,가능,경상북도 민속문화유산 상주 오작당 (1982.02.24. 지정),,무료,있음,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창석사당,"창석사당은 창석 이준의 위패를 봉안하고 있다. 1656년 창건됐다가 1771년(영조 41)에 월간사당과 함께 체화당이 있는 곳으로 옮겨 세워졌다. 창석사당과 월간사당은 같은 구조로 대문채는 정면 5칸 중 좌측에서부터 문간방, 대문간, 고방, 방, 부엌의 순으로 되어 있었으나, 대문간은 앞쪽을 토벽으로 막고 고방은 앞쪽을 개방하여 마루로 개조하였다. 사당은 장대석으로 기단을 쌓고 원형으로 다듬은 주초를 놓아서 원기둥을 세웠다. 지붕은 겹처마로 양측 면의 박공면에는 풍판을 달았다.
체화당은 이전의 셋째 아들 신규가 1632년(인조 10)에 지었으며, 이전이 살던 집이다. 건물로는 창덕사당과 이전을 모시는 월간사당 등이 있다. 여기서 체화는 형제가 우애롭게 지낸 것을 상징한다. 이전은 임진왜란 때의 의병장으로, 동생 이준이 백화산전투에서 병으로 죽어가고 있을 때 죽음을 무릅쓴 채 동생을 업고 전장을 빠져나와 생명을 건지게 했으며 이들 형제간의 우애를 그림으로 그린 형제급난도가 전해진다.",,https://www.heritage.go.kr,경상북도 상주시 청리면 가천3길 70,상시 개방,연중무휴,가능,경상북도 문화유산자료 창석사당 (1986.12.11. 지정),,무료,,,사당 / 방 / 마루 / 부엌 / 정자 / 연못,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영주향교,"1368년 현유의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위해 창건된 향교이다. 이후 군수들에 중수되었고 1597년에는 명나라 장수가 군사를 거느리고 영주를 지나 선현을 뵌 후, 향교 주변 지형지세를 극찬하였으나 오른쪽 산맥이 낮고 사람과 말이 다니는 오솔길이 있는 것이 결점이라 하여, 후에 오솔길을 막고 낮은 산목을 흙으로 쌓아 올렸다. 광복 후, 향교 경내에 영주여자중학교를 설립하여 향교 건물의 일부를 학교에서 사용했다. 현재는 향교 내에서 중고등학생을 대상으로 충효교실을 운영하고 있다.
현존하는 건물로는 6칸의 대성전, 6칸의 명륜당, 각 10칸의 동무와 서무 각 10칸의 동재와 서재, 존현당, 횡루, 전사청, 전곡청 등이 있다. 경상북도 문화재자료로 지정된 대성전에는 5성의 위패가, 동무·서무에는 송조 2현과 우리나라 18현의 위패가 봉안되어 있다.",,https://www.heritage.go.kr,경상북도 영주시 명륜길 76,09:00~18:00,매주 일요일 / 1월 1일 / 설·추석 당일,"가능
요금 (무료)",경상북도 유형문화유산 영주향교 대성전 (2012.10.22. 지정),,,있음,,대성전 / 명륜당 / 동무 / 서무 / 동재 / 서재 / 존현당 / 횡루 / 전사청 / 전곡청,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순흥향교,"순흥향교는 정확한 창건 시기는 미상이나, 고려 말기 혹은 조선 초기에 설립된 것으로 추정한다. 처음에 순흥부 북쪽 금성에 창건되었다가 1718년(숙종 44) 동쪽 위 야동으로 이건 하였고 이후 1750년(영조 26) 남쪽 석교리로, 1770년(영조 46)에 현재의 위치로 이건 하였으며, 1971년에 중수하고 1975년에 누각과 단청을 보수하였다.
본래 순흥향교는 조선시대 순흥 지역 유생들이 머물며 학문을 닦고, 공자를 비롯한 선현들의 위패를 모시고 향사를 지내는 제향의 공간이었다. 후에는 향촌 자치 기구로 활용하기도 하였으나 16세기 이후 향교 운영상의 어려움과 사회, 경제적 변화 속에 교육 기능은 약화하고 제향의 기능만 남았다.
현존하는 건물로는 7칸의 대성전, 6칸의 명륜당, 각 5칸의 동무와 서무, 4칸의 동재 7칸의 문루, 삼문, 협문, 주사 등이 있다. 대성전에는 5성, 10 철의 위패가 동무·서무에는 송조 6현과 우리나라 18현의 위패를 봉안하고 있다. 이 밖에도 조선 후기 향교 운영 과정에서 작성된 집사안, 면분류원임안, 교중잡록 등의 자료가 소장되어 있다.",,https://www.heritage.go.kr/,경상북도 영주시 순흥면 청구길 15-36,09:00~18:00,매주 일요일 / 1월 1일 / 설·추석 당일,"가능
요금 (무료)",경상북도 문화유산자료 순흥향교 (1998.04.13. 지정),소수서원과 가깝습니다. 금성대군 신단부터 들렀다가 순흥향교를 방문하면 이 고장의 한 때 슬프고 아픈 역사를 알 수 있습니다.,무료,있음,,대성전 / 명륜당 / 동무 / 서무 / 동재 / 문루 / 삼문 / 협문 / 주사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한티별빛아래오토캠핑장,"팔공산 자락에 위치한 한티별빛아래 오토캠핑장은 탁 트인 전망을 자랑하는 산 위에 조성된 곳으로 계단으로 이어지는 4개 구역에 42개의 사이트가 있다. 이 밖에도 관리동과 카페, 매점, 영화 상영시설을 갖추고 있다. 자녀를 동반한 가족단위 방문객을 위해 넓은 운동장과 텃밭, 놀이터가 있고 여름에는 물놀이장을 운영한다.",,http://cafe.daum.net/hantistar-camp,경상북도 칠곡군 가산면 팔공길 48-30,"- 입실 13:00
- 퇴실 12:00",연중무휴,가능,,,,있음,,,"사이트 50,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전사벌왕릉,"전사벌왕릉(傳沙伐王陵)은 경상북도 상주시 사벌국면 화달리에 있는 무덤이다. 상주 화달리 삼층석탑(보물) 동북쪽에 있으며, 왕릉이라고 전해지지만 정사에 기록이 없어 누구의 묘인지 정확히 알 수는 없다. 〈신증동국여지승람〉과 〈상주군읍지〉에 의해 신라 54대 경명왕의 다섯 번째 왕자 박언창의 묘로 추정한다. 박언창은 사벌주의 대군으로 책봉되었으나 후에 이곳을 사벌국이라 칭하고 자립왕으로서 11년간 다스리다가 견훤의 침공으로 패망하고 이곳에 묻혔다고 전해진다.
삼층석탑 옆에 왕릉에 속한 신도비가 세워져 있으며 석탑의 서북 편에는 상산 박씨 문중에서 건립한 재실이 있다. 현재 능 앞에 세워져 있는 석물들은 오래된 것이 아니며 신도비는 1954년에 세워진 것이다. 상주시가 1981년 12월 능역을 확장하고 왕릉, 영사각 등 주변을 보수하고 정화하였다.",,https://www.heritage.go.kr/,경상북도 상주시 사벌국면 화달리 산45,상시 개방,연중무휴,가능,경상북도 기념물 전사벌왕릉 (1977.12.29. 지정),,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상주 옥동서원,"옥동서원은 황희의 학문과 덕행을 추모하기 위해서 1518년에 창건된 서원으로 원래는 백화서당이었다. 이후 1580년에 백옥동에 영당을 새로이 건립하여 황희의 신주를 모시고 봄, 가을로 향사를 지내왔으며 1714년에 서원으로 승격이 되면서 현재의 위치로 옮겨 지었다. 이때 전식(1563~1642)을 추배하였으며 1786년에는 황효헌(1491~1532)과 황뉴(1578~1626)를 추가로 배향하였다.
1715년에는 경덕사와 강당을 지었고 1789년에 조정으로부터 옥동서원이라는 사액을 받고 현재에 이르고 있다. 1868년 흥선대원군의 서원철폐령때에도 훼철되지 않고 살아남은 전국 47개 서원중 하나로 특히 황희를 모신 서원 중에 훼손되지 않고 원래의 모습을 잘 보존하고 있는 서원으로는 이곳이 유일하다. 현재 옥동서원에서는 황희의 영정 3점과 방촌선생문집, 반간집, 황씨세보, 장계이고, 만오집 등 총 5종 241책의 책판을 비롯하여 각종 고문서 300여건과 현판 11개 등의 많은 기록유산을 보유하고 있다.
1984년 12월 19일 경상북도 기념물 제52호로 지정되었다가 2015년 11월 10일 대한민국 사적 제532 호로 승격되어 재지정 되었으며 문화재청에서 시행하는 ‘지역 문화재 활용사업, 향교, 서원 문화재 활용’으로 아이들과 성인들을 대상으로 다양한 프로그램을 진행하고 있다.",,https://www.ocdong.co.kr/,경상북도 상주시 모동면 수봉2길 29,"주말 09:00~17:00
※ 평일 방문 시 전화예약",매주 평일,"가능 (약 대형 15대)
요금 (무료)",사적 상주 옥동서원 (2015.11.10. 지정),,무료,있음,6세 이상,청월루 / 대청 / 온휘당 / 전사청,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,향사 체험 / 유불생 융합 트래킹 체험 / 황희정승 이야기 (인형극 만들기) 등
