place,info,문의 및 안내,주소,이용시간,휴일,주차,입장료,review,홈페이지,이용요금,화장실,이용가능시설,시설이용료,체험가능 연령,판매 품목,입점브랜드,주차 요금,지정현황,접근로,출입통로,보조견 동반,규모,주차요금,영업시간,대표메뉴,취급메뉴,부대시설,주요시설,이용 시기,휠체어,체험,할인 정보,장애인 주차 안내,엘리베이터,유모차,점자 블록,점자 홍보물,보유장비,대여안내,코스안내,안내 요원,수유실,지체장애 기타 상세,수용인원,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,바비큐장여부,세미나실 여부,객실,뷰티시설여부,노래방 여부,사우나실 여부,대중 교통,관람석,오디오 가이드,매표소,강습안내,수화 안내,시각장애 기타상세,자전거 대여 여부,휘트니스 센터 여부,공용 샤워실 여부,공용 PC실 여부,스포츠 시설 여부,개장기간,영유아가족 기타상세
하모체육공원,"서귀포시 대정읍에 위치한 하모체육공원은 2008년에 준공되었고, 인라인스케이트장, 야외운동기구 시설, 농구장, 테니스장, 육상트랙, 지압보도가 있어 여러 운동을 한 곳에서 즐길 수 있을 뿐만 아니라 뜨거운 햇살을 피해 쉴 수 있는 나무 그늘과 아이들이 뛰어놀 수 있는 놀이터도 함께 갖추고 있다. 이곳은 야간조명이 설치되어 있어 야외무대도 이용 가능하여 서귀포관악단 읍면 순회 음악회, 공동체놀이 및 이벤트, 체험 등을 개최하는 장소로 이용되고 있다. 하모체육공원은 제주 올레 10코스와 올레 11코스의 분기점이기 때문에 체육공원 좌측의 사거리에는 제11코스 출발지임을 알리는 올레길 안내표지석이 있고, 그 좌측 옆으로 제주올레 안내소와 기념스탬프함이 있다.",064-760-4016,제주특별자치도 서귀포시 대정읍 하모리 2139-3,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서귀포홍리실내수영장,"제주도 서귀포홍리실내수영장은 2020년에 개장한 서귀포시 대표 수영전문교육기관이다. 친환경해수풀의 첨단 수질관리 여과시스템을 도입하고, 수영장 내 데크 난방 설치와 30도 이상 물온도를 유지하여 사계절 따뜻하게 수영을 즐길 수 있다. 1층 언덕에 있어서 통창으로 서귀포를 내려다보는 뷰가 아주 멋지다. 정규메인풀 25m x 6 레인(수심 105~115cm), 안전수심풀 15m x 3 레인(수심 80cm)의 총 9개 레인에서 성인, 어린이, 유아수영강습을 전문적으로 운영하고 있다. 서귀포홍리실내수영장은 선수 출신의 전문지도자로부터 개인 수준에 따라 단계별 (초·증·상급) 성인수영강습과 맞춤형 어린이수영강습, 유아수영강습, SST선수부, 개인강습 등이 구성되어 있다. 또한, 부모님들을 위한 전용 관람석과 대형 모니터가 로비에 설치되어 있어 실시간 교육과정을 모니터링할 수 있다.",064-732-5248,제주특별자치도 서귀포시 지장샘로182번길 149 (동홍동),"[토요일 / 일요일] 09:00~18:00
[화요일~금요일] 06:00~21:00",월요일 / 법정공휴일,가능,,,"http://www.hongri-swimschool.com
https://www.instagram.com/hongri.since2014","- 주중 / 주말반 : 성인수영(주2회강습 120,000원
- 주중반 : 성인수영(주4회강습) 180,000원
- 주중반 : 어린이수영(주2회강습) 120,000원
- 주말반 : 어린이수영(토요일 / 일요일) 120,000원
- 주중/주말반 : 유아수영(주2회강습) 250,000원
- 개인강습 : 변동",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서광카트체험장,"서귀포 안덕면에 위치한 서광카트체험장은 제주신화월드, 소인국테마파크, 이상한나라 엘리스, 카멜리아힐 등의 가는 길에 위치해 있다. 화려한 인테리어와 큰 규모가 아니기 때문에 아이와 함께 이용하기 적당하다. 초등학생의 경우 혼자 탑승이 가능하고 유아는 2인승으로 보호자와 함께 탑승을 할 수 있다. 짜릿한 쾌속질주의 카트체험이 끝났다면 남녀노소 어린아이부터 성인까지 누구나 스트레스를 풀 수 있는 사격체험장도 있어서 안덕면에 있는 여러 관광지를 아이와 함께 방문할 계획이 있다면 서광카트체험장을 들러 보는 것을 추천한다.",064-792-6660,제주특별자치도 서귀포시 안덕면 서광리 771,09:00~18:00,연중무휴,가능,,,,"- 1인승 15,000원
- 2인승 25,000원
- 1인승/사격 30,000원
- 2인승/사격 40,000원",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감귤카트,"중문단지 내에 있어서 중문에 숙박한다면 접근성이 좋은 카트레이싱 시설로 상큼한 감귤모양의 헬맷을 쓰고 달리며 짜릿한 속도감을 느낄 수 있는 체험장이다. 2023년 5월부로 얼라이브카트에서 감귤카트로 브랜드를 변경하여 새롭게 단장했다. 새롭게 단장된 시설과 안전함, 제주의 아름다운 자연 속에서 쌓인 스트레스를 한방에 날려버린다. 직접 카트를 몰아보면 속도감에 놀라 가속페달을 감히 밟지는 못한다. 감귤카트는 박물관이 살아있다, 런닝맨 체험관과 같은 건물에 있어서 아이들 체험 위치로는 아주 좋다. 카트는 최신형과 오래된 것들이 함께 섞여 있고, 트랙이 넓지는 않아서 여러 번 돌 수 있다. 가족, 연인, 친구, 단체 누구나 체험 가능한 안전한 레저스포츠를 제공하기 위해 안전사고를 대비해 매우 엄격하게 규율을 지키도록 주의 사항들을 안내하고 있다. 카트가 낮고 바람이 많이 불어서 바지착용은 필수이고, 개인 소지품은 모두 입구에 있는 보관함에 놓고 카트를 타야 한다. 감귤카트 포토존에서 귀여운 주황색 감귤헬맷을 쓰고 기념사진을 찍을 수 있다. 또한 감귤카트 코스는 카트뿐만 아니라 주위의 둘레길을 걸으며 조형물과 함께 사진을 찍거나 다이노 전망대에 올라 감귤카트 전경을 감상할 수 있다. 차량 주행시 코스 서킷 내에서의 사진 촬영은 절대 금지하며, 태풍, 강풍, 장마 등 기상악화로 현장 운영이 불가할 수 있으므로 미리 문의하고 방문하면 된다.",064-805-0992,제주특별자치도 서귀포시 중문관광로 42 (색달동),"[하절기(3월~10월)]
09:00~18:30 (입장 마감 18:00)
[동절기(11월~2월)]
09:00~18:00 (입장 마감 17:30)",연중무휴,가능,,"다른곳은 카트가 낡았다고해서 감귤카트로 갔는데, 카트도 헬맷도 깨끗하고 오래타서 아이가 좋아했어요 중문단지가 근처라 가까워서 좋고 궁금했던 카트 체험을 할 수 있는게 좋더라구요 특히 아이들이 엄청 좋아해요 범퍼카나 장난감 자동차랑은 또다른 느낌",http://www.alivekart.co.kr,"[1인승]
- 어른, 청소년, 어린이 25,000원
- 경로 17,500원
[2인승 추가요금]
- 어른 10,000원
- 어린이 8,000원
※ 자세한 사항은 홈페이지 참조",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우리승마장,"성읍민속마을 근처에 위치한 우리승마장은 잘 훈련된 말 위에서 제주의 아름다운 풍경을 만끽하며 일상의 스트레스를 한 번에 날릴 수 있는 이색 승마체험장이다. 이곳의 말들은 성품이 온순하여 초보자는 물론, 아이도 안전하게 승마를 즐길 수 있다. 승마장 주변 드넓게 조성된 예쁜 꽃밭에서 개성 넘치는 포즈를 취하며 생생한 추억을 남길 수 있다. 특히 아이들에게 동물은 호기심과 즐거움의 대상이고, 생명에 대한 존중, 호기심을 기르기에 동물과 직접 교감하는 것 만한 경험은 없을 것이다. 승마체험에 어울리는 카우보이모자, 장화 대여가 가능하고, 안전상의 문제로 핸드폰을 소지한 채로 승마체험은 할 수 없으며 사진도 정해진 자리에서만 찍어야 한다. 또한 양산이나 우산도 사용금지이다. 성읍마을 주변 방문 시 아이와 함께 짧게 즐기기에 좋고 승마체험이 끝난 후에는 말에게 당근 먹이 주기 체험도 가능하다. 무엇보다도 이곳의 경쟁력은 저렴하게 짧은 코스의 승마체험이 가능하다는 점이다. 따라서 성읍민속마을뿐만 아니라 표선해수욕장, 제주민속촌, 허브동산 등 성산 쪽 여러 관광지를 둘러보는 코스에 포함시켜 방문하길 추천한다.",064-787-4831,제주특별자치도 서귀포시 성산읍 중산간동로 4517,"09:00~16:30
※ 계절별 운영시간 상이하므로 전화문의 요망",연중무휴,가능,,,,"11,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주아리온승마장,"아리온승마장은 시원한 바람을 맞으며 사유지 오름을 거닐며 하는 승마체험은 물론이고, 아이들도 승마체험을 할 수 있다. 또한 먹이체험을 통해 말과 교감할 수 있는 시간도 가질 수 있다. 이곳은 승마레슨도 정기적으로 하고 있고 포니클럽을 운영하고 있으며 전체적으로 시설이 깨끗하고 잘 관리되고 있다. 2023년 서귀포시 학생승마체험 위탁승마시설 4개소 중 한 곳으로 선정된 곳으로 제주 시민건강 힐링 승마장이기도 하다. 보호자 없이 오름체험을 하는 어린이들의 사진은 동행한 직원이 고객의 핸드폰을 가지고 간단히 찍어 준다. 5살 이상 체험이 가능하며 승마장과 5분 거리에는 오설록뮤지엄, 신화월드, 소인국테마파크, 헬로키티아일랜드 등 유명관광지가 인접해 있어 서귀포 관광 시 승마체험장소로 인기가 있다.",0507-1497-2016,제주특별자치도 서귀포시 안덕면 신화역사로403번길 79,09:30~17:00 (준비 시간 12:00~13:30),매주 월요일,가능,,아리온승마장 제주 서귀포시에 있어요 은 승마레슨도 정기적으로 하고 있고 포니클럽을 운영하고 있으며 전체적으로 시설이 깨끗하고 잘 관리되고 있어서 더욱 추천하는 곳입니다,https://www.instagram.com/jeju_arion,"- 오름코스 체험 25,000원
- 포니체험 25,000원
- 먹이체험 5,000원
- 미니멀 포니레슨 50,000원
- 포니레슨, 부모님과 함께 100,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서귀포예술의전당,"서귀포예술의전당은 지역 문화예술 진흥에 기여하고 시민의 문화예술향유 기회 확대와 공연활동의 지원을 위하여 2014년 6월 개관하여 운영되고 있다. 서귀포시 서홍동 삼매봉원공원 일대부지에 오름 분화구를 모티브로 움푹 파인 디자인과 한라산을 배경으로 제주바람 속에 피어난 문화와 예술의 오름이란 테마로 디자인되었다. 서귀포 예술의 전당은 국비와 지방비로 건축된 서귀포시 최초의 복합문화공간이자 서귀포 유일의 종합문예회관으로 대극장, 소극장, 전시실, 세미나실, 강의실, 연습실 등을 갖추고 있다. 서귀포예술의전당 옆에는 국내 최초의 시립 미술관인 기당미술관이 있어서 함께 방문할 만하다. 가장 제주스러운 작품을 만나는 소박한 미술관으로 미술관 주변 공터나 서귀포예술의전당 뒤편 주차장에 주차를 하고 편리하게 이용할 수 있다.",064-760-3341,제주특별자치도 서귀포시 태평로 270 (서홍동),※ 공연마다 상이하므로 전화문의 요망,1월 1일 / 설·추석,가능,,우연찮게 들어오게된 서귀포 예술의전당에서 무료공연이 있어 관람하였습니다. 예술의전당에서 한라산정상이 정면으로 보입니다. 뷰가 진짜 멋집니다,http://culture.seogwipo.go.kr/artcenter,※ 공연마다 상이하므로 전화문의 요망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주아리랑 혼,"제주아리랑 공연장은 마샬아트 혼의 무대를 경험할 수 있는 세계 유일의 태권마샬아트 전용극장이다. 절도 있는 태권도 공연단과 부드러운 한국무용단의 아름다움으로 승화된 화려한 동작의 액션을 바탕으로 재미와 로맨스의 스토리를 더해 아름답고 절로 흥이 나는 특별한 무대를 제공한다. 전통문화의 멋을 느낄 수 있는 타악과 아름다운 곡선의 한국무용, 어둠 속에서 화려하게 펼쳐지는 색다른 경험의 LED퍼포먼스, 그리고 객석을 오가며 관객과 함께하는 박진감 넘치는 태권마샬아트 공연으로 구성되어 있다. 제주도의 전설과 기운을 담은 태권마샬아트 공연 관람을 보기 위해 아이가 있는 가족여행객들과 단체관광객들이 많이 방문한다. 공연이 끝나고 무대가 정리된 뒤에는 배우들과 함께 기념사진 촬영 이벤트도 준비되어 있다.",064-787-2258,제주특별자치도 서귀포시 표선면 번영로 2564-21 제주아리랑,"09:30~15:30 (준비 시간 12:00~13:00)
※ 매일 3회 공연 09:40 / 11:00 / 14:30",연중무휴,가능,,"태권도와 무용의 조화가 인상깊었습니다. 제법이야기도 담겨있고, 우리나라 태권도라 자부심 갖고 관람했어요. 젊음 넘치는 공연이였습니다.",https://www.visitjeju.net/kr/,"- 성인 25,000원
- 청소년 20,000원
- 소인 18,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하트나무,"하트나무는 제주도 남단 표선에 위치한 소노캄 제주 리조트 안에 있다. 리조트 정원 안의 수영장 근처에 하트나무가 있고 나무들이 만들어내는 하트를 배경으로 사진을 찍는 포토존이다. 사진을 찍을 때 최대한 자세를 낮추어 아래에서 윗 방향으로 찍어야 나무들이 만드는 하트 모양을 제대로 담아낼 수 있다. 소노캄 제주에는 하트나무 포토존 이외에 다양한 포토존이 있고 정원도 잘 가꾸어져 산책하기에도 좋다. 정원에서 한라산의 화려한 경관과 바다풍경도 볼 수 있고 해돋이, 해넘이의 장관도 볼 수 있다. 또한 여름철에는 황화코스모스가 가득한 정원도 볼 수 있으니 시기가 맞는다면 함께 즐길 수 있다. 소노캄 제주는 제주 올레길 4코스 길목에 있으니 올레길 종주길에 들러보는 것도 좋겠다.",소노캄 제주 02-1588-4888,제주특별자치도 서귀포시 표선면 일주동로 6347-17,상시 개방,연중무휴,가능,무료,하트나무에서 와이프랑 같이 사진찍었는데 완전 인생샷이에요,https://www.sonohotelsresorts.com/,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효명사,"효명사는 서귀포시 남원읍에 위치한 울창한 숲 속에 아담한 집처럼 보이는 소박한 법당이다. 산신각을 통과하면 보이는 효명사는 여느 절과 달리 조그마한 건물 서너 채만 있어서 생경한 느낌을 준다. 법당 입구에서 극락, 천국, 이끼문이라고 적힌 이정표를 발견할 수 있는데 모두 한 곳이다. 조금 내려가다 보면 돌계단이 보이고 이끼로 뒤덮인 자그마한 아치형의 돌문이 하나 보이는데 이것이 바로 사람들에게 효명사를 알리게 해 준 천국의 문이다. 이 문을 지나면 아직은 때묻지 않은 제주 자연 그대로의 계곡을 만날 수 있고 바로 근처에 별이폭포와 이끼폭포가 있으며 곳곳에 각자의 소원들을 빌며 쌓은 작은 돌탑들도 볼 수 있다. 근처의 산책로는 이끼들로 뒤덮혀있어 바닥과 돌들로 인해 미끄럽기 때문에 조심해서 걸어야 한다. 주변에 있는 선덕사, 선돌, 원앙폭포도 함께 서귀포 여행 일정에 포함시켜 방문하는 것을 추천한다.",064-733-4950,제주특별자치도 서귀포시 516로 815-41 효명사,상시 개방,연중무휴,가능,무료,천국의 문으로 유명해요. 반신반의하고 갔는데 사진에 나온것보다 더 신비로운 느낌이에요. 온통 이끼로 쌓여있어서 사진은 잘 나오는데 미끄러워요. 절대 뛰면 안됩니다. 겨울의 왕국에 왕과 왕비가 스톤마을에 찾아가는데 정말 그 만화속에 제가 들어와있는 느낌. 천국의 문을 지나면 돌 나무가 이끼로 가득찬 신비한 곳.,https://www.visitjeju.net/kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
