place,info,태그
강진 갯들소리마을,육지와 바다가 주는 풍요로움을 노래하는 마을,강진가볼만한곳 관광지 농촌 농촌마을 시골여행 자연풍경 체험 혼자가도좋은  
울산 옹기박물관,옛 조상의 지혜와 슬기를 엿볼 수 있는 곳,문화시설 미세먼지_피하는_실내여행 상설전시 아이와함께 열린문화공간     
효사정,서울의 경치를 한눈에 조망할 수 있는 곳,관광지 역사 역사공부 역사관광지 역사를품은곳 역사속 역사속으로      
보천사(구미),낙동강변을 내려다 보는 신라 고사찰,관광지 구미가볼만한곳 불교 역사 자연풍경 전통사찰 종교 한국불교  
사육신공원,충심과 절개를 배우는 공원,가족여행 관광지 교과서속여행 노량진산책코스 당일치기여행 동작구공원              
상주 양진당,남방식과 북방식의 특징을 모두 갖춘 조선중기 가옥,경상권 관광지 보물 상주양진당 양진당 역사 역사공부 역사관광지       
정양레포츠공원,시원스레 흐르는 황강의 경치가 아름다운 공원,가족과함께 경치좋은곳 관광지 남녀노소 산책하기좋은 여름피서지 연인과함께    
백용성조사유허비,"한국불교의 큰 별, 백용성 조사 탄생지에 있는 유허비",관광지 백용성생가 비석 역사 유허비 장수 장수여행
동림사(김해),장유화상이 신어산에 세운 천년고찰,경상권 관광지 동림사 불교 불교문화 사찰 신어산동림사 역사 자연         
부산영화체험박물관,"영화의 모든 것을 보고, 느끼고, 즐기는 놀이공간",경상권 관광지 문화콘텐츠 박물관 복합문화공간 부산가볼만한곳 부산영화체험박물관         
수열비,해주 오씨 부인의 절개를 기리는 비,관광지 문화재자료 비석 역사 역사공부 역사관광지 역사를품은곳          
장유사(김해),우리나라 불교가 최초로 전래된 사찰,관광지 불교 불교문화 불교사찰 사찰 사찰여행 역사 자연속으로       
마리오아울렛,아시아 최대 규모의 프리미엄 아웃렛,마리오아울렛 서울가볼만한곳 쇼핑 쇼핑센터 수도권 연인과함께 친구와함께
청와대 세트장,색다른 즐거움을 즐길 수 있는 청와대 세트장,가족과함께 관광지 여행지 영상테마파크 영화촬영장 이색관광지 청와대세트장  
김해 수로왕비릉,가야 수로왕의 왕비인 허황옥의 묘,걷기길 경상권 관광지 김해수로왕비릉 수로왕비 수로왕비릉 아이와함께            
영월암(장수),달이 뜬 풍광이 아름다운 사찰,관광지 불교 불교문화 사찰 사찰여행 역사 영월암 자연속으로 자연환경        
합천 백암리 석등,통일신라 때 만들어진 우수한 석등,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속        
김해민속박물관,민속과 농경의 재발견,가족여행 경상권 교과서속여행 김해아이와가볼만한곳 김해여행코스 문화시설          
우포출렁다리,쪽지벌과 산밖벌을 이어주는 교량,가을여행 가족과함께 관광지 우포늪 우포늪출렁다리 자연풍경 창녕관광지  
김해탄소중립체험관,경남의 대표적인 기후변화 체험교육의 중심 공간,가볼래터 관광지 김해 김해가볼만한곳 여행구독 체험관 탄소중립실천여행지
원흥석불입상,원흥사 법당안의 높이 4m의 거대 석불 입상,관광지 문화재자료 석불 역사 역사공부 역사관광지 역사를품은곳          
우포늪생태관,우포늪의 생태 환경을 이해할 수 있는 학습공간,가족여행 경상권 문화시설 생태 생태여행 생태체험 아이가_좋아하는_여행      
여계묘역,조선 전기 묘제 양식을 잘 보여주는 서울 구로구의 문화유산,계남근린공원 관광지 구로구 구로구문화재 구로여계묘역 능골산 덕의근린공원           
죽림정사,민족대표 33인 백용성 조사가 태어난 곳,관광지 불교 불교사찰 사찰 사찰여행 역사 자연속으로 자연좋은곳       
다맥어촌체험마을,다양한 어촌체험을 즐길 수 있는 휴양 마을,가족체험 관광지 농어촌체험마을 사천가볼만한곳 아이와함께 어촌 어촌마을    
김해목재문화박물관,전통과 현대의 목재 문화를 만날 수 있는 곳,김해 김해가볼만한곳 김해박물관 목재 목재문화 문화박물관 문화시설 
강릉시립미술관 교동,미술을 사랑하는 모든 사람들과 소통하는 미술관,강릉가볼만한곳 강릉여행 남녀노소 문화공간 문화시설 문화예술 미술관   
영주 금성대군 신단,"세종대왕의 여섯째 아들, 금성대군의 넋을 기리는 곳",경상권 관광지 사적 역사 역사공부 역사관광지 역사를품은곳 역사문화재        
단장숲유원지,밀양의 여름 물놀이 명소,관광지 나무숲 단장천 물놀이 반려동물 취사가능 피서객
강양향교,지방민의 교육과 교화를 위해 나라에서 세운 교육기관,강양향교 경상권 경상권 경상남도문화재자료 관광지 역사 역사속으로   
의암공원,의암호를 따라 산책과 휴식을 즐기기에 좋은 도심 속 자연공간,공지천공원 공지천관광 관광지 의암호관광 춘천공원 춘천관광
가평크루즈,"가평의 모든 힐링, 가평크루즈",가평가볼만한곳 가평관광 가평군 가평크루즈 관광지 크루즈 크루즈여행
대성산지구 전적비,6·25 전쟁 당시 대성산 전투의 위훈을 기리는 추모비,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속        
화음동 정사지,산과 계곡이 어우러져 경치가 매우 아름다운 곳,강원도화천 계곡물놀이 관광지 화음동정사지 화천가볼만한곳 화천계곡 
영암 학계리석불입상,화강암에 돋을 새김한 불상,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속       
소창체험관,"강화직물산업의 역사를 한눈에 보고, 즐거운 체험까지!",2024_여행가는달과함께하는_발도장여행지 가족과함께 가족이색체험 강화가볼만한곳            
거례리사랑나무,아름다운 생태경관 속에 자리한 400년 된 보호수,DMZ DMZ여행 관광지 꽃감상 북한강 산책하기좋은 왕따나무 포토존 
옥토끼우주센터,상상력을 우주까지 키워나가자,2024_여행가는달과함께하는_발도장여행지 가볼래터 가족체험여행 겨울방학가볼만한곳            
영암내동리쌍무덤,영산강 유역 마한시대 수장층의 무덤,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속          
무병장수마을,사계절이 아름답고 유서 깊은 역사가 있는 마을,관광지 산책길 산책하기 산책하기좋은곳 자연경관 자연마을 자연좋은곳      
토마토조각공원,토마토를 주제로 한 조각 작품이 전시된 문화공원,DMZ DMZ여행 강원도화천 관광지 토마토조각공원 화천가볼만한곳   
향호해변,푸른 바다의 전망이 뛰어난 곳,강릉 관광지 주문진 주문진해변 주문진해수욕장 촬영장소 해수욕장  
